#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98341at50557_34720_0:0009ce|STRG.1106.2:196-927|+   -            244 98341at50557         -            201  7.5e-100  331.6  18.4   1   1  1.3e-100   1.9e-97  323.7  18.4     2   201    11   231    10   231 0.92 -
98341at50557_103372_0:00102f|STRG.1106.1:144-788|+  -            215 98341at50557         -            201   1.7e-93  310.9  17.3   1   2   1.3e-46     2e-43  147.4   1.6    19   107     2    90     1   103 0.96 -
98341at50557_103372_0:00102f|STRG.1106.1:144-788|+  -            215 98341at50557         -            201   1.7e-93  310.9  17.3   2   2   3.3e-53   5.1e-50  168.9   9.0   101   201   102   202    91   202 0.92 -
134670at50557_34720_0:0012af|STRG.4208.1:251-874|+  -            208 98341at50557         -            201   2.8e-19   68.6  14.2   1   2   9.9e-16   1.5e-12   46.6   3.7    27   108     9    90     2   101 0.93 -
134670at50557_34720_0:0012af|STRG.4208.1:251-874|+  -            208 98341at50557         -            201   2.8e-19   68.6  14.2   2   2     7e-10   1.1e-06   27.5   3.4   107   200   108   201    94   202 0.91 -
134670at50557_34720_0:0012af|STRG.4208.2:321-944|+  -            208 98341at50557         -            201   2.8e-19   68.6  14.2   1   2   9.9e-16   1.5e-12   46.6   3.7    27   108     9    90     2   101 0.93 -
134670at50557_34720_0:0012af|STRG.4208.2:321-944|+  -            208 98341at50557         -            201   2.8e-19   68.6  14.2   2   2     7e-10   1.1e-06   27.5   3.4   107   200   108   201    94   202 0.91 -
134670at50557_34720_0:0012af|STRG.4208.3:440-1063|+ -            208 98341at50557         -            201   2.8e-19   68.6  14.2   1   2   9.9e-16   1.5e-12   46.6   3.7    27   108     9    90     2   101 0.93 -
134670at50557_34720_0:0012af|STRG.4208.3:440-1063|+ -            208 98341at50557         -            201   2.8e-19   68.6  14.2   2   2     7e-10   1.1e-06   27.5   3.4   107   200   108   201    94   202 0.91 -
134670at50557_34720_0:0012af|STRG.4208.4:338-961|+  -            208 98341at50557         -            201   2.8e-19   68.6  14.2   1   2   9.9e-16   1.5e-12   46.6   3.7    27   108     9    90     2   101 0.93 -
134670at50557_34720_0:0012af|STRG.4208.4:338-961|+  -            208 98341at50557         -            201   2.8e-19   68.6  14.2   2   2     7e-10   1.1e-06   27.5   3.4   107   200   108   201    94   202 0.91 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98341at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/98341at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98341at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:10:59 2024
# [ok]
