#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
41512at50557_103372_0:001cf0|STRG.11448.1:465-3152|+ -            896 41512at50557         -            666  1.6e-258  858.4   5.7   1   1  5.2e-259  5.1e-256  850.1   5.7     1   666    13   889    13   890 0.85 -
41512at50557_38123_0:00008c|STRG.7808.1:865-1419|+   -            185 41512at50557         -            666   9.8e-11   39.6   0.3   1   1   1.1e-13   1.1e-10   39.5   0.3   503   635     5   156     2   178 0.67 -
41512at50557_38123_0:00008c|STRG.7808.2:1027-1581|+  -            185 41512at50557         -            666   9.8e-11   39.6   0.3   1   1   1.1e-13   1.1e-10   39.5   0.3   503   635     5   156     2   178 0.67 -
41512at50557_197043_0:001935|STRG.1352.1:3229-3768|+ -            180 41512at50557         -            666   3.3e-05   21.4   0.2   1   1   4.3e-08   4.2e-05   21.0   0.2   517   615    10   110     4   117 0.75 -
41512at50557_197043_0:001935|STRG.1352.2:3297-3836|+ -            180 41512at50557         -            666   3.3e-05   21.4   0.2   1   1   4.3e-08   4.2e-05   21.0   0.2   517   615    10   110     4   117 0.75 -
41512at50557_197043_0:001935|STRG.1352.3:3005-3544|+ -            180 41512at50557         -            666   3.3e-05   21.4   0.2   1   1   4.3e-08   4.2e-05   21.0   0.2   517   615    10   110     4   117 0.75 -
41512at50557_38123_0:00008c|STRG.1352.1:3883-4239|+  -            119 41512at50557         -            666   0.00011   19.7   0.0   1   1   1.4e-07   0.00013   19.4   0.0   535   593     9    74     1   106 0.70 -
41512at50557_38123_0:00008c|STRG.1352.2:3951-4307|+  -            119 41512at50557         -            666   0.00011   19.7   0.0   1   1   1.4e-07   0.00013   19.4   0.0   535   593     9    74     1   106 0.70 -
41512at50557_38123_0:00008c|STRG.1352.3:3659-4015|+  -            119 41512at50557         -            666   0.00011   19.7   0.0   1   1   1.4e-07   0.00013   19.4   0.0   535   593     9    74     1   106 0.70 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/41512at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/41512at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/41512at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:26:29 2024
# [ok]
