#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
32612at50557_103372_0:0018c8|STRG.5812.1:51-1736|+   -            562 32612at50557         -            443  7.4e-201  666.8  24.4   1   1  5.1e-200  5.6e-197  654.0  24.4     1   442     1   551     1   552 0.86 -
32612at50557_286706_0:0005bc|STRG.245.1:113-1780|+   -            556 32612at50557         -            443   2.4e-21   75.2  10.0   1   3   8.5e-08   9.4e-05   20.5   0.3    28   133    14   124     7   131 0.89 -
32612at50557_286706_0:0005bc|STRG.245.1:113-1780|+   -            556 32612at50557         -            443   2.4e-21   75.2  10.0   2   3   1.9e-16   2.1e-13   49.0   2.1   167   325   202   364   192   414 0.82 -
32612at50557_286706_0:0005bc|STRG.245.1:113-1780|+   -            556 32612at50557         -            443   2.4e-21   75.2  10.0   3   3   0.00025      0.27    9.1   0.0   388   437   500   555   497   556 0.77 -
32612at50557_286706_0:0005bc|STRG.245.2:113-1780|+   -            556 32612at50557         -            443   3.3e-21   74.7   9.6   1   3   1.4e-07   0.00016   19.8   0.3    28   133    14   124     7   131 0.90 -
32612at50557_286706_0:0005bc|STRG.245.2:113-1780|+   -            556 32612at50557         -            443   3.3e-21   74.7   9.6   2   3   1.9e-16   2.1e-13   49.0   2.1   167   325   202   364   192   414 0.82 -
32612at50557_286706_0:0005bc|STRG.245.2:113-1780|+   -            556 32612at50557         -            443   3.3e-21   74.7   9.6   3   3   0.00025      0.27    9.1   0.0   388   437   500   555   497   556 0.77 -
32612at50557_1041015_0:001a29|STRG.8710.1:335-2113|+ -            593 32612at50557         -            443   3.3e-18   64.9   0.3   1   3   3.1e-08   3.5e-05   21.9   0.0    30   141    15   132     4   140 0.78 -
32612at50557_1041015_0:001a29|STRG.8710.1:335-2113|+ -            593 32612at50557         -            443   3.3e-18   64.9   0.3   2   3   5.5e-11     6e-08   31.0   0.0   167   208   214   255   211   366 0.84 -
32612at50557_1041015_0:001a29|STRG.8710.1:335-2113|+ -            593 32612at50557         -            443   3.3e-18   64.9   0.3   3   3   0.00049      0.54    8.1   0.0   395   435   541   591   526   593 0.70 -
32612at50557_1041015_0:001a29|STRG.8710.5:335-2113|+ -            593 32612at50557         -            443   3.3e-18   64.9   0.3   1   3   3.1e-08   3.5e-05   21.9   0.0    30   141    15   132     4   140 0.78 -
32612at50557_1041015_0:001a29|STRG.8710.5:335-2113|+ -            593 32612at50557         -            443   3.3e-18   64.9   0.3   2   3   5.5e-11     6e-08   31.0   0.0   167   208   214   255   211   366 0.84 -
32612at50557_1041015_0:001a29|STRG.8710.5:335-2113|+ -            593 32612at50557         -            443   3.3e-18   64.9   0.3   3   3   0.00049      0.54    8.1   0.0   395   435   541   591   526   593 0.70 -
32612at50557_121225_0:001d69|STRG.8710.4:643-1956|+  -            438 32612at50557         -            443   1.5e-11   42.9   0.5   1   2   4.3e-11   4.8e-08   31.4   0.2   167   208    57    98    54   169 0.81 -
32612at50557_121225_0:001d69|STRG.8710.4:643-1956|+  -            438 32612at50557         -            443   1.5e-11   42.9   0.5   2   2   0.00022      0.24    9.3   0.0   395   436   384   435   367   438 0.72 -
28555at50557_34720_0:001b68|STRG.11210.2:2-1432|+    -            477 32612at50557         -            443   5.6e-11   41.0   2.1   1   3   3.7e-12   4.1e-09   34.9   0.3   170   308    99   253    90   262 0.77 -
28555at50557_34720_0:001b68|STRG.11210.2:2-1432|+    -            477 32612at50557         -            443   5.6e-11   41.0   2.1   2   3     0.061        67    1.2   0.0     9    59   263   313   253   321 0.77 -
28555at50557_34720_0:001b68|STRG.11210.2:2-1432|+    -            477 32612at50557         -            443   5.6e-11   41.0   2.1   3   3     0.022        24    2.7   0.0   396   435   422   468   405   475 0.69 -
28555at50557_34720_0:001b68|STRG.11210.1:84-1901|+   -            606 32612at50557         -            443   1.3e-10   39.8   1.9   1   3     6e-12   6.6e-09   34.2   0.4   170   308   228   382   222   395 0.77 -
28555at50557_34720_0:001b68|STRG.11210.1:84-1901|+   -            606 32612at50557         -            443   1.3e-10   39.8   1.9   2   3     0.083        91    0.8   0.0     9    59   392   442   382   450 0.76 -
28555at50557_34720_0:001b68|STRG.11210.1:84-1901|+   -            606 32612at50557         -            443   1.3e-10   39.8   1.9   3   3      0.03        33    2.2   0.0   396   435   551   597   536   604 0.68 -
28555at50557_34720_0:001b68|STRG.11210.3:2-1550|+    -            476 32612at50557         -            443   5.2e-10   37.8   1.5   1   3   4.6e-11   5.1e-08   31.3   0.2   170   308    99   252    92   262 0.78 -
28555at50557_34720_0:001b68|STRG.11210.3:2-1550|+    -            476 32612at50557         -            443   5.2e-10   37.8   1.5   2   3      0.06        66    1.2   0.0     9    59   262   312   252   320 0.77 -
28555at50557_34720_0:001b68|STRG.11210.3:2-1550|+    -            476 32612at50557         -            443   5.2e-10   37.8   1.5   3   3     0.022        24    2.7   0.0   396   435   421   467   404   474 0.69 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/32612at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/32612at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/32612at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:08:50 2024
# [ok]
