#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83902at50557_13686_0:0017a1|STRG.12660.1:0-851|+       -            284 83902at50557         -            211  3.7e-106  352.4  11.3   1   1  2.1e-107  1.6e-105  350.3  11.3     1   211    15   256    15   256 0.93 -
54603at50557_103372_0:00290d|STRG.12718.1:75-1919|+    -            615 83902at50557         -            211   2.4e-47  160.2  27.9   1   6     8e-07   6.1e-05   21.7   0.0   144   184   139   179   123   183 0.87 -
54603at50557_103372_0:00290d|STRG.12718.1:75-1919|+    -            615 83902at50557         -            211   2.4e-47  160.2  27.9   2   6   4.3e-06   0.00033   19.3   0.6   138   181   179   222   178   225 0.92 -
54603at50557_103372_0:00290d|STRG.12718.1:75-1919|+    -            615 83902at50557         -            211   2.4e-47  160.2  27.9   3   6   4.7e-15   3.6e-13   48.6   4.5    82   183   190   293   189   297 0.93 -
54603at50557_103372_0:00290d|STRG.12718.1:75-1919|+    -            615 83902at50557         -            211   2.4e-47  160.2  27.9   4   6   7.4e-06   0.00057   18.5   0.1   141   188   297   344   293   363 0.72 -
54603at50557_103372_0:00290d|STRG.12718.1:75-1919|+    -            615 83902at50557         -            211   2.4e-47  160.2  27.9   5   6     2e-18   1.6e-16   59.6   7.2    32   184   364   527   358   530 0.87 -
54603at50557_103372_0:00290d|STRG.12718.1:75-1919|+    -            615 83902at50557         -            211   2.4e-47  160.2  27.9   6   6   2.9e-06   0.00022   19.9   0.1   137   201   526   590   525   598 0.85 -
54603at50557_217634_0:0030bb|STRG.5530.1:514-1614|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   1   5   4.7e-07   3.6e-05   22.4   0.2   102   145    32    74    23    77 0.79 -
54603at50557_217634_0:0030bb|STRG.5530.1:514-1614|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   2   5   7.7e-23   5.9e-21   74.0   5.3    31   185    69   232    68   235 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.1:514-1614|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   3   5   8.8e-06   0.00067   18.3   0.1   140   183   233   276   230   278 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.1:514-1614|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   4   5   1.3e-08   9.9e-07   27.5   0.8   139   185   278   324   275   325 0.96 -
