#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
40442at50557_103372_0:0005ec|STRG.5879.1:0-1505|+      -            502 40442at50557         -            389  1.2e-167  556.1   4.0   1   1  4.3e-169  3.8e-167  554.5   4.0     1   388    39   500    39   501 0.88 -
40442at50557_1155016_0:000337|STRG.6080.1:613-1209|+   -            199 40442at50557         -            389     2e-16   58.3   0.6   1   1   2.6e-18   2.3e-16   58.2   0.6    22   208     1   197     1   199 0.81 -
40442at50557_1155016_0:000337|STRG.6080.2:336-932|+    -            199 40442at50557         -            389     2e-16   58.3   0.6   1   1   2.6e-18   2.3e-16   58.2   0.6    22   208     1   197     1   199 0.81 -
40442at50557_143948_0:0002e5|STRG.9087.1:372-1118|+    -            249 40442at50557         -            389   5.3e-10   37.2   0.0   1   1   1.4e-11   1.2e-09   36.0   0.0     8   184     2   198     1   204 0.74 -
40442at50557_143948_0:0002e5|STRG.9087.2:372-1118|+    -            249 40442at50557         -            389   5.3e-10   37.2   0.0   1   1   1.4e-11   1.2e-09   36.0   0.0     8   184     2   198     1   204 0.74 -
70122at50557_56086_0:00188d|STRG.18660.1:236-568|+     -            111 40442at50557         -            389   9.8e-10   36.3   0.1   1   1   1.3e-11   1.2e-09   36.1   0.1     6    95    13   100     8   110 0.83 -
70122at50557_56086_0:00188d|STRG.18660.2:236-568|+     -            111 40442at50557         -            389   9.8e-10   36.3   0.1   1   1   1.3e-11   1.2e-09   36.1   0.1     6    95    13   100     8   110 0.83 -
116554at50557_29031_0:00078e|STRG.6747.1:734-2176|+    -            481 40442at50557         -            389   1.5e-09   35.7   1.8   1   1   2.2e-11     2e-09   35.3   1.8    55   210     6   172     1   194 0.77 -
116554at50557_29031_0:00078e|STRG.6747.2:598-2040|+    -            481 40442at50557         -            389   1.5e-09   35.7   1.8   1   1   2.2e-11     2e-09   35.3   1.8    55   210     6   172     1   194 0.77 -
116554at50557_29031_0:00078e|STRG.6747.3:1255-2697|+   -            481 40442at50557         -            389   1.5e-09   35.7   1.8   1   1   2.2e-11     2e-09   35.3   1.8    55   210     6   172     1   194 0.77 -
116554at50557_29031_0:00078e|STRG.6747.4:312-1754|+    -            481 40442at50557         -            389   1.5e-09   35.7   1.8   1   1   2.2e-11     2e-09   35.3   1.8    55   210     6   172     1   194 0.77 -
