#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68043at50557_456900_0:001f98|STRG.14512.2:0-1586|+    -            529 68043at50557         -            302  2.8e-144  478.5   0.0   1   1  8.5e-146    9e-144  476.8   0.0     8   302   113   450   107   450 0.91 -
68043at50557_34720_0:001307|STRG.14512.1:137-1810|+   -            558 68043at50557         -            302  3.3e-144  478.2   0.0   1   1  9.9e-146    1e-143  476.6   0.0     8   302   142   479   136   479 0.91 -
35385at50557_35570_0:00290c|STRG.7305.1:1014-2258|+   -            415 68043at50557         -            302   1.4e-54  183.9   0.0   1   2   9.1e-18   9.6e-16   56.4   0.1    14    60    25    71    13    73 0.89 -
35385at50557_35570_0:00290c|STRG.7305.1:1014-2258|+   -            415 68043at50557         -            302   1.4e-54  183.9   0.0   2   2   3.1e-38   3.3e-36  123.6   0.0    63   300    96   370    91   372 0.75 -
18450at50557_1155016_0:0026c2|STRG.17079.1:995-2197|+ -            401 68043at50557         -            302   1.5e-52  177.3   0.4   1   1     4e-53   4.3e-51  172.5   0.4    11   302    26   369    19   369 0.76 -
35385at50557_37001_0:001231|STRG.18129.1:1221-2450|+  -            410 68043at50557         -            302   2.2e-52  176.7   0.0   1   2   2.3e-27   2.4e-25   87.9   0.0     8   137    29   186    22   198 0.77 -
35385at50557_37001_0:001231|STRG.18129.1:1221-2450|+  -            410 68043at50557         -            302   2.2e-52  176.7   0.0   2   2   2.3e-26   2.5e-24   84.6   0.0   146   300   230   389   211   391 0.82 -
35385at50557_37001_0:001231|STRG.18129.2:987-2216|+   -            410 68043at50557         -            302   2.2e-52  176.7   0.0   1   2   2.3e-27   2.4e-25   87.9   0.0     8   137    29   186    22   198 0.77 -
35385at50557_37001_0:001231|STRG.18129.2:987-2216|+   -            410 68043at50557         -            302   2.2e-52  176.7   0.0   2   2   2.3e-26   2.5e-24   84.6   0.0   146   300   230   389   211   391 0.82 -
35385at50557_7370_0:001aad|STRG.15942.1:1191-2468|+   -            426 68043at50557         -            302   6.1e-52  175.3   0.0   1   1   1.3e-53   1.3e-51  174.1   0.0     7   301    66   401    61   402 0.81 -
35385at50557_7370_0:001aad|STRG.15942.3:612-1889|+    -            426 68043at50557         -            302   6.1e-52  175.3   0.0   1   1   1.3e-53   1.3e-51  174.1   0.0     7   301    66   401    61   402 0.81 -
35385at50557_7370_0:001aad|STRG.15942.2:1316-2596|+   -            427 68043at50557         -            302   6.2e-52  175.2   0.0   1   1   1.3e-53   1.4e-51  174.1   0.0     7   301    66   401    61   402 0.81 -
29312at50557_34720_0:0009c1|STRG.16684.1:103-2406|+   -            768 68043at50557         -            302   1.4e-50  170.8   0.0   1   1   2.4e-52   2.6e-50  169.9   0.0    10   302   266   600   260   600 0.78 -
46658at50557_211228_0:001f32|STRG.3167.1:51-1145|+    -            365 68043at50557         -            302   2.9e-50  169.8   0.7   1   1   1.3e-51   1.4e-49  167.5   0.7    14   301    15   337     5   338 0.83 -
35385at50557_37001_0:001231|STRG.10295.2:437-1693|+   -            419 68043at50557         -            302   1.1e-49  167.8   0.0   1   1   2.3e-51   2.4e-49  166.7   0.0    14   301    43   373    35   374 0.80 -
35385at50557_7375_0:0001af|STRG.13467.2:823-2142|+    -            440 68043at50557         -            302   1.2e-49  167.7   0.0   1   1   2.4e-51   2.6e-49  166.6   0.0    12   302    63   396    54   396 0.77 -
35385at50557_7375_0:0001af|STRG.13467.3:201-1520|+    -            440 68043at50557         -            302   1.2e-49  167.7   0.0   1   1   2.4e-51   2.6e-49  166.6   0.0    12   302    63   396    54   396 0.77 -
35385at50557_37001_0:001231|STRG.10295.1:366-1694|+   -            443 68043at50557         -            302   1.4e-49  167.5   0.0   1   1   2.8e-51   2.9e-49  166.5   0.0    14   301    67   397    59   398 0.80 -
29312at50557_116153_0:001f21|STRG.810.1:450-1589|+    -            380 68043at50557         -            302   2.9e-49  166.5   0.7   1   1   5.1e-51   5.4e-49  165.6   0.7    10   300    12   344     5   346 0.81 -
35385at50557_7375_0:0001af|STRG.13467.1:823-2628|+    -            440 68043at50557         -            302   4.7e-49  165.8   0.0   1   1   9.5e-51     1e-48  164.7   0.0    12   302    63   396    54   396 0.77 -
18450at50557_144034_0:001371|STRG.10469.1:0-2852|+    -            951 68043at50557         -            302   1.4e-48  164.2   0.0   1   1   2.5e-50   2.7e-48  163.3   0.0     7   301   298   635   293   636 0.80 -
35385at50557_7370_0:001aad|STRG.8927.1:0-1757|+       -            586 68043at50557         -            302   3.5e-48  162.9   0.0   1   1   5.6e-50   5.9e-48  162.2   0.0    14   301     5   335     1   336 0.78 -
35385at50557_37001_0:001231|STRG.10294.1:329-1663|+   -            445 68043at50557         -            302   4.8e-47  159.2   0.0   1   1   8.4e-49   8.9e-47  158.3   0.0    13   302    64   396    55   396 0.79 -
35385at50557_7375_0:0001af|STRG.10294.2:239-1585|+    -            449 68043at50557         -            302   4.9e-47  159.2   0.0   1   1   8.7e-49   9.2e-47  158.3   0.0    13   302    72   404    63   404 0.79 -
46658at50557_219809_0:0017ae|STRG.15186.1:508-1857|+  -            450 68043at50557         -            302   1.1e-46  158.0   1.2   1   1   3.4e-48   3.6e-46  156.3   1.2    17   300    80   396    71   398 0.81 -
46658at50557_219809_0:0017ae|STRG.15186.2:1122-2471|+ -            450 68043at50557         -            302   1.1e-46  158.0   1.2   1   1   3.4e-48   3.6e-46  156.3   1.2    17   300    80   396    71   398 0.81 -
35385at50557_7375_0:0001af|STRG.10294.3:305-2471|+    -            449 68043at50557         -            302   1.9e-46  157.2   0.0   1   1   3.4e-48   3.6e-46  156.3   0.0    13   302    72   404    63   404 0.79 -
46658at50557_28612_0:0048c7|STRG.9429.1:99-1220|+     -            374 68043at50557         -            302   4.2e-46  156.1   0.1   1   1   9.8e-48     1e-45  154.8   0.1    16   301    23   346    13   347 0.76 -
43304at50557_568069_0:003ee6|STRG.1168.1:142-1446|+   -            435 68043at50557         -            302   3.3e-43  146.6   0.3   1   1     6e-45   6.3e-43  145.7   0.3    12   301    31   355    23   356 0.78 -
43304at50557_568069_0:003ee6|STRG.1168.2:3-1238|+     -            412 68043at50557         -            302   3.4e-43  146.6   0.4   1   1   5.8e-45   6.2e-43  145.7   0.4    13   301     9   332     2   333 0.78 -
65449at50557_34720_0:000b83|STRG.12673.1:187-2941|+   -            587 68043at50557         -            302   6.1e-41  139.1   0.1   1   1   1.7e-42   1.8e-40  137.6   0.1     9   302    17   356    10   356 0.73 -
65449at50557_34720_0:000b83|STRG.12673.3:0-1763|+     -            588 68043at50557         -            302   7.6e-41  138.8   0.1   1   1   2.1e-42   2.3e-40  137.3   0.1     9   302    17   357    10   357 0.72 -
65449at50557_42026_0:002fbc|STRG.10164.1:117-1430|+   -            438 68043at50557         -            302   8.9e-41  138.6   0.0   1   1   1.5e-42   1.6e-40  137.8   0.0    16   300    17   343     8   345 0.79 -
35385at50557_7004_0:0045a0|STRG.16512.1:1-903|+       -            301 68043at50557         -            302   1.8e-37  127.8   0.5   1   1   1.1e-37   1.1e-35  121.9   0.5    34   283     2   298     1   301 0.74 -
65449at50557_7220_0:002055|STRG.4386.1:1185-2996|+    -            604 68043at50557         -            302   3.4e-37  126.8   0.1   1   2   2.9e-22   3.1e-20   71.2   0.1    14   150     1   162     1   194 0.77 -
65449at50557_7220_0:002055|STRG.4386.1:1185-2996|+    -            604 68043at50557         -            302   3.4e-37  126.8   0.1   2   2     1e-16   1.1e-14   52.9   0.0   232   301   403   472   394   473 0.94 -
46658at50557_211228_0:001f32|STRG.15110.1:99-1172|+   -            358 68043at50557         -            302   1.5e-36  124.8   0.8   1   1     5e-38   5.3e-36  122.9   0.8    15   300    16   329     7   331 0.79 -
46658at50557_28612_0:0048c7|STRG.11789.1:216-1400|+   -            395 68043at50557         -            302   9.2e-36  122.1   1.2   1   1   2.1e-37   2.3e-35  120.9   1.2     7   300    25   356    22   358 0.79 -
46658at50557_28612_0:0048c7|STRG.11789.2:216-1400|+   -            395 68043at50557         -            302   9.2e-36  122.1   1.2   1   1   2.1e-37   2.3e-35  120.9   1.2     7   300    25   356    22   358 0.79 -
46658at50557_28612_0:0048c7|STRG.11789.3:216-2566|+   -            395 68043at50557         -            302   9.2e-36  122.1   1.2   1   1   2.1e-37   2.3e-35  120.9   1.2     7   300    25   356    22   358 0.79 -
35385at50557_37001_0:001231|STRG.13467.4:201-1280|+   -            360 68043at50557         -            302   2.6e-34  117.4   0.0   1   1   5.4e-36   5.7e-34  116.2   0.0    12   266    63   360    54   360 0.75 -
35385at50557_37001_0:001231|STRG.13467.5:201-1280|+   -            360 68043at50557         -            302   2.6e-34  117.4   0.0   1   1   5.4e-36   5.7e-34  116.2   0.0    12   266    63   360    54   360 0.75 -
43304at50557_34720_0:00174e|STRG.791.1:151-2355|+     -            735 68043at50557         -            302   4.5e-34  116.6   0.2   1   3   2.8e-11   2.9e-09   35.1   0.0     5    60   144   201   141   227 0.89 -
43304at50557_34720_0:00174e|STRG.791.1:151-2355|+     -            735 68043at50557         -            302   4.5e-34  116.6   0.2   2   3   4.1e-12   4.4e-10   37.8   0.0    61   148   255   359   249   389 0.72 -
43304at50557_34720_0:00174e|STRG.791.1:151-2355|+     -            735 68043at50557         -            302   4.5e-34  116.6   0.2   3   3   9.8e-13     1e-10   39.9   0.0   232   300   489   557   461   559 0.93 -
43304at50557_34720_0:00174e|STRG.791.2:0-2204|+       -            735 68043at50557         -            302   4.5e-34  116.6   0.2   1   3   2.8e-11   2.9e-09   35.1   0.0     5    60   144   201   141   227 0.89 -
43304at50557_34720_0:00174e|STRG.791.2:0-2204|+       -            735 68043at50557         -            302   4.5e-34  116.6   0.2   2   3   4.1e-12   4.4e-10   37.8   0.0    61   148   255   359   249   389 0.72 -
43304at50557_34720_0:00174e|STRG.791.2:0-2204|+       -            735 68043at50557         -            302   4.5e-34  116.6   0.2   3   3   9.8e-13     1e-10   39.9   0.0   232   300   489   557   461   559 0.93 -
65449at50557_217634_0:0037dd|STRG.13926.1:534-1780|+  -            397 68043at50557         -            302   2.4e-33  114.2   0.3   1   1   6.4e-35   6.8e-33  112.7   0.3    24   301     1   294     1   295 0.79 -
65449at50557_217634_0:0037dd|STRG.13926.2:534-1780|+  -            397 68043at50557         -            302   2.4e-33  114.2   0.3   1   1   6.4e-35   6.8e-33  112.7   0.3    24   301     1   294     1   295 0.79 -
46658at50557_174628_0:001983|STRG.18954.1:224-1333|+  -            370 68043at50557         -            302   2.9e-33  113.9   0.2   1   1   4.7e-35     5e-33  113.2   0.2     8   300     9   344     4   346 0.78 -
57791at50557_34720_0:001e64|STRG.693.1:0-1973|+       -            658 68043at50557         -            302   1.4e-32  111.6   0.2   1   2   1.5e-13   1.6e-11   42.5   0.4    38   135   237   364   232   369 0.70 -
57791at50557_34720_0:001e64|STRG.693.1:0-1973|+       -            658 68043at50557         -            302   1.4e-32  111.6   0.2   2   2   4.5e-20   4.8e-18   64.0   0.0   192   302   464   578   450   578 0.85 -
123578at50557_7168_0:0013fb|STRG.15010.1:421-1821|+   -            467 68043at50557         -            302   3.2e-32  110.5   1.6   1   2   2.6e-16   2.7e-14   51.6   0.3     7   145    81   243    77   249 0.79 -
