#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
43564at50557_2015173_0:000f13|STRG.6763.5:3295-4914|+   -            540 43564at50557         -            303  2.9e-184  610.0  15.4   1   1  5.7e-186  2.7e-183  606.8  15.4     1   303    18   372    18   372 0.94 -
43564at50557_411798_0:001912|STRG.6763.2:0-1808|+       -            603 43564at50557         -            303  3.7e-184  609.6  15.2   1   1  6.6e-186  3.1e-183  606.6  15.2     1   303    18   372    18   372 0.94 -
43564at50557_411798_0:001912|STRG.6763.1:3006-4763|+    -            586 43564at50557         -            303    4e-184  609.6  15.4   1   1  7.3e-186  3.5e-183  606.5  15.4     1   303    18   372    18   372 0.94 -
43564at50557_411798_0:001912|STRG.6763.3:0-1841|+       -            614 43564at50557         -            303  5.1e-184  609.2  15.5   1   1  8.9e-186  4.2e-183  606.2  15.5     1   303    18   372    18   372 0.94 -
43564at50557_286706_0:001633|STRG.14180.4:186-1268|+    -            361 43564at50557         -            303   1.2e-50  171.2   7.8   1   2   2.5e-32   1.2e-29  102.3   0.6    11   217    13   242     8   252 0.78 -
43564at50557_286706_0:001633|STRG.14180.4:186-1268|+    -            361 43564at50557         -            303   1.2e-50  171.2   7.8   2   2   2.5e-23   1.2e-20   72.7   1.4   224   303   270   357   262   357 0.85 -
43564at50557_64459_0:001182|STRG.14180.1:179-1261|+     -            361 43564at50557         -            303   2.2e-50  170.4   8.6   1   2   2.5e-32   1.2e-29  102.3   0.6    11   217    13   242     8   252 0.78 -
43564at50557_64459_0:001182|STRG.14180.1:179-1261|+     -            361 43564at50557         -            303   2.2e-50  170.4   8.6   2   2   3.7e-23   1.8e-20   72.2   1.9   224   303   270   357   262   357 0.84 -
43564at50557_29058_0:001267|STRG.14180.3:1941-3191|+    -            417 43564at50557         -            303   2.2e-50  170.4   7.8   1   2   3.7e-32   1.8e-29  101.7   0.6    11   217    13   242     8   252 0.78 -
43564at50557_29058_0:001267|STRG.14180.3:1941-3191|+    -            417 43564at50557         -            303   2.2e-50  170.4   7.8   2   2   3.3e-23   1.6e-20   72.3   1.4   224   303   270   357   262   357 0.85 -
43564at50557_29058_0:001267|STRG.14180.2:1941-3191|+    -            417 43564at50557         -            303   3.8e-50  169.6   8.6   1   2   3.7e-32   1.8e-29  101.7   0.6    11   217    13   242     8   252 0.78 -
43564at50557_29058_0:001267|STRG.14180.2:1941-3191|+    -            417 43564at50557         -            303   3.8e-50  169.6   8.6   2   2   4.7e-23   2.2e-20   71.8   1.9   224   303   270   357   262   357 0.84 -
43564at50557_211228_0:0014c0|STRG.4443.1:283-1560|+     -            426 43564at50557         -            303   3.9e-49  166.3  10.1   1   2   1.6e-13   7.7e-11   40.5   0.0    12    76     6    78     2   122 0.74 -
43564at50557_211228_0:0014c0|STRG.4443.1:283-1560|+     -            426 43564at50557         -            303   3.9e-49  166.3  10.1   2   2   1.7e-39   7.9e-37  125.9   7.6   107   303   150   370   123   370 0.83 -
43564at50557_211228_0:0014c0|STRG.4443.2:133-1410|+     -            426 43564at50557         -            303   3.9e-49  166.3  10.1   1   2   1.6e-13   7.7e-11   40.5   0.0    12    76     6    78     2   122 0.74 -
43564at50557_211228_0:0014c0|STRG.4443.2:133-1410|+     -            426 43564at50557         -            303   3.9e-49  166.3  10.1   2   2   1.7e-39   7.9e-37  125.9   7.6   107   303   150   370   123   370 0.83 -
43564at50557_7091_0:001523|STRG.4443.3:528-1364|+       -            279 43564at50557         -            303   3.2e-37  127.2   8.6   1   1   1.7e-39     8e-37  125.8   8.6   108   303     4   223     2   223 0.83 -
43564at50557_121225_0:0003ca|STRG.12399.6:811-1614|+    -            268 43564at50557         -            303     2e-27   94.9   2.7   1   1   1.2e-28   5.5e-26   90.2   2.7    11   218    19   265    11   268 0.75 -
43564at50557_246812_0:003262|STRG.12399.5:811-1335|+    -            175 43564at50557         -            303   6.8e-10   37.4   2.8   1   1   5.4e-12   2.6e-09   35.5   2.8    10   113    18   148    11   175 0.74 -
43564at50557_1155016_0:00126f|STRG.8064.2:776-1387|+    -            204 43564at50557         -            303   4.8e-07   28.1   4.9   1   1   2.5e-09   1.2e-06   26.7   4.9   170   303     3   158     1   158 0.73 -
43564at50557_1155016_0:00126f|STRG.8064.3:516-1127|+    -            204 43564at50557         -            303   4.8e-07   28.1   4.9   1   1   2.5e-09   1.2e-06   26.7   4.9   170   303     3   158     1   158 0.73 -
43564at50557_1155016_0:00126f|STRG.8064.4:873-1484|+    -            204 43564at50557         -            303   4.8e-07   28.1   4.9   1   1   2.5e-09   1.2e-06   26.7   4.9   170   303     3   158     1   158 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/43564at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/43564at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/43564at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:35:00 2024
# [ok]
