#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
87181at50557_456900_0:001ac2|STRG.12468.1:0-1853|+   -            618 87181at50557         -            228  6.4e-129  426.9   3.3   1   1  1.5e-129  1.5e-126  419.1   3.3     1   228   147   411   147   411 0.93 -
76908at50557_222816_0:000324|STRG.12649.1:19-639|+   -            207 87181at50557         -            228   8.3e-23   79.7   0.5   1   1   1.1e-25   1.1e-22   79.4   0.5    49   172    71   202    43   206 0.83 -
76908at50557_103372_0:001521|STRG.12649.3:19-642|+   -            208 87181at50557         -            228     1e-22   79.5   0.5   1   1   1.3e-25   1.3e-22   79.1   0.5    49   172    71   203    43   207 0.82 -
76908at50557_103372_0:001521|STRG.12649.2:19-636|+   -            206 87181at50557         -            228   1.4e-22   79.0   0.4   1   1   1.8e-25   1.9e-22   78.6   0.4    49   172    71   201    43   205 0.79 -
76908at50557_51655_0:002d7a|STRG.19765.1:383-1024|+  -            214 87181at50557         -            228   2.7e-13   48.6   0.5   1   2   4.4e-16   4.5e-13   47.9   0.1    40   101    43   104    25   116 0.92 -
76908at50557_51655_0:002d7a|STRG.19765.1:383-1024|+  -            214 87181at50557         -            228   2.7e-13   48.6   0.5   2   2      0.95   9.6e+02   -2.3   0.0   144   159   155   170   138   184 0.81 -
76908at50557_51655_0:002d7a|STRG.19765.2:111-752|+   -            214 87181at50557         -            228   2.7e-13   48.6   0.5   1   2   4.4e-16   4.5e-13   47.9   0.1    40   101    43   104    25   116 0.92 -
76908at50557_51655_0:002d7a|STRG.19765.2:111-752|+   -            214 87181at50557         -            228   2.7e-13   48.6   0.5   2   2      0.95   9.6e+02   -2.3   0.0   144   159   155   170   138   184 0.81 -
6416at50557_113334_0:00380e|STRG.6213.1:342-1445|+   -            368 87181at50557         -            228   7.7e-05   21.0   8.8   1   4         1     1e+03   -2.3   0.1    73    91     2    20     1    23 0.88 -
6416at50557_113334_0:00380e|STRG.6213.1:342-1445|+   -            368 87181at50557         -            228   7.7e-05   21.0   8.8   2   4   3.1e-05     0.031   12.4   0.3    69   101    92   124    85   141 0.80 -
6416at50557_113334_0:00380e|STRG.6213.1:342-1445|+   -            368 87181at50557         -            228   7.7e-05   21.0   8.8   3   4     0.003       3.1    5.9   0.1    67    92   194   219   188   232 0.88 -
6416at50557_113334_0:00380e|STRG.6213.1:342-1445|+   -            368 87181at50557         -            228   7.7e-05   21.0   8.8   4   4    0.0023       2.3    6.3   0.0    68    90   317   339   306   360 0.90 -
6416at50557_123851_0:000464|STRG.19092.2:1218-2333|+ -            372 87181at50557         -            228      0.09   10.9   6.5   1   4     0.028        29    2.7   0.0    67    98     6    37     3    43 0.86 -
6416at50557_123851_0:000464|STRG.19092.2:1218-2333|+ -            372 87181at50557         -            228      0.09   10.9   6.5   2   4   0.00056      0.57    8.3   0.4    65    93    84   112    73   120 0.90 -
6416at50557_123851_0:000464|STRG.19092.2:1218-2333|+ -            372 87181at50557         -            228      0.09   10.9   6.5   3   4      0.23   2.4e+02   -0.3   0.0    66    93   223   250   217   252 0.87 -
6416at50557_123851_0:000464|STRG.19092.2:1218-2333|+ -            372 87181at50557         -            228      0.09   10.9   6.5   4   4      0.34   3.5e+02   -0.8   0.0    68    91   311   334   299   339 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/87181at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/87181at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/87181at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:20:29 2024
# [ok]
