#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
40442at50557_103372_0:0005ec|STRG.15650.1:174-1759|+  -            502 40442at50557         -            389  5.5e-168  557.5   4.2   1   1  2.1e-169  1.8e-167  555.8   4.2     1   388    39   500    39   501 0.88 -
40442at50557_1155016_0:000337|STRG.6803.3:1790-2434|+ -            215 40442at50557         -            389   4.8e-19   67.1   2.7   1   1   6.6e-21   5.5e-19   66.9   2.7    21   210     1   200     1   212 0.81 -
40442at50557_1155016_0:000337|STRG.13473.1:661-1257|+ -            199 40442at50557         -            389   2.3e-16   58.3   0.6   1   1     3e-18   2.5e-16   58.2   0.6    22   208     1   197     1   199 0.81 -
40442at50557_1155016_0:000337|STRG.13473.2:240-836|+  -            199 40442at50557         -            389   2.3e-16   58.3   0.6   1   1     3e-18   2.5e-16   58.2   0.6    22   208     1   197     1   199 0.81 -
40442at50557_1629725_0:00075c|STRG.7016.1:308-640|+   -            111 40442at50557         -            389   4.9e-12   44.1   0.1   1   1   6.1e-14   5.1e-12   44.0   0.1    11   113     4   109     1   111 0.84 -
68878at50557_121845_0:001d53|STRG.6803.2:1308-1559|+  -             84 40442at50557         -            389     9e-12   43.2   0.1   1   1   1.1e-13   9.4e-12   43.1   0.1    22   100     1    82     1    84 0.80 -
28503at50557_69004_0:0020b1|STRG.9796.3:12-3365|+     -           1118 40442at50557         -            389   1.6e-11   42.4   0.1   1   1   3.1e-13   2.6e-11   41.7   0.1     6   167    46   207    44   218 0.88 -
116554at50557_29031_0:00078e|STRG.4009.1:413-1987|+   -            525 40442at50557         -            389   4.4e-10   37.6   0.1   1   1   7.6e-12   6.4e-10   37.1   0.1    61   209    14   173     8   189 0.80 -
116554at50557_29031_0:00078e|STRG.4009.2:655-2229|+   -            525 40442at50557         -            389   4.4e-10   37.6   0.1   1   1   7.6e-12   6.4e-10   37.1   0.1    61   209    14   173     8   189 0.80 -
116554at50557_29031_0:00078e|STRG.4009.3:387-1961|+   -            525 40442at50557         -            389   4.4e-10   37.6   0.1   1   1   7.6e-12   6.4e-10   37.1   0.1    61   209    14   173     8   189 0.80 -
70122at50557_56086_0:00188d|STRG.3880.1:243-575|+     -            111 40442at50557         -            389   8.9e-10   36.6   0.2   1   1   1.3e-11   1.1e-09   36.4   0.2     5    95    12   100     8   108 0.84 -
