#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111718at50557_520822_0:002278|STRG.9785.3:209-1767|+ -            395 111718at50557        -            236   3.8e-74  243.9   1.9   1   1   1.1e-73   3.4e-72  237.5   1.9     2   166    13   205    12   209 0.86 -
111718at50557_143995_0:000c16|STRG.1019.1:502-1332|+ -            277 111718at50557        -            236   3.1e-24   80.5   2.7   1   2   6.5e-08     2e-06   22.2   0.1    21    70     1    55     1    97 0.77 -
111718at50557_143995_0:000c16|STRG.1019.1:502-1332|+ -            277 111718at50557        -            236   3.1e-24   80.5   2.7   2   2   4.1e-19   1.3e-17   58.9   0.4    89   173   110   188    92   247 0.70 -
111718at50557_7493_0:001572|STRG.6189.1:707-1459|+   -            251 111718at50557        -            236   3.4e-19   64.1   0.5   1   1     8e-20   2.5e-18   61.2   0.5    27   189     6   179     1   211 0.68 -
111718at50557_7493_0:001572|STRG.6189.2:863-1615|+   -            251 111718at50557        -            236   3.4e-19   64.1   0.5   1   1     8e-20   2.5e-18   61.2   0.5    27   189     6   179     1   211 0.68 -
111718at50557_7493_0:001572|STRG.6189.3:851-1603|+   -            251 111718at50557        -            236   3.4e-19   64.1   0.5   1   1     8e-20   2.5e-18   61.2   0.5    27   189     6   179     1   211 0.68 -
111718at50557_7493_0:001572|STRG.6189.4:749-1501|+   -            251 111718at50557        -            236   3.4e-19   64.1   0.5   1   1     8e-20   2.5e-18   61.2   0.5    27   189     6   179     1   211 0.68 -
111718at50557_7237_0:00030b|STRG.5107.1:1453-2187|+  -            245 111718at50557        -            236     9e-14   46.3   0.0   1   2   0.00072     0.023    9.0   0.0    22    72     2    57     1    93 0.74 -
111718at50557_7237_0:00030b|STRG.5107.1:1453-2187|+  -            245 111718at50557        -            236     9e-14   46.3   0.0   2   2   4.9e-12   1.6e-10   35.7   0.0   101   169   163   231   112   241 0.80 -
111718at50557_7237_0:00030b|STRG.5107.2:1106-1840|+  -            245 111718at50557        -            236     9e-14   46.3   0.0   1   2   0.00072     0.023    9.0   0.0    22    72     2    57     1    93 0.74 -
111718at50557_7237_0:00030b|STRG.5107.2:1106-1840|+  -            245 111718at50557        -            236     9e-14   46.3   0.0   2   2   4.9e-12   1.6e-10   35.7   0.0   101   169   163   231   112   241 0.80 -
111718at50557_7237_0:00030b|STRG.5107.3:1355-2089|+  -            245 111718at50557        -            236     9e-14   46.3   0.0   1   2   0.00072     0.023    9.0   0.0    22    72     2    57     1    93 0.74 -
111718at50557_7237_0:00030b|STRG.5107.3:1355-2089|+  -            245 111718at50557        -            236     9e-14   46.3   0.0   2   2   4.9e-12   1.6e-10   35.7   0.0   101   169   163   231   112   241 0.80 -
111718at50557_7237_0:00030b|STRG.5107.4:766-1500|+   -            245 111718at50557        -            236     9e-14   46.3   0.0   1   2   0.00072     0.023    9.0   0.0    22    72     2    57     1    93 0.74 -
111718at50557_7237_0:00030b|STRG.5107.4:766-1500|+   -            245 111718at50557        -            236     9e-14   46.3   0.0   2   2   4.9e-12   1.6e-10   35.7   0.0   101   169   163   231   112   241 0.80 -
111718at50557_7237_0:00030b|STRG.5107.5:1032-1766|+  -            245 111718at50557        -            236     9e-14   46.3   0.0   1   2   0.00072     0.023    9.0   0.0    22    72     2    57     1    93 0.74 -
111718at50557_7237_0:00030b|STRG.5107.5:1032-1766|+  -            245 111718at50557        -            236     9e-14   46.3   0.0   2   2   4.9e-12   1.6e-10   35.7   0.0   101   169   163   231   112   241 0.80 -
111718at50557_43151_0:00255c|STRG.9108.1:199-867|+   -            223 111718at50557        -            236   7.3e-12   40.1   0.0   1   1     4e-13   1.3e-11   39.3   0.0    65   167   117   219   104   221 0.77 -
111718at50557_43151_0:00255c|STRG.9108.2:370-1038|+  -            223 111718at50557        -            236   7.3e-12   40.1   0.0   1   1     4e-13   1.3e-11   39.3   0.0    65   167   117   219   104   221 0.77 -
111718at50557_43151_0:00255c|STRG.9108.3:302-970|+   -            223 111718at50557        -            236   7.3e-12   40.1   0.0   1   1     4e-13   1.3e-11   39.3   0.0    65   167   117   219   104   221 0.77 -
111718at50557_121225_0:001275|STRG.5219.1:459-824|+  -            122 111718at50557        -            236   1.8e-11   38.8   0.0   1   1   6.1e-13   1.9e-11   38.7   0.0   102   179     7    83     1   116 0.84 -
111718at50557_88501_0:002846|STRG.8752.1:337-804|+   -            156 111718at50557        -            236   2.1e-10   35.3   0.0   1   1   8.3e-12   2.6e-10   35.0   0.0   107   172    89   154    52   156 0.86 -
111718at50557_7004_0:00478a|STRG.1938.1:1145-1705|+  -            187 111718at50557        -            236   6.6e-10   33.7   0.0   1   1   2.7e-11   8.5e-10   33.3   0.0   110   171    16    75     7   121 0.80 -
111718at50557_286706_0:0013ce|STRG.10086.1:398-928|+ -            177 111718at50557        -            236   6.1e-05   17.4   0.0   1   1   2.5e-06     8e-05   17.0   0.0   104   166   113   176    95   177 0.81 -
111718at50557_286706_0:0013ce|STRG.10086.2:382-912|+ -            177 111718at50557        -            236   6.1e-05   17.4   0.0   1   1   2.5e-06     8e-05   17.0   0.0   104   166   113   176    95   177 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/111718at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/rerun_results/111718at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/111718at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:37:02 2024
# [ok]
