#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
87181at50557_456900_0:001ac2|STRG.10894.1:200-2053|+ -            618 87181at50557         -            228  7.3e-129  426.9   3.3   1   1  2.9e-129  1.7e-126  419.1   3.3     1   228   147   411   147   411 0.93 -
76908at50557_222816_0:000324|STRG.11030.1:19-639|+   -            207 87181at50557         -            228   9.5e-23   79.7   0.5   1   1   2.1e-25   1.2e-22   79.4   0.5    49   172    71   202    43   206 0.83 -
76908at50557_103372_0:001521|STRG.11030.3:19-642|+   -            208 87181at50557         -            228   1.1e-22   79.5   0.5   1   1   2.6e-25   1.5e-22   79.1   0.5    49   172    71   203    43   207 0.82 -
76908at50557_103372_0:001521|STRG.11030.2:19-636|+   -            206 87181at50557         -            228   1.6e-22   79.0   0.4   1   1   3.7e-25   2.1e-22   78.6   0.4    49   172    71   201    43   205 0.79 -
76908at50557_51655_0:002d7a|STRG.16950.1:640-1281|+  -            214 87181at50557         -            228     3e-13   48.6   0.5   1   2   8.8e-16   5.1e-13   47.9   0.1    40   101    43   104    25   116 0.92 -
76908at50557_51655_0:002d7a|STRG.16950.1:640-1281|+  -            214 87181at50557         -            228     3e-13   48.6   0.5   2   2       1.9   1.1e+03   -2.3   0.0   144   159   155   170   138   184 0.81 -
76908at50557_51655_0:002d7a|STRG.16950.2:662-1303|+  -            214 87181at50557         -            228     3e-13   48.6   0.5   1   2   8.8e-16   5.1e-13   47.9   0.1    40   101    43   104    25   116 0.92 -
76908at50557_51655_0:002d7a|STRG.16950.2:662-1303|+  -            214 87181at50557         -            228     3e-13   48.6   0.5   2   2       1.9   1.1e+03   -2.3   0.0   144   159   155   170   138   184 0.81 -
76908at50557_51655_0:002d7a|STRG.16950.3:640-1281|+  -            214 87181at50557         -            228     3e-13   48.6   0.5   1   2   8.8e-16   5.1e-13   47.9   0.1    40   101    43   104    25   116 0.92 -
76908at50557_51655_0:002d7a|STRG.16950.3:640-1281|+  -            214 87181at50557         -            228     3e-13   48.6   0.5   2   2       1.9   1.1e+03   -2.3   0.0   144   159   155   170   138   184 0.81 -
76908at50557_51655_0:002d7a|STRG.16950.4:640-1281|+  -            214 87181at50557         -            228     3e-13   48.6   0.5   1   2   8.8e-16   5.1e-13   47.9   0.1    40   101    43   104    25   116 0.92 -
