#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
75144at50557_34720_0:000d74|STRG.9690.1:0-1172|+    -            391 75144at50557         -            307  2.9e-148  491.7   1.4   1   1    8e-149    2e-146  485.6   1.4     1   307     7   381     7   381 0.87 -
75144at50557_28612_0:003734|STRG.18240.1:0-1127|+   -            376 75144at50557         -            307   7.1e-61  204.6   0.0   1   1   2.8e-61   6.9e-59  198.1   0.0     1   307    10   367    10   367 0.81 -
75144at50557_28612_0:003734|STRG.5109.1:0-1127|+    -            376 75144at50557         -            307   1.1e-60  204.1   0.0   1   2   8.6e-56   2.1e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.5109.1:0-1127|+    -            376 75144at50557         -            307   1.1e-60  204.1   0.0   2   2   1.3e-07   3.3e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.5016.1:310-1428|+  -            373 75144at50557         -            307   2.2e-57  193.2   0.0   1   1     8e-58     2e-55  186.8   0.0     1   307    10   364    10   364 0.81 -
75144at50557_28612_0:003734|STRG.5016.2:9-986|+     -            326 75144at50557         -            307   3.8e-56  189.1   0.0   1   1   1.5e-56   3.6e-54  182.6   0.0    29   307     3   317     1   317 0.84 -
75144at50557_28612_0:003734|STRG.13307.1:1-1080|+   -            360 75144at50557         -            307   1.2e-41  141.5   0.0   1   1     5e-43   1.2e-40  138.2   0.0    32   297    40   332     1   351 0.82 -
75144at50557_28612_0:003734|STRG.13307.2:21-986|+   -            322 75144at50557         -            307   1.3e-41  141.3   0.0   1   1   6.1e-43   1.5e-40  137.9   0.0    32   297     2   294     1   313 0.82 -
57613at50557_610380_0:00141b|STRG.881.2:0-1181|+    -            394 75144at50557         -            307   6.2e-41  139.1   0.0   1   2   1.9e-41   4.8e-39  132.9   0.0    17   279    35   325    10   338 0.77 -
57613at50557_610380_0:00141b|STRG.881.2:0-1181|+    -            394 75144at50557         -            307   6.2e-41  139.1   0.0   2   2      0.67   1.6e+02   -0.2   0.0   293   307   368   382   329   382 0.84 -
57613at50557_610380_0:00141b|STRG.881.1:164-1300|+  -            356 75144at50557         -            307   1.3e-40  138.1   0.1   1   2   3.7e-41   9.2e-39  132.0   0.0    22   279     7   287     4   307 0.82 -
