#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
138217at50557_103372_0:000bce|STRG.5288.1:137-891|+   -            152 138217at50557        -             97   2.2e-30  103.2   9.2   1   1   2.7e-33   5.4e-30  101.9   9.2     5    96    33   139    30   140 0.87 -
138217at50557_535359_0:00173e|STRG.5837.1:2158-2445|+ -             96 138217at50557        -             97   5.4e-05   21.8   0.4   1   1   3.4e-08   6.7e-05   21.5   0.3    28    95    26    94    15    96 0.84 -
138217at50557_535359_0:00173e|STRG.5837.2:394-681|+   -             96 138217at50557        -             97   5.4e-05   21.8   0.4   1   1   3.4e-08   6.7e-05   21.5   0.3    28    95    26    94    15    96 0.84 -
26016at50557_34720_0:002275|STRG.14052.2:47-1226|+    -            369 138217at50557        -             97     0.024   13.3   2.3   1   3       0.5   9.8e+02   -1.5   0.2    40    60    97   117    85   121 0.78 -
26016at50557_34720_0:002275|STRG.14052.2:47-1226|+    -            369 138217at50557        -             97     0.024   13.3   2.3   2   3     0.019        39    3.0   0.0    49    95   191   237   181   239 0.89 -
26016at50557_34720_0:002275|STRG.14052.2:47-1226|+    -            369 138217at50557        -             97     0.024   13.3   2.3   3   3   0.00031      0.61    8.8   0.1    50    89   242   282   241   290 0.85 -
26016at50557_34720_0:002275|STRG.14052.1:0-2195|+     -            732 138217at50557        -             97      0.17   10.6   2.3   1   3       1.5     3e+03   -3.0   0.2    40    60   460   480   455   482 0.75 -
26016at50557_34720_0:002275|STRG.14052.1:0-2195|+     -            732 138217at50557        -             97      0.17   10.6   2.3   2   3      0.05        98    1.7   0.0    49    95   554   600   546   602 0.89 -
26016at50557_34720_0:002275|STRG.14052.1:0-2195|+     -            732 138217at50557        -             97      0.17   10.6   2.3   3   3   0.00076       1.5    7.6   0.1    50    88   605   644   604   653 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/138217at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/138217at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/138217at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:06:47 2024
# [ok]
