#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30640at50557_103372_0:0017a1|STRG.18724.2:0-2381|+     -            794 30640at50557         -            649         0 1182.6   6.2   1   1         0         0 1175.2   6.2    15   649    48   794    41   794 0.91 -
30640at50557_13249_0:00301f|STRG.18724.1:40-897|+      -            258 30640at50557         -            649  5.2e-158  526.1   1.8   1   1  6.6e-160  5.8e-158  525.9   1.8   408   649     1   258     1   258 0.97 -
30640at50557_7536_0:0024c3|STRG.6429.1:0-620|-         -            207 30640at50557         -            649   4.9e-45  152.8   0.0   1   1   6.1e-47   5.4e-45  152.7   0.0    79   272     9   207     1   207 0.88 -
30640at50557_7536_0:0024c3|STRG.942.1:347-1018|+       -            224 30640at50557         -            649   4.3e-34  116.7   0.1   1   1   5.6e-36     5e-34  116.5   0.1    81   277    22   224     8   224 0.87 -
30640at50557_7536_0:0024c3|STRG.942.2:102-773|+        -            224 30640at50557         -            649   4.3e-34  116.7   0.1   1   1   5.6e-36     5e-34  116.5   0.1    81   277    22   224     8   224 0.87 -
30640at50557_246812_0:002bdf|STRG.12164.1:322-1089|+   -            256 30640at50557         -            649   5.8e-27   93.1   0.1   1   1   7.6e-29   6.7e-27   92.9   0.1    78   277    52   256    28   256 0.86 -
30640at50557_246812_0:002bdf|STRG.12164.2:252-1019|+   -            256 30640at50557         -            649   5.8e-27   93.1   0.1   1   1   7.6e-29   6.7e-27   92.9   0.1    78   277    52   256    28   256 0.86 -
30640at50557_246812_0:002bdf|STRG.12164.3:1422-2189|+  -            256 30640at50557         -            649   5.8e-27   93.1   0.1   1   1   7.6e-29   6.7e-27   92.9   0.1    78   277    52   256    28   256 0.86 -
30640at50557_246812_0:002bdf|STRG.10422.1:860-1747|+   -            296 30640at50557         -            649   1.4e-22   78.6   0.0   1   1     6e-24   5.3e-22   76.7   0.0    81   277    34   257    21   294 0.74 -
30640at50557_123851_0:0040fd|STRG.640.1:249-971|+      -            241 30640at50557         -            649   1.8e-22   78.3   0.1   1   1   2.6e-24   2.3e-22   77.9   0.1    74   281     7   226     2   235 0.81 -
30640at50557_123851_0:0040fd|STRG.640.2:249-971|+      -            241 30640at50557         -            649   1.8e-22   78.3   0.1   1   1   2.6e-24   2.3e-22   77.9   0.1    74   281     7   226     2   235 0.81 -
