#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
37475at50557_103372_0:00039a|STRG.12616.1:2-1201|+     -            400 37475at50557         -            589   1.9e-95  315.9   8.0   1   1   6.6e-95   5.9e-94  311.0   8.0   257   566     7   400     4   400 0.86 -
37475at50557_411798_0:00107d|STRG.3237.1:57-845|+      -            263 37475at50557         -            589   1.2e-94  313.3   5.5   1   1   3.2e-95   2.9e-94  312.0   5.5     4   214    14   263    12   263 0.90 -
37475at50557_144034_0:000f95|STRG.12616.2:707-1492|+   -            262 37475at50557         -            589   1.6e-54  180.8   2.5   1   1   2.5e-55   2.2e-54  180.3   2.5   370   566    20   262    14   262 0.81 -
37475at50557_411798_0:00107d|STRG.851.1:377-1051|+     -            225 37475at50557         -            589     1e-16   55.9   5.1   1   3   0.00039    0.0035   11.2   0.2   155   182     6    33     1    38 0.84 -
37475at50557_411798_0:00107d|STRG.851.1:377-1051|+     -            225 37475at50557         -            589     1e-16   55.9   5.1   2   3   3.2e-10   2.8e-09   31.4   0.4   120   183    10    76     9    83 0.88 -
37475at50557_411798_0:00107d|STRG.851.1:377-1051|+     -            225 37475at50557         -            589     1e-16   55.9   5.1   3   3   3.8e-07   3.4e-06   21.2   0.4    69   186    75   209    74   218 0.70 -
37475at50557_411798_0:00107d|STRG.851.2:622-1296|+     -            225 37475at50557         -            589     1e-16   55.9   5.1   1   3   0.00039    0.0035   11.2   0.2   155   182     6    33     1    38 0.84 -
37475at50557_411798_0:00107d|STRG.851.2:622-1296|+     -            225 37475at50557         -            589     1e-16   55.9   5.1   2   3   3.2e-10   2.8e-09   31.4   0.4   120   183    10    76     9    83 0.88 -
37475at50557_411798_0:00107d|STRG.851.2:622-1296|+     -            225 37475at50557         -            589     1e-16   55.9   5.1   3   3   3.8e-07   3.4e-06   21.2   0.4    69   186    75   209    74   218 0.70 -
37475at50557_136037_0:002606|STRG.4579.1:235-1863|+    -            543 37475at50557         -            589   4.4e-16   53.9   2.0   1   5     6e-05   0.00054   14.0   0.0   123   195    16    90    13    94 0.84 -
37475at50557_136037_0:002606|STRG.4579.1:235-1863|+    -            543 37475at50557         -            589   4.4e-16   53.9   2.0   2   5       1.8        16   -0.8   0.0   223   240    92   109    90   126 0.73 -
37475at50557_136037_0:002606|STRG.4579.1:235-1863|+    -            543 37475at50557         -            589   4.4e-16   53.9   2.0   3   5       0.5       4.5    1.0   0.0   175   205   169   199   155   208 0.78 -
37475at50557_136037_0:002606|STRG.4579.1:235-1863|+    -            543 37475at50557         -            589   4.4e-16   53.9   2.0   4   5     0.033      0.29    4.9   0.0    75   109   302   336   280   340 0.90 -
37475at50557_136037_0:002606|STRG.4579.1:235-1863|+    -            543 37475at50557         -            589   4.4e-16   53.9   2.0   5   5   3.4e-05    0.0003   14.8   0.1   119   179   478   543   472   543 0.81 -
37475at50557_104421_0:00187d|STRG.7947.1:935-1771|+    -            279 37475at50557         -            589   7.5e-15   49.8  10.3   1   3   0.00045     0.004   11.1   0.3    84   118    30    64    24    67 0.90 -
37475at50557_104421_0:00187d|STRG.7947.1:935-1771|+    -            279 37475at50557         -            589   7.5e-15   49.8  10.3   2   3   1.1e-10     1e-09   32.9   4.5    70   191    57   190    56   200 0.82 -
37475at50557_104421_0:00187d|STRG.7947.1:935-1771|+    -            279 37475at50557         -            589   7.5e-15   49.8  10.3   3   3   0.00077    0.0069   10.3   0.0   149   206   190   266   186   275 0.67 -
37475at50557_1629725_0:0002a1|STRG.16420.1:1038-1751|+ -            238 37475at50557         -            589   2.2e-14   48.2   7.0   1   5   0.00017    0.0015   12.5   0.1    60   109    10    60     3    63 0.75 -
37475at50557_1629725_0:0002a1|STRG.16420.1:1038-1751|+ -            238 37475at50557         -            589   2.2e-14   48.2   7.0   2   5   0.00083    0.0075   10.2   0.0   143   180    64   101    60   108 0.73 -
37475at50557_1629725_0:0002a1|STRG.16420.1:1038-1751|+ -            238 37475at50557         -            589   2.2e-14   48.2   7.0   3   5   0.00044     0.004   11.1   0.0   148   187   111   152   103   156 0.82 -
37475at50557_1629725_0:0002a1|STRG.16420.1:1038-1751|+ -            238 37475at50557         -            589   2.2e-14   48.2   7.0   4   5   0.00017    0.0016   12.4   0.1    76   108   154   186   147   190 0.76 -
37475at50557_1629725_0:0002a1|STRG.16420.1:1038-1751|+ -            238 37475at50557         -            589   2.2e-14   48.2   7.0   5   5     0.041      0.37    4.6   0.0   138   185   188   236   185   238 0.79 -
37475at50557_1629725_0:0002a1|STRG.16420.2:1167-1880|+ -            238 37475at50557         -            589   2.2e-14   48.2   7.0   1   5   0.00017    0.0015   12.5   0.1    60   109    10    60     3    63 0.75 -
37475at50557_1629725_0:0002a1|STRG.16420.2:1167-1880|+ -            238 37475at50557         -            589   2.2e-14   48.2   7.0   2   5   0.00083    0.0075   10.2   0.0   143   180    64   101    60   108 0.73 -
37475at50557_1629725_0:0002a1|STRG.16420.2:1167-1880|+ -            238 37475at50557         -            589   2.2e-14   48.2   7.0   3   5   0.00044     0.004   11.1   0.0   148   187   111   152   103   156 0.82 -
37475at50557_1629725_0:0002a1|STRG.16420.2:1167-1880|+ -            238 37475at50557         -            589   2.2e-14   48.2   7.0   4   5   0.00017    0.0016   12.4   0.1    76   108   154   186   147   190 0.76 -
37475at50557_1629725_0:0002a1|STRG.16420.2:1167-1880|+ -            238 37475at50557         -            589   2.2e-14   48.2   7.0   5   5     0.041      0.37    4.6   0.0   138   185   188   236   185   238 0.79 -
37475at50557_1629725_0:0002a1|STRG.8742.1:156-1010|+   -            285 37475at50557         -            589     5e-13   43.8   0.1   1   2   1.8e-07   1.6e-06   22.3   0.1   144   203    42   111    25   118 0.79 -
37475at50557_1629725_0:0002a1|STRG.8742.1:156-1010|+   -            285 37475at50557         -            589     5e-13   43.8   0.1   2   2   1.3e-06   1.2e-05   19.4   0.0    58   191   110   257   105   282 0.72 -
37475at50557_39758_0:000c43|STRG.2144.1:300-980|+      -            227 37475at50557         -            589     3e-12   41.2   1.0   1   5    0.0051     0.046    7.6   0.0    63   108    10    57     2    62 0.79 -
37475at50557_39758_0:000c43|STRG.2144.1:300-980|+      -            227 37475at50557         -            589     3e-12   41.2   1.0   2   5    0.0015     0.014    9.3   0.0   145   184    65   105    60   116 0.83 -
37475at50557_39758_0:000c43|STRG.2144.1:300-980|+      -            227 37475at50557         -            589     3e-12   41.2   1.0   3   5    0.0012     0.011    9.6   0.1   155   184   117   146   112   150 0.89 -
37475at50557_39758_0:000c43|STRG.2144.1:300-980|+      -            227 37475at50557         -            589     3e-12   41.2   1.0   4   5    0.0054     0.049    7.5   0.0   147   181   151   185   145   192 0.89 -
37475at50557_39758_0:000c43|STRG.2144.1:300-980|+      -            227 37475at50557         -            589     3e-12   41.2   1.0   5   5      0.23       2.1    2.1   0.0   215   242   201   226   194   227 0.75 -
37475at50557_29031_0:002211|STRG.9531.1:428-916|+      -            163 37475at50557         -            589   2.1e-11   38.4   1.8   1   3   2.7e-07   2.5e-06   21.7   0.1   151   180     1    31     1    38 0.87 -
37475at50557_29031_0:002211|STRG.9531.1:428-916|+      -            163 37475at50557         -            589   2.1e-11   38.4   1.8   2   3     0.054      0.48    4.2   0.0    79   109    50    81    42    90 0.80 -
37475at50557_29031_0:002211|STRG.9531.1:428-916|+      -            163 37475at50557         -            589   2.1e-11   38.4   1.8   3   3   0.00037    0.0034   11.3   0.0    76   136    90   152    82   163 0.81 -
37475at50557_29031_0:002211|STRG.9531.2:423-911|+      -            163 37475at50557         -            589   2.1e-11   38.4   1.8   1   3   2.7e-07   2.5e-06   21.7   0.1   151   180     1    31     1    38 0.87 -
37475at50557_29031_0:002211|STRG.9531.2:423-911|+      -            163 37475at50557         -            589   2.1e-11   38.4   1.8   2   3     0.054      0.48    4.2   0.0    79   109    50    81    42    90 0.80 -
37475at50557_29031_0:002211|STRG.9531.2:423-911|+      -            163 37475at50557         -            589   2.1e-11   38.4   1.8   3   3   0.00037    0.0034   11.3   0.0    76   136    90   152    82   163 0.81 -
37475at50557_39758_0:000c43|STRG.15772.1:631-1305|+    -            225 37475at50557         -            589   4.5e-11   37.3   1.0   1   3   1.4e-07   1.3e-06   22.6   0.1   146   202    26    92    12   101 0.71 -
37475at50557_39758_0:000c43|STRG.15772.1:631-1305|+    -            225 37475at50557         -            589   4.5e-11   37.3   1.0   2   3     0.011     0.098    6.5   0.0   141   189   109   157    99   164 0.87 -
37475at50557_39758_0:000c43|STRG.15772.1:631-1305|+    -            225 37475at50557         -            589   4.5e-11   37.3   1.0   3   3     0.012      0.11    6.3   0.0   150   191   160   203   154   225 0.71 -
37475at50557_104421_0:00187d|STRG.4040.1:868-1599|+    -            244 37475at50557         -            589   4.9e-11   37.2   7.5   1   5     0.014      0.13    6.1   0.2   166   187    21    42     1    48 0.69 -
37475at50557_104421_0:00187d|STRG.4040.1:868-1599|+    -            244 37475at50557         -            589   4.9e-11   37.2   7.5   2   5     0.012       0.1    6.4   0.1     6    33    51    78    48    84 0.79 -
37475at50557_104421_0:00187d|STRG.4040.1:868-1599|+    -            244 37475at50557         -            589   4.9e-11   37.2   7.5   3   5      0.89         8    0.2   0.0    15    42   134   161   130   163 0.78 -
37475at50557_104421_0:00187d|STRG.4040.1:868-1599|+    -            244 37475at50557         -            589   4.9e-11   37.2   7.5   4   5   0.00055     0.005   10.8   0.0   147   190   160   203   153   206 0.92 -
37475at50557_104421_0:00187d|STRG.4040.1:868-1599|+    -            244 37475at50557         -            589   4.9e-11   37.2   7.5   5   5   2.6e-05   0.00023   15.1   0.2   149   182   204   237   202   241 0.89 -
37475at50557_29031_0:002211|STRG.9531.3:673-1098|+     -            142 37475at50557         -            589   6.3e-11   36.8   2.3   1   3   2.3e-07     2e-06   22.0   0.1   151   180     1    31     1    38 0.87 -
37475at50557_29031_0:002211|STRG.9531.3:673-1098|+     -            142 37475at50557         -            589   6.3e-11   36.8   2.3   2   3     0.041      0.37    4.6   0.0    79   109    50    81    40    90 0.80 -
37475at50557_29031_0:002211|STRG.9531.3:673-1098|+     -            142 37475at50557         -            589   6.3e-11   36.8   2.3   3   3    0.0014     0.012    9.4   0.0    76   109    90   123    82   137 0.85 -
37475at50557_39758_0:000c43|STRG.4583.1:590-1426|+     -            279 37475at50557         -            589   6.4e-11   36.8   2.4   1   5   2.6e-05   0.00023   15.2   0.0    61   109     7    57     1    67 0.82 -
37475at50557_39758_0:000c43|STRG.4583.1:590-1426|+     -            279 37475at50557         -            589   6.4e-11   36.8   2.4   2   5    0.0021     0.019    8.9   0.0    76   114    66   104    59   118 0.88 -
