#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89317at50557_144034_0:0004c3|STRG.834.1:130-843|+     -            238 89317at50557         -            194  5.3e-111  368.2  13.9   1   1    2e-113  6.1e-111  368.0  13.9     1   193    21   233    21   234 0.95 -
89317at50557_103372_0:000bfe|STRG.834.2:111-906|+     -            248 89317at50557         -            194  3.1e-109  362.4  14.5   1   1  1.3e-111  3.9e-109  362.1  14.5     1   188    21   228    21   232 0.94 -
89317at50557_7130_0:0022b9|STRG.828.1:214-858|+       -            215 89317at50557         -            194     7e-34  116.5  14.1   1   1   2.7e-36   8.3e-34  116.3  14.1     1   181     8   210     8   215 0.82 -
89317at50557_7130_0:0022b9|STRG.828.2:203-847|+       -            215 89317at50557         -            194     7e-34  116.5  14.1   1   1   2.7e-36   8.3e-34  116.3  14.1     1   181     8   210     8   215 0.82 -
89317at50557_7038_0:001f22|STRG.829.1:328-945|+       -            206 89317at50557         -            194   7.1e-27   93.6   9.1   1   1   2.8e-29   8.5e-27   93.4   9.1     1   183     1   205     1   206 0.79 -
89317at50557_66420_0:0017df|STRG.832.1:290-841|+      -            184 89317at50557         -            194   5.1e-25   87.6   5.5   1   2   1.1e-23   3.4e-21   75.1   2.0    14   116    32   144    21   149 0.87 -
89317at50557_66420_0:0017df|STRG.832.1:290-841|+      -            184 89317at50557         -            194   5.1e-25   87.6   5.5   2   2   5.4e-05     0.016   14.1   0.1     3    38   148   184   147   184 0.86 -
89317at50557_108931_0:002c91|STRG.827.1:327-917|+     -            197 89317at50557         -            194   3.6e-24   84.8  13.2   1   1   1.4e-26   4.1e-24   84.6  13.2     3   180     1   193     1   197 0.83 -
89317at50557_108931_0:002c91|STRG.6598.1:202-780|+    -            193 89317at50557         -            194   2.8e-22   78.6  13.4   1   1   4.8e-24   1.5e-21   76.3  13.4     3   181     1   193     1   193 0.83 -
89317at50557_104688_0:0015ad|STRG.830.1:153-803|+     -            217 89317at50557         -            194     3e-19   68.7  10.9   1   1   1.7e-21   5.1e-19   68.0  10.9     3   181    19   216    18   217 0.81 -
89317at50557_34740_0:00197f|STRG.6135.3:810-1580|+    -            257 89317at50557         -            194   1.8e-18   66.2  15.3   1   3   0.00021     0.063   12.2   2.0     3    56     2    57     1    74 0.86 -
