#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
128350at50557_103372_0:001a48|STRG.3528.1:79-702|+  -            208 128350at50557        -            150   1.1e-51  173.4   0.1   1   1   1.1e-53     2e-50  169.4   0.1     1   136     3   167     3   194 0.87 -
53123at50557_7168_0:000480|STRG.17211.1:645-2591|+  -            649 128350at50557        -            150     0.049   12.3   0.0   1   2    0.0038       7.1    5.3   0.0     5    36    49    81    46   101 0.83 -
53123at50557_7168_0:000480|STRG.17211.1:645-2591|+  -            649 128350at50557        -            150     0.049   12.3   0.0   2   2    0.0076        14    4.4   0.0    47   144   452   551   437   557 0.79 -
53123at50557_7168_0:000480|STRG.17211.2:645-2591|+  -            649 128350at50557        -            150     0.049   12.3   0.0   1   2    0.0038       7.1    5.3   0.0     5    36    49    81    46   101 0.83 -
53123at50557_7168_0:000480|STRG.17211.2:645-2591|+  -            649 128350at50557        -            150     0.049   12.3   0.0   2   2    0.0076        14    4.4   0.0    47   144   452   551   437   557 0.79 -
53123at50557_7168_0:000480|STRG.17211.3:645-2591|+  -            649 128350at50557        -            150     0.049   12.3   0.0   1   2    0.0038       7.1    5.3   0.0     5    36    49    81    46   101 0.83 -
53123at50557_7168_0:000480|STRG.17211.3:645-2591|+  -            649 128350at50557        -            150     0.049   12.3   0.0   2   2    0.0076        14    4.4   0.0    47   144   452   551   437   557 0.79 -
53123at50557_7168_0:000480|STRG.20724.1:1772-3730|+ -            653 128350at50557        -            150     0.052   12.3   0.1   1   2     0.077   1.4e+02    1.1   0.0     6    31    56    82    53    90 0.73 -
53123at50557_7168_0:000480|STRG.20724.1:1772-3730|+ -            653 128350at50557        -            150     0.052   12.3   0.1   2   2   0.00042      0.77    8.5   0.0    55   146   465   557   450   561 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/128350at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/128350at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/128350at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:54 2024
# [ok]
