#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+      -            349 80377at50557         -            287  2.1e-159  528.0   0.1   1   1  1.3e-160  3.7e-159  527.2   0.1     8   287    42   348    36   348 0.95 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 80377at50557         -            287   5.1e-56  188.7   9.7   1   3   6.3e-23   1.8e-21   75.4   0.5    57   208    16   184     6   186 0.83 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 80377at50557         -            287   5.1e-56  188.7   9.7   2   3   3.7e-21     1e-19   69.6   0.1    59   195   102   259    99   265 0.82 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 80377at50557         -            287   5.1e-56  188.7   9.7   3   3   3.5e-19   9.8e-18   63.1   0.5    55   194   140   300   135   306 0.84 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 80377at50557         -            287   5.1e-56  188.7   9.7   1   3   6.3e-23   1.8e-21   75.4   0.5    57   208    16   184     6   186 0.83 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 80377at50557         -            287   5.1e-56  188.7   9.7   2   3   3.7e-21     1e-19   69.6   0.1    59   195   102   259    99   265 0.82 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 80377at50557         -            287   5.1e-56  188.7   9.7   3   3   3.5e-19   9.8e-18   63.1   0.5    55   194   140   300   135   306 0.84 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 80377at50557         -            287   6.2e-56  188.5  10.0   1   3   5.7e-23   1.6e-21   75.6   0.5    56   208    23   192    10   195 0.83 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 80377at50557         -            287   6.2e-56  188.5  10.0   2   3   3.6e-21     1e-19   69.6   0.1    59   195   110   267   106   274 0.82 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 80377at50557         -            287   6.2e-56  188.5  10.0   3   3   3.9e-19   1.1e-17   63.0   0.6    55   194   148   308   143   314 0.84 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 80377at50557         -            287   3.5e-44  149.9   4.6   1   2   0.00013    0.0037   15.3   0.0    57    89     1    33     1    42 0.84 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 80377at50557         -            287   3.5e-44  149.9   4.6   2   2   1.2e-38   3.4e-37  127.0   2.6    56   278    42   281    35   287 0.85 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 80377at50557         -            287   1.2e-38  131.7  10.6   1   5   9.6e-13   2.7e-11   42.0   0.4   151   264    34   142     3   151 0.83 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 80377at50557         -            287   1.2e-38  131.7  10.6   2   5   0.00042     0.012   13.6   1.7    57   124    89   172    86   176 0.77 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 80377at50557         -            287   1.2e-38  131.7  10.6   3   5   2.5e-07     7e-06   24.2   2.2    35   110   158   232   157   238 0.85 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 80377at50557         -            287   1.2e-38  131.7  10.6   4   5   2.7e-12   7.7e-11   40.5   0.0    34   113   272   352   255   353 0.86 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 80377at50557         -            287   1.2e-38  131.7  10.6   5   5   3.1e-08   8.8e-07   27.2   0.1   221   281   346   406   342   410 0.89 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 80377at50557         -            287   1.5e-38  131.4  10.8   1   4   8.4e-13   2.3e-11   42.2   0.5   151   266   103   213    71   230 0.80 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 80377at50557         -            287   1.5e-38  131.4  10.8   2   4   2.7e-07   7.4e-06   24.1   1.9    35   110   227   301   226   307 0.85 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 80377at50557         -            287   1.5e-38  131.4  10.8   3   4   2.1e-12     6e-11   40.8   0.0    35   114   342   422   325   425 0.87 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 80377at50557         -            287   1.5e-38  131.4  10.8   4   4   2.7e-08   7.5e-07   27.4   0.1   222   281   416   475   412   481 0.52 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 80377at50557         -            287   2.3e-38  130.8  11.3   1   4   1.1e-12   3.1e-11   41.8   0.6   151   266   103   213    72   230 0.81 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 80377at50557         -            287   2.3e-38  130.8  11.3   2   4   2.9e-07   8.2e-06   24.0   2.0    35   110   227   301   226   307 0.85 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 80377at50557         -            287   2.3e-38  130.8  11.3   3   4   2.1e-12     6e-11   40.8   0.0    35   114   342   422   325   425 0.87 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 80377at50557         -            287   2.3e-38  130.8  11.3   4   4   2.7e-08   7.5e-07   27.4   0.1   222   281   416   475   412   481 0.52 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 80377at50557         -            287   9.7e-38  128.7   8.0   1   4   1.5e-17   4.1e-16   57.8   3.6    44   193   103   260    71   260 0.79 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 80377at50557         -            287   9.7e-38  128.7   8.0   2   4   6.6e-07   1.8e-05   22.8   0.2    54   110   227   283   223   289 0.88 -
