#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
139832at50557_197043_0:00604b|STRG.8362.2:1307-1582|+ -             92 139832at50557        -             99   5.7e-28   95.7   0.2   1   1     8e-31   7.2e-28   95.3   0.2    51    99     1    49     1    49 0.99 -
75748at50557_535359_0:0007e6|STRG.4768.1:606-773|+    -             56 139832at50557        -             99   2.2e-14   52.1   0.4   1   1   2.5e-17   2.2e-14   52.1   0.4    31    82     5    54     1    56 0.92 -
139832at50557_315563_0:0025cb|STRG.22491.1:609-836|+  -             76 139832at50557        -             99   4.7e-11   41.4   0.4   1   1   6.1e-14   5.5e-11   41.2   0.4    29    81    26    76     6    76 0.89 -
139832at50557_7038_0:002dbe|STRG.3855.1:729-1097|+    -            123 139832at50557        -             99   3.9e-10   38.5   1.8   1   3       3.7   3.3e+03   -3.0   0.0    56    64     2    10     1    16 0.81 -
139832at50557_7038_0:002dbe|STRG.3855.1:729-1097|+    -            123 139832at50557        -             99   3.9e-10   38.5   1.8   2   3      0.29   2.6e+02    0.5   0.1    14    42    20    48    10    52 0.77 -
139832at50557_7038_0:002dbe|STRG.3855.1:729-1097|+    -            123 139832at50557        -             99   3.9e-10   38.5   1.8   3   3   1.2e-12   1.1e-09   37.1   0.0    30    82    66   116    56   122 0.87 -
75748at50557_535359_0:0007e6|STRG.17901.1:27-164|-    -             46 139832at50557        -             99   6.8e-05   21.7   0.2   1   1   7.7e-08   6.9e-05   21.6   0.2    27    70     3    44     1    46 0.80 -
114148at50557_110193_0:0001b8|STRG.6422.1:2848-3375|+ -            176 139832at50557        -             99   0.00048   18.9   0.5   1   2     5e-06    0.0045   15.8   0.2    38    82    12    56     2    67 0.84 -
114148at50557_110193_0:0001b8|STRG.6422.1:2848-3375|+ -            176 139832at50557        -             99   0.00048   18.9   0.5   2   2      0.17   1.5e+02    1.3   0.0    43    57    62    76    56    88 0.84 -
114148at50557_110193_0:0001b8|STRG.6422.2:2844-3371|+ -            176 139832at50557        -             99   0.00048   18.9   0.5   1   2     5e-06    0.0045   15.8   0.2    38    82    12    56     2    67 0.84 -
114148at50557_110193_0:0001b8|STRG.6422.2:2844-3371|+ -            176 139832at50557        -             99   0.00048   18.9   0.5   2   2      0.17   1.5e+02    1.3   0.0    43    57    62    76    56    88 0.84 -
114148at50557_110193_0:0001b8|STRG.6422.3:2412-2939|+ -            176 139832at50557        -             99   0.00048   18.9   0.5   1   2     5e-06    0.0045   15.8   0.2    38    82    12    56     2    67 0.84 -
114148at50557_110193_0:0001b8|STRG.6422.3:2412-2939|+ -            176 139832at50557        -             99   0.00048   18.9   0.5   2   2      0.17   1.5e+02    1.3   0.0    43    57    62    76    56    88 0.84 -
139832at50557_143995_0:00034e|STRG.8366.1:66-395|+    -            110 139832at50557        -             99   0.00057   18.7   0.0   1   1   9.8e-07   0.00088   18.1   0.0     2    21    87   106    86   110 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/139832at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/139832at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/139832at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:15:14 2024
# [ok]
