#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129956at50557_34720_0:00189a|STRG.9575.1:146-562|+      -            139 129956at50557        -            110   9.7e-63  207.9   0.2   1   1   2.4e-64   1.1e-62  207.7   0.2     1   107     1   114     1   117 0.94 -
117816at50557_7200_0:0014c2|STRG.6702.4:745-1638|+      -            298 129956at50557        -            110   6.4e-29   99.0   0.1   1   3   6.2e-11   2.9e-09   35.8   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.6702.4:745-1638|+      -            298 129956at50557        -            110   6.4e-29   99.0   0.1   2   3   8.2e-09   3.8e-07   28.9   0.0    30    94    76   140    71   152 0.95 -
117816at50557_7200_0:0014c2|STRG.6702.4:745-1638|+      -            298 129956at50557        -            110   6.4e-29   99.0   0.1   3   3     2e-09   9.5e-08   30.9   0.0    31   104   215   289   208   295 0.91 -
117816at50557_69004_0:00324f|STRG.3168.1:627-1670|+     -            348 129956at50557        -            110   2.8e-28   97.0   0.2   1   4   8.8e-07   4.1e-05   22.4   0.0    32   104     2    74     1    80 0.95 -
117816at50557_69004_0:00324f|STRG.3168.1:627-1670|+     -            348 129956at50557        -            110   2.8e-28   97.0   0.2   2   4     1e-07   4.8e-06   25.4   0.1    32   107    90   164    83   167 0.91 -
117816at50557_69004_0:00324f|STRG.3168.1:627-1670|+     -            348 129956at50557        -            110   2.8e-28   97.0   0.2   3   4   1.7e-09   7.9e-08   31.1   0.0    30    98   181   248   164   261 0.87 -
117816at50557_69004_0:00324f|STRG.3168.1:627-1670|+     -            348 129956at50557        -            110   2.8e-28   97.0   0.2   4   4   0.00053     0.025   13.4   0.0    45    93   300   346   265   348 0.77 -
100341at50557_319348_0:001dc7|STRG.6702.1:1224-2231|+   -            336 129956at50557        -            110   4.3e-26   89.9   0.0   1   3   1.1e-12   5.1e-11   41.4   0.0    32   107     6    81     2    84 0.94 -
100341at50557_319348_0:001dc7|STRG.6702.1:1224-2231|+   -            336 129956at50557        -            110   4.3e-26   89.9   0.0   2   3    0.0012     0.058   12.2   0.0    30    93    90   166    85   173 0.72 -
100341at50557_319348_0:001dc7|STRG.6702.1:1224-2231|+   -            336 129956at50557        -            110   4.3e-26   89.9   0.0   3   3   2.6e-09   1.2e-07   30.5   0.0    31   104   256   330   248   335 0.91 -
100341at50557_319348_0:001dc7|STRG.6702.3:703-1737|+    -            345 129956at50557        -            110     5e-26   89.7   0.0   1   3   1.1e-12   5.3e-11   41.3   0.0    32   107     6    81     2    84 0.94 -
100341at50557_319348_0:001dc7|STRG.6702.3:703-1737|+    -            345 129956at50557        -            110     5e-26   89.7   0.0   2   3    0.0013     0.061   12.2   0.0    30    93    90   166    85   173 0.72 -
100341at50557_319348_0:001dc7|STRG.6702.3:703-1737|+    -            345 129956at50557        -            110     5e-26   89.7   0.0   3   3   2.7e-09   1.3e-07   30.5   0.0    31   104   265   339   257   344 0.91 -
117816at50557_69004_0:00324f|STRG.15005.1:716-1690|+    -            325 129956at50557        -            110   5.1e-23   80.0   0.3   1   4     0.065         3    6.7   0.0    56   103     3    50     1    57 0.90 -
117816at50557_69004_0:00324f|STRG.15005.1:716-1690|+    -            325 129956at50557        -            110   5.1e-23   80.0   0.3   2   4   3.2e-07   1.5e-05   23.8   0.1    32   107    67   141    60   144 0.91 -
