#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
112400at50557_103372_0:0027c8|STRG.15080.1:88-1107|+  -            340 112400at50557        -            249  2.3e-128  426.0  21.9   1   1  3.3e-130  1.6e-127  423.2  21.9     7   248    64   322    34   323 0.91 -
102433at50557_116153_0:000386|STRG.5325.1:995-1417|+  -            141 112400at50557        -            249   3.6e-05   22.4   1.3   1   1     1e-07   4.9e-05   22.0   1.3   194   234    94   134    81   137 0.91 -
102433at50557_116153_0:000386|STRG.5325.2:3034-3456|+ -            141 112400at50557        -            249   3.6e-05   22.4   1.3   1   1     1e-07   4.9e-05   22.0   1.3   194   234    94   134    81   137 0.91 -
102433at50557_116153_0:000386|STRG.5325.3:3104-3526|+ -            141 112400at50557        -            249   3.6e-05   22.4   1.3   1   1     1e-07   4.9e-05   22.0   1.3   194   234    94   134    81   137 0.91 -
102433at50557_116153_0:000386|STRG.5325.4:3252-3674|+ -            141 112400at50557        -            249   3.6e-05   22.4   1.3   1   1     1e-07   4.9e-05   22.0   1.3   194   234    94   134    81   137 0.91 -
72133at50557_121225_0:001e7f|STRG.8649.3:182-733|+    -            184 112400at50557        -            249   0.00023   19.8   0.6   1   1   8.7e-07   0.00042   18.9   0.6   192   234     9    51     6    60 0.91 -
72133at50557_121225_0:001e7f|STRG.8649.5:400-951|+    -            184 112400at50557        -            249   0.00023   19.8   0.6   1   1   8.7e-07   0.00042   18.9   0.6   192   234     9    51     6    60 0.91 -
102433at50557_197043_0:007171|STRG.2146.1:50-292|+    -             81 112400at50557        -            249   0.00087   17.9   3.8   1   1   2.2e-06    0.0011   17.6   3.8   192   236    29    74    23    77 0.88 -
102433at50557_43151_0:0014de|STRG.5268.1:271-801|+    -            177 112400at50557        -            249    0.0014   17.2   0.8   1   1   3.9e-06    0.0019   16.8   0.8   185   234    16    68     5    72 0.81 -
102433at50557_197043_0:007171|STRG.1154.1:159-362|+   -             68 112400at50557        -            249     0.002   16.7   3.4   1   1   4.3e-06    0.0021   16.6   3.4   191   233    18    61     4    66 0.80 -
102433at50557_197043_0:007171|STRG.1154.2:159-362|+   -             68 112400at50557        -            249     0.002   16.7   3.4   1   1   4.3e-06    0.0021   16.6   3.4   191   233    18    61     4    66 0.80 -
28875at50557_520822_0:001662|STRG.18682.1:459-2504|+  -            682 112400at50557        -            249    0.0072   14.9   2.3   1   1   2.1e-05      0.01   14.4   1.8   186   233   578   626   550   640 0.83 -
28875at50557_520822_0:001662|STRG.18682.2:885-2930|+  -            682 112400at50557        -            249    0.0072   14.9   2.3   1   1   2.1e-05      0.01   14.4   1.8   186   233   578   626   550   640 0.83 -
28875at50557_520822_0:001662|STRG.18682.3:779-2824|+  -            682 112400at50557        -            249    0.0072   14.9   2.3   1   1   2.1e-05      0.01   14.4   1.8   186   233   578   626   550   640 0.83 -
28875at50557_520822_0:001662|STRG.18682.4:41-2086|+   -            682 112400at50557        -            249    0.0072   14.9   2.3   1   1   2.1e-05      0.01   14.4   1.8   186   233   578   626   550   640 0.83 -
43508at50557_64793_0:0009c8|STRG.17107.1:206-1387|+   -            394 112400at50557        -            249     0.019   13.5   1.2   1   1   7.8e-05     0.038   12.5   1.2   174   234   110   171   102   180 0.82 -
43508at50557_456900_0:00177a|STRG.17107.2:284-1939|+  -            552 112400at50557        -            249     0.031   12.8   1.2   1   1   0.00013     0.062   11.8   1.2   174   234   268   329   260   338 0.82 -
28875at50557_197043_0:001126|STRG.10182.1:1176-1427|+ -             84 112400at50557        -            249     0.054   12.0   1.4   1   1   0.00012      0.06   11.9   1.4   170   231    21    84    15    84 0.81 -
45419at50557_51655_0:002e4f|STRG.5256.1:879-1100|+    -             74 112400at50557        -            249      0.16   10.5   2.5   1   2     0.011       5.4    5.5   0.3   188   213    23    48     6    52 0.79 -
45419at50557_51655_0:002e4f|STRG.5256.1:879-1100|+    -             74 112400at50557        -            249      0.16   10.5   2.5   2   2    0.0068       3.3    6.2   0.2   190   208    53    71    41    74 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/112400at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/112400at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/112400at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:25 2024
# [ok]
