#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
119324at50557_609295_0:001eaf|STRG.2587.1:201-710|+   -            170 119324at50557        -            141   1.5e-83  276.8   5.5   1   1   1.1e-85   1.8e-83  276.5   5.5     1   141     1   154     1   154 0.97 -
112578at50557_34720_0:000f89|STRG.1595.2:0-566|+      -            189 119324at50557        -            141   2.2e-26   91.5   0.6   1   2       5.4   8.8e+02   -1.2   0.0     1    18     1    18     1    24 0.85 -
112578at50557_34720_0:000f89|STRG.1595.2:0-566|+      -            189 119324at50557        -            141   2.2e-26   91.5   0.6   2   2   3.2e-28   5.2e-26   90.3   0.4    11   141    25   171    16   171 0.86 -
112578at50557_34720_0:000f89|STRG.1595.1:69-638|+     -            190 119324at50557        -            141   2.2e-26   91.5   0.6   1   2       5.4   8.9e+02   -1.2   0.0     1    18     2    19     2    25 0.85 -
112578at50557_34720_0:000f89|STRG.1595.1:69-638|+     -            190 119324at50557        -            141   2.2e-26   91.5   0.6   2   2   3.2e-28   5.3e-26   90.2   0.4    11   141    26   172    17   172 0.86 -
119324at50557_93721_0:00259c|STRG.1248.1:240-683|+    -            148 119324at50557        -            141   1.9e-19   69.0   3.4   1   2    0.0015      0.24   10.3   0.0    74   107     3    36     1    42 0.88 -
119324at50557_93721_0:00259c|STRG.1248.1:240-683|+    -            148 119324at50557        -            141   1.9e-19   69.0   3.4   2   2   1.7e-18   2.8e-16   58.7   1.8    51   141    53   145    37   145 0.92 -
119324at50557_93721_0:00259c|STRG.1248.2:427-843|+    -            139 119324at50557        -            141   1.8e-18   65.9   3.7   1   2     0.012         2    7.3   0.0    81   107     1    27     1    36 0.83 -
119324at50557_93721_0:00259c|STRG.1248.2:427-843|+    -            139 119324at50557        -            141   1.8e-18   65.9   3.7   2   2   1.5e-18   2.5e-16   58.9   1.8    51   141    44   136    30   136 0.92 -
119324at50557_1049336_0:003cac|STRG.15483.1:370-774|+ -            135 119324at50557        -            141   1.8e-18   65.8   1.3   1   2     0.033       5.3    6.0   0.0    85   109     5    29     1    35 0.83 -
119324at50557_1049336_0:003cac|STRG.15483.1:370-774|+ -            135 119324at50557        -            141   1.8e-18   65.8   1.3   2   2   1.1e-18   1.7e-16   59.4   0.5    43   140    33   135    27   135 0.90 -
119324at50557_319348_0:001162|STRG.8862.1:927-1376|+  -            150 119324at50557        -            141   1.8e-16   59.3   0.5   1   1   1.5e-18   2.5e-16   58.9   0.5    27   140    24   145     9   146 0.91 -
119324at50557_319348_0:001162|STRG.8862.2:63-512|+    -            150 119324at50557        -            141   1.8e-16   59.3   0.5   1   1   1.5e-18   2.5e-16   58.9   0.5    27   140    24   145     9   146 0.91 -
119324at50557_28612_0:006210|STRG.11754.1:272-754|+   -            161 119324at50557        -            141   4.6e-16   58.0   0.9   1   1   1.4e-16   2.2e-14   52.6   0.9    29   141    30   160    11   160 0.75 -
119324at50557_28612_0:006210|STRG.11754.2:241-723|+   -            161 119324at50557        -            141   4.6e-16   58.0   0.9   1   1   1.4e-16   2.2e-14   52.6   0.9    29   141    30   160    11   160 0.75 -
119324at50557_28612_0:006210|STRG.11754.3:222-704|+   -            161 119324at50557        -            141   4.6e-16   58.0   0.9   1   1   1.4e-16   2.2e-14   52.6   0.9    29   141    30   160    11   160 0.75 -
119324at50557_1049336_0:003cac|STRG.7090.1:317-754|+  -            146 119324at50557        -            141   1.1e-12   47.1   0.3   1   1   9.7e-15   1.6e-12   46.6   0.3    15   140    12   146     4   146 0.85 -
119324at50557_1049336_0:003cac|STRG.7090.2:318-731|+  -            138 119324at50557        -            141   1.7e-12   46.4   0.7   1   1   1.4e-14   2.3e-12   46.0   0.7    16   140     5   138     1   138 0.84 -
119324at50557_28612_0:006210|STRG.5468.1:138-563|+    -            142 119324at50557        -            141     2e-12   46.2   0.5   1   1   4.1e-14   6.8e-12   44.5   0.5    17   140     5   137     1   138 0.79 -
119324at50557_54969_0:002fed|STRG.11757.1:386-679|+   -             98 119324at50557        -            141   1.3e-11   43.6   0.1   1   1   8.8e-14   1.4e-11   43.5   0.1    38   108    24    93     6    97 0.87 -
119324at50557_54969_0:002fed|STRG.11757.2:145-438|+   -             98 119324at50557        -            141   1.3e-11   43.6   0.1   1   1   8.8e-14   1.4e-11   43.5   0.1    38   108    24    93     6    97 0.87 -
119324at50557_38123_0:00169f|STRG.5467.1:125-568|+    -            148 119324at50557        -            141     2e-11   43.0   0.4   1   2    0.0028      0.45    9.4   0.1    80   103     6    29     2    37 0.88 -
119324at50557_38123_0:00169f|STRG.5467.1:125-568|+    -            148 119324at50557        -            141     2e-11   43.0   0.4   2   2   3.8e-10   6.1e-08   31.7   0.0    51   140    50   145    36   146 0.80 -
119324at50557_28612_0:006210|STRG.8120.1:1233-1571|+  -            113 119324at50557        -            141   4.4e-11   41.9   2.4   1   2   7.9e-07   0.00013   20.9   0.2    85   141     4    62     1    62 0.80 -
119324at50557_28612_0:006210|STRG.8120.1:1233-1571|+  -            113 119324at50557        -            141   4.4e-11   41.9   2.4   2   2     1e-08   1.7e-06   27.0   0.1    49   107    41   107    28   111 0.74 -
119324at50557_28612_0:006210|STRG.8120.2:529-867|+    -            113 119324at50557        -            141   4.4e-11   41.9   2.4   1   2   7.9e-07   0.00013   20.9   0.2    85   141     4    62     1    62 0.80 -
119324at50557_28612_0:006210|STRG.8120.2:529-867|+    -            113 119324at50557        -            141   4.4e-11   41.9   2.4   2   2     1e-08   1.7e-06   27.0   0.1    49   107    41   107    28   111 0.74 -
119324at50557_28612_0:006210|STRG.8120.3:511-849|+    -            113 119324at50557        -            141   4.4e-11   41.9   2.4   1   2   7.9e-07   0.00013   20.9   0.2    85   141     4    62     1    62 0.80 -
119324at50557_28612_0:006210|STRG.8120.3:511-849|+    -            113 119324at50557        -            141   4.4e-11   41.9   2.4   2   2     1e-08   1.7e-06   27.0   0.1    49   107    41   107    28   111 0.74 -
119324at50557_29053_0:0019d1|STRG.16177.3:519-866|+   -            116 119324at50557        -            141   5.6e-11   41.5   0.2   1   1   1.9e-12   3.1e-10   39.1   0.2    44   139     6   111     1   113 0.76 -
119324at50557_29053_0:0019d1|STRG.16177.4:358-705|+   -            116 119324at50557        -            141   5.6e-11   41.5   0.2   1   1   1.9e-12   3.1e-10   39.1   0.2    44   139     6   111     1   113 0.76 -
119324at50557_29053_0:0019d1|STRG.16177.5:358-705|+   -            116 119324at50557        -            141   5.6e-11   41.5   0.2   1   1   1.9e-12   3.1e-10   39.1   0.2    44   139     6   111     1   113 0.76 -
