#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
15817at50557_610380_0:002a13|STRG.11472.1:10-2959|+    -            689 15817at50557         -            797         0 1230.2   2.1   1   1         0         0 1228.7   2.1    65   696     1   681     1   684 0.96 -
15817at50557_29053_0:00140c|STRG.5858.1:2199-3629|+    -            477 15817at50557         -            797   7.9e-37  125.9   0.0   1   1     8e-39     1e-36  125.5   0.0   337   747     8   449     2   462 0.79 -
15817at50557_29053_0:00140c|STRG.5858.2:1121-2551|+    -            477 15817at50557         -            797   7.9e-37  125.9   0.0   1   1     8e-39     1e-36  125.5   0.0   337   747     8   449     2   462 0.79 -
15817at50557_42026_0:000403|STRG.3465.2:808-1869|+     -            354 15817at50557         -            797     1e-33  115.6   0.0   1   1     1e-35   1.3e-33  115.2   0.0   484   730    50   317    39   349 0.83 -
15817at50557_42026_0:000403|STRG.3465.1:892-1920|+     -            343 15817at50557         -            797   1.2e-33  115.3   0.0   1   1   1.2e-35   1.5e-33  115.0   0.0   484   729    50   316    39   341 0.84 -
15817at50557_38123_0:0022d3|STRG.18297.1:290-856|+     -            189 15817at50557         -            797   1.7e-23   81.8   0.1   1   2   8.9e-12   1.1e-09   36.1   0.0   174   248     1    77     1    87 0.92 -
15817at50557_38123_0:0022d3|STRG.18297.1:290-856|+     -            189 15817at50557         -            797   1.7e-23   81.8   0.1   2   2   5.8e-14   7.6e-12   43.3   0.0     6    81   105   184   100   188 0.88 -
15817at50557_38123_0:0022d3|STRG.18297.2:104-670|+     -            189 15817at50557         -            797   1.7e-23   81.8   0.1   1   2   8.9e-12   1.1e-09   36.1   0.0   174   248     1    77     1    87 0.92 -
15817at50557_38123_0:0022d3|STRG.18297.2:104-670|+     -            189 15817at50557         -            797   1.7e-23   81.8   0.1   2   2   5.8e-14   7.6e-12   43.3   0.0     6    81   105   184   100   188 0.88 -
91571at50557_7038_0:00203c|STRG.5992.1:1105-2019|+     -            305 15817at50557         -            797     8e-20   69.7   1.5   1   3   2.9e-09   3.8e-07   27.7   0.2     6    99     4   111     1   117 0.72 -
91571at50557_7038_0:00203c|STRG.5992.1:1105-2019|+     -            305 15817at50557         -            797     8e-20   69.7   1.5   2   3   2.6e-13   3.3e-11   41.1   0.0     6    96   116   208   112   214 0.88 -
91571at50557_7038_0:00203c|STRG.5992.1:1105-2019|+     -            305 15817at50557         -            797     8e-20   69.7   1.5   3   3         3   3.8e+02   -2.1   0.1    99   163   234   296   228   298 0.71 -
91571at50557_7038_0:00203c|STRG.5992.2:1184-2098|+     -            305 15817at50557         -            797     8e-20   69.7   1.5   1   3   2.9e-09   3.8e-07   27.7   0.2     6    99     4   111     1   117 0.72 -
91571at50557_7038_0:00203c|STRG.5992.2:1184-2098|+     -            305 15817at50557         -            797     8e-20   69.7   1.5   2   3   2.6e-13   3.3e-11   41.1   0.0     6    96   116   208   112   214 0.88 -
91571at50557_7038_0:00203c|STRG.5992.2:1184-2098|+     -            305 15817at50557         -            797     8e-20   69.7   1.5   3   3         3   3.8e+02   -2.1   0.1    99   163   234   296   228   298 0.71 -
98332at50557_133901_0:000b7a|STRG.18297.4:109-456|+    -            116 15817at50557         -            797     3e-12   44.6   0.3   1   2   2.9e-12   3.8e-10   37.7   0.0   174   248     1    77     1    82 0.92 -
98332at50557_133901_0:000b7a|STRG.18297.4:109-456|+    -            116 15817at50557         -            797     3e-12   44.6   0.3   2   2    0.0003     0.038   11.2   0.0    50    87    46    84    42   106 0.78 -
98332at50557_103372_0:00196c|STRG.1008.1:0-632|+       -            211 15817at50557         -            797   3.5e-12   44.4   0.0   1   2      0.67        87    0.1   0.0   119   160    14    54     4    58 0.84 -
98332at50557_103372_0:00196c|STRG.1008.1:0-632|+       -            211 15817at50557         -            797   3.5e-12   44.4   0.0   2   2   1.2e-13   1.6e-11   42.2   0.0     6   140    58   189    53   199 0.82 -
98332at50557_7004_0:00518d|STRG.18297.3:461-724|+      -             88 15817at50557         -            797   4.9e-12   43.9   0.0   1   1   4.4e-14   5.7e-12   43.7   0.0     8    81     1    78     1    83 0.88 -
