#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
966at50557_51655_0:00313f|STRG.4410.1:1579-2010|+     -            144 966at50557           -           1751   6.6e-49  162.7   0.8   1   1   4.9e-50   7.7e-49  162.5   0.8  1641  1745     1   118     1   122 0.92 -
966at50557_1218281_0:0025fb|STRG.7540.1:1358-2515|+   -            386 966at50557           -           1751   6.3e-34  113.1  11.4   1   6   3.5e-13   5.5e-12   40.3   0.4    30   140     5   116     1   117 0.84 -
966at50557_1218281_0:0025fb|STRG.7540.1:1358-2515|+   -            386 966at50557           -           1751   6.3e-34  113.1  11.4   2   6   4.5e-05   0.00071   13.4   0.0    29    84    70   126    61   132 0.61 -
966at50557_1218281_0:0025fb|STRG.7540.1:1358-2515|+   -            386 966at50557           -           1751   6.3e-34  113.1  11.4   3   6   1.7e-07   2.7e-06   21.5   0.0   201   259   102   165    96   167 0.86 -
966at50557_1218281_0:0025fb|STRG.7540.1:1358-2515|+   -            386 966at50557           -           1751   6.3e-34  113.1  11.4   4   6     1e-11   1.6e-10   35.5   0.1    25   119   132   226   127   232 0.87 -
966at50557_1218281_0:0025fb|STRG.7540.1:1358-2515|+   -            386 966at50557           -           1751   6.3e-34  113.1  11.4   5   6     3e-06   4.7e-05   17.3   0.2   200   257   233   295   225   300 0.83 -
966at50557_1218281_0:0025fb|STRG.7540.1:1358-2515|+   -            386 966at50557           -           1751   6.3e-34  113.1  11.4   6   6   9.2e-08   1.4e-06   22.4   0.2    28   114   300   386   293   386 0.90 -
966at50557_1218281_0:0025fb|STRG.1785.1:1398-2576|+   -            393 966at50557           -           1751     1e-31  105.8   1.0   1   3   2.9e-06   4.6e-05   17.4   0.0   203   258     1    61     1    64 0.84 -
966at50557_1218281_0:0025fb|STRG.1785.1:1398-2576|+   -            393 966at50557           -           1751     1e-31  105.8   1.0   2   3   3.5e-09   5.6e-08   27.1   0.0    19   118   193   292   190   301 0.87 -
966at50557_1218281_0:0025fb|STRG.1785.1:1398-2576|+   -            393 966at50557           -           1751     1e-31  105.8   1.0   3   3   7.2e-09   1.1e-07   26.0   0.0    27   115   301   390   293   392 0.92 -
966at50557_1218281_0:0025fb|STRG.1785.2:1149-2327|+   -            393 966at50557           -           1751     1e-31  105.8   1.0   1   3   2.9e-06   4.6e-05   17.4   0.0   203   258     1    61     1    64 0.84 -
966at50557_1218281_0:0025fb|STRG.1785.2:1149-2327|+   -            393 966at50557           -           1751     1e-31  105.8   1.0   2   3   3.5e-09   5.6e-08   27.1   0.0    19   118   193   292   190   301 0.87 -
966at50557_1218281_0:0025fb|STRG.1785.2:1149-2327|+   -            393 966at50557           -           1751     1e-31  105.8   1.0   3   3   7.2e-09   1.1e-07   26.0   0.0    27   115   301   390   293   392 0.92 -
966at50557_1218281_0:0025fb|STRG.21544.1:2224-3639|+  -            472 966at50557           -           1751   2.4e-30  101.2   4.2   1   5   1.2e-06   1.9e-05   18.6   0.1    30   115     1    86     1    90 0.93 -
966at50557_1218281_0:0025fb|STRG.21544.1:2224-3639|+  -            472 966at50557           -           1751   2.4e-30  101.2   4.2   2   5   1.4e-09   2.2e-08   28.4   0.1    25   118    96   190    88   199 0.91 -
966at50557_1218281_0:0025fb|STRG.21544.1:2224-3639|+  -            472 966at50557           -           1751   2.4e-30  101.2   4.2   3   5   0.00012    0.0019   12.0   0.1    25   114   199   288   190   298 0.73 -
966at50557_1218281_0:0025fb|STRG.21544.1:2224-3639|+  -            472 966at50557           -           1751   2.4e-30  101.2   4.2   4   5   1.4e-07   2.2e-06   21.7   0.0    61   116   314   371   268   382 0.80 -
