#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
25500at50557_13686_0:0020f5|STRG.12295.1:163-1968|+    -            602 25500at50557         -            513  1.6e-291  966.3   7.4   1   1    2e-290  8.5e-289  957.4   7.4     1   513     6   599     6   599 0.91 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 25500at50557         -            513   6.6e-20   70.2   6.0   1   4   2.6e-05    0.0011   16.7   0.0   439   479    49    89    32    93 0.88 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 25500at50557         -            513   6.6e-20   70.2   6.0   2   4   1.5e-07   6.3e-06   24.1   1.2   223   354    92   232    89   241 0.79 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 25500at50557         -            513   6.6e-20   70.2   6.0   3   4   3.9e-08   1.6e-06   26.0   0.0   155   255   270   373   262   378 0.82 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 25500at50557         -            513   6.6e-20   70.2   6.0   4   4      0.44        18    2.8   0.0   221   246   380   405   372   410 0.71 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 25500at50557         -            513   8.5e-20   69.8   6.2   1   4   2.6e-05    0.0011   16.7   0.0   439   479   118   158    91   163 0.88 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 25500at50557         -            513   8.5e-20   69.8   6.2   2   4   1.9e-07     8e-06   23.7   1.1   223   354   161   301   158   311 0.79 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 25500at50557         -            513   8.5e-20   69.8   6.2   3   4   4.8e-08     2e-06   25.7   0.0   155   255   339   442   331   448 0.82 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 25500at50557         -            513   8.5e-20   69.8   6.2   4   4      0.22       9.2    3.8   0.0   222   247   450   475   442   481 0.52 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 25500at50557         -            513   1.3e-19   69.2   3.4   1   7       2.7   1.1e+02    0.2   0.0   141   172    15    44     9    50 0.84 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 25500at50557         -            513   1.3e-19   69.2   3.4   2   7     0.017      0.71    7.4   0.0   222   261    58    98    47   104 0.59 -
