#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
110603at50557_103372_0:00177b|STRG.16053.1:181-927|+  -            249 110603at50557        -            183   8.6e-67  223.2   5.9   1   1   1.3e-68   2.6e-66  221.6   5.9     4   168    24   217    21   229 0.86 -
118237at50557_7070_0:00080a|STRG.5716.1:524-1069|+    -            182 110603at50557        -            183     5e-13   48.0   0.0   1   1   4.7e-15   9.6e-13   47.1   0.0    12   138     4   146     2   154 0.76 -
118237at50557_7070_0:00080a|STRG.5716.2:212-757|+     -            182 110603at50557        -            183     5e-13   48.0   0.0   1   1   4.7e-15   9.6e-13   47.1   0.0    12   138     4   146     2   154 0.76 -
118237at50557_7070_0:00080a|STRG.5716.3:460-1005|+    -            182 110603at50557        -            183     5e-13   48.0   0.0   1   1   4.7e-15   9.6e-13   47.1   0.0    12   138     4   146     2   154 0.76 -
118237at50557_121845_0:0047c3|STRG.11499.1:129-647|+  -            173 110603at50557        -            183   1.6e-11   43.1   0.0   1   1   1.3e-13   2.6e-11   42.4   0.0    24   135    16   141     4   150 0.80 -
118237at50557_121845_0:0047c3|STRG.11499.2:324-842|+  -            173 110603at50557        -            183   1.6e-11   43.1   0.0   1   1   1.3e-13   2.6e-11   42.4   0.0    24   135    16   141     4   150 0.80 -
118237at50557_56086_0:002463|STRG.11561.1:1625-2134|+ -            170 110603at50557        -            183   1.3e-10   40.2   0.0   1   1     1e-12   2.1e-10   39.5   0.0    24   135    16   141     8   147 0.83 -
118237at50557_56086_0:002463|STRG.11561.2:266-775|+   -            170 110603at50557        -            183   1.3e-10   40.2   0.0   1   1     1e-12   2.1e-10   39.5   0.0    24   135    16   141     8   147 0.83 -
118237at50557_56086_0:002463|STRG.11561.3:508-1017|+  -            170 110603at50557        -            183   1.3e-10   40.2   0.0   1   1     1e-12   2.1e-10   39.5   0.0    24   135    16   141     8   147 0.83 -
118237at50557_56086_0:002463|STRG.11561.4:271-780|+   -            170 110603at50557        -            183   1.3e-10   40.2   0.0   1   1     1e-12   2.1e-10   39.5   0.0    24   135    16   141     8   147 0.83 -
118237at50557_28612_0:004a80|STRG.6143.1:522-1010|+   -            163 110603at50557        -            183   2.2e-10   39.4   0.0   1   1   1.6e-12   3.3e-10   38.8   0.0    27   132     2   121     1   134 0.74 -
118237at50557_7539_0:0029ad|STRG.3376.1:389-844|+     -            152 110603at50557        -            183   3.1e-09   35.6   0.1   1   1   2.3e-11   4.8e-09   35.0   0.1    28   137     1   124     1   134 0.74 -
118237at50557_121845_0:0047c3|STRG.7793.1:296-796|+   -            167 110603at50557        -            183   6.2e-09   34.7   0.2   1   1   7.5e-11   1.5e-08   33.4   0.2    25   137    11   137     3   161 0.74 -
118237at50557_13164_0:001264|STRG.8704.1:113-586|+    -            158 110603at50557        -            183   6.7e-09   34.6   0.0   1   1   5.2e-11   1.1e-08   33.9   0.0    27   133     6   126     2   134 0.74 -
118237at50557_13164_0:001264|STRG.8704.2:182-655|+    -            158 110603at50557        -            183   6.7e-09   34.6   0.0   1   1   5.2e-11   1.1e-08   33.9   0.0    27   133     6   126     2   134 0.74 -
118237at50557_121845_0:0047c3|STRG.7793.2:143-667|+   -            175 110603at50557        -            183   7.1e-09   34.5   0.2   1   1   8.6e-11   1.8e-08   33.2   0.2    25   137    11   137     3   162 0.74 -
117348at50557_103372_0:000852|STRG.2948.1:0-614|+     -            205 110603at50557        -            183     1e-07   30.7   0.1   1   1     1e-08   2.2e-06   26.4   0.0    60   142    69   156     2   162 0.61 -
118237at50557_411798_0:000ee6|STRG.17562.2:533-1153|+ -            207 110603at50557        -            183   2.3e-07   29.5   0.0   1   1   1.1e-08   2.3e-06   26.3   0.0    30   136    28   153    23   160 0.66 -
118237at50557_411798_0:000ee6|STRG.17562.3:334-954|+  -            207 110603at50557        -            183   2.3e-07   29.5   0.0   1   1   1.1e-08   2.3e-06   26.3   0.0    30   136    28   153    23   160 0.66 -
111939at50557_103372_0:001457|STRG.18914.1:76-633|+   -            186 110603at50557        -            183   2.4e-07   29.5   0.0   1   1   2.3e-09   4.8e-07   28.5   0.0    24   128    19   138     1   150 0.74 -
118237at50557_7070_0:00080a|STRG.17676.1:1509-1985|+  -            159 110603at50557        -            183   7.3e-07   27.9   0.1   1   1   1.2e-08   2.4e-06   26.2   0.1    28   129     3   119     1   131 0.68 -
118237at50557_113334_0:00122f|STRG.11767.1:46-588|+   -            181 110603at50557        -            183   1.3e-06   27.0   0.1   1   1   2.7e-08   5.6e-06   25.0   0.1    22    96    14    98     8   135 0.75 -
