#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
22348at50557_411798_0:00330e|STRG.16157.1:2-1048|+    -            349 22348at50557         -            571  1.1e-202  669.8  14.5   1   1    1e-202  4.3e-201  664.6  14.5   262   571     1   340     1   340 0.95 -
22348at50557_7130_0:000f23|STRG.6171.1:9103-10023|+   -            307 22348at50557         -            571   1.9e-38  127.6   1.1   1   1   5.7e-40   2.4e-38  127.2   1.1   274   525    15   273     6   297 0.80 -
22348at50557_7130_0:000f23|STRG.6171.2:9031-9951|+    -            307 22348at50557         -            571   1.9e-38  127.6   1.1   1   1   5.7e-40   2.4e-38  127.2   1.1   274   525    15   273     6   297 0.80 -
22348at50557_7130_0:000f23|STRG.6171.3:13059-13979|+  -            307 22348at50557         -            571   1.9e-38  127.6   1.1   1   1   5.7e-40   2.4e-38  127.2   1.1   274   525    15   273     6   297 0.80 -
22348at50557_7130_0:000f23|STRG.6171.4:13064-13984|+  -            307 22348at50557         -            571   1.9e-38  127.6   1.1   1   1   5.7e-40   2.4e-38  127.2   1.1   274   525    15   273     6   297 0.80 -
22348at50557_197043_0:001d27|STRG.3319.1:1171-2622|+  -            484 22348at50557         -            571   2.4e-30  100.8   3.3   1   1   5.8e-31   2.5e-29   97.5   3.3   259   516   184   473    14   478 0.79 -
22348at50557_680683_0:002a76|STRG.3319.2:242-1817|+   -            506 22348at50557         -            571   1.3e-29   98.4   4.9   1   1   3.1e-30   1.3e-28   95.1   4.9   259   516   194   462     5   471 0.78 -
22348at50557_110193_0:00178f|STRG.14845.1:1832-2743|+ -            304 22348at50557         -            571   7.7e-24   79.3   0.4   1   1   2.2e-25   9.3e-24   79.1   0.4   252   519    19   303     9   304 0.80 -
22348at50557_7130_0:000f23|STRG.1333.1:1128-1868|+    -            247 22348at50557         -            571   3.5e-23   77.2   0.1   1   1   9.9e-25   4.2e-23   76.9   0.1   272   493     1   235     1   245 0.86 -
22348at50557_7130_0:000f23|STRG.1333.2:126-866|+      -            247 22348at50557         -            571   3.5e-23   77.2   0.1   1   1   9.9e-25   4.2e-23   76.9   0.1   272   493     1   235     1   245 0.86 -
22348at50557_39758_0:0000a5|STRG.13563.1:52-444|+     -            131 22348at50557         -            571   5.2e-23   76.6   0.0   1   1   1.3e-24   5.5e-23   76.5   0.0   399   516     9   130     1   131 0.91 -
22348at50557_7160_0:003e40|STRG.5472.1:455-1267|+     -            271 22348at50557         -            571   2.3e-18   61.3   1.1   1   1   1.2e-19   5.2e-18   60.1   1.1   387   514   106   234     1   251 0.84 -
22348at50557_7130_0:000f23|STRG.14845.2:1319-1987|+   -            223 22348at50557         -            571   5.2e-16   53.5   0.0   1   1   1.4e-17   5.7e-16   53.4   0.0   338   519     3   193     1   201 0.71 -
22348at50557_7176_0:000ad6|STRG.13562.1:44-727|+      -            228 22348at50557         -            571   1.2e-13   45.7   7.7   1   2   3.4e-10   1.4e-08   28.9   0.6    74   171    20   121     1   137 0.83 -
22348at50557_7176_0:000ad6|STRG.13562.1:44-727|+      -            228 22348at50557         -            571   1.2e-13   45.7   7.7   2   2   3.8e-07   1.6e-05   18.9   1.3    93   169   146   222   138   225 0.84 -
22348at50557_168631_0:001c73|STRG.6242.1:592-1062|+   -            157 22348at50557         -            571   7.3e-12   39.8   0.3   1   1   1.9e-13   8.1e-12   39.6   0.3   352   495     2   157     1   157 0.73 -
22348at50557_168631_0:001c73|STRG.6242.2:795-1265|+   -            157 22348at50557         -            571   7.3e-12   39.8   0.3   1   1   1.9e-13   8.1e-12   39.6   0.3   352   495     2   157     1   157 0.73 -
22348at50557_168631_0:001c73|STRG.6995.1:95-385|+     -             97 22348at50557         -            571   2.2e-09   31.6   0.2   1   1   5.8e-11   2.4e-09   31.5   0.2   406   495     1    97     1    97 0.78 -
22348at50557_7130_0:000f23|STRG.9418.1:830-1564|+     -            245 22348at50557         -            571   3.5e-08   27.6   0.0   1   1   9.4e-10   3.9e-08   27.5   0.0   273   495     2   240     1   245 0.78 -
22348at50557_123851_0:0033f4|STRG.4643.1:1516-2100|+  -            195 22348at50557         -            571   1.4e-06   22.3   2.3   1   2   7.5e-05    0.0032   11.3   0.6   104   141     4    41     1    85 0.82 -
22348at50557_123851_0:0033f4|STRG.4643.1:1516-2100|+  -            195 22348at50557         -            571   1.4e-06   22.3   2.3   2   2     9e-05    0.0038   11.0   0.0   193   221   114   142   107   181 0.68 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/22348at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
