#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
13158at50557_34720_0:00221b|STRG.6615.1:578-3160|+    -            861 13158at50557         -            643         0 1098.6   5.6   1   1         0         0 1097.5   5.6     8   617    86   752    79   782 0.92 -
33009at50557_456900_0:001185|STRG.6920.1:0-1883|+     -            628 13158at50557         -            643   6.3e-58  195.3   3.8   1   1     1e-59   1.9e-57  193.7   3.8    68   576    59   607    51   627 0.75 -
33009at50557_286306_0:002f3d|STRG.12984.1:470-2074|+  -            535 13158at50557         -            643   5.1e-57  192.3   0.0   1   1   3.4e-59   6.2e-57  192.0   0.0    67   556    24   534    16   535 0.83 -
33009at50557_286306_0:002f3d|STRG.12984.2:1039-2643|+ -            535 13158at50557         -            643   5.1e-57  192.3   0.0   1   1   3.4e-59   6.2e-57  192.0   0.0    67   556    24   534    16   535 0.83 -
33009at50557_286306_0:002f3d|STRG.12984.3:556-2160|+  -            535 13158at50557         -            643   5.1e-57  192.3   0.0   1   1   3.4e-59   6.2e-57  192.0   0.0    67   556    24   534    16   535 0.83 -
33009at50557_286306_0:002f3d|STRG.12984.4:342-1946|+  -            535 13158at50557         -            643   5.1e-57  192.3   0.0   1   1   3.4e-59   6.2e-57  192.0   0.0    67   556    24   534    16   535 0.83 -
33009at50557_286306_0:002f3d|STRG.12984.5:747-2351|+  -            535 13158at50557         -            643   5.1e-57  192.3   0.0   1   1   3.4e-59   6.2e-57  192.0   0.0    67   556    24   534    16   535 0.83 -
52925at50557_568069_0:003a4f|STRG.8655.1:176-1813|+   -            546 13158at50557         -            643   4.5e-54  182.6   2.0   1   1   5.8e-55   1.1e-52  178.0   2.0    69   511    14   500     9   543 0.75 -
52925at50557_568069_0:003a4f|STRG.8655.2:209-1846|+   -            546 13158at50557         -            643   4.5e-54  182.6   2.0   1   1   5.8e-55   1.1e-52  178.0   2.0    69   511    14   500     9   543 0.75 -
13158at50557_286706_0:0029f3|STRG.16126.3:345-1955|+  -            537 13158at50557         -            643   4.7e-53  179.2   0.0   1   1   2.3e-54   4.2e-52  176.0   0.0    69   510     1   476     1   537 0.75 -
13158at50557_37001_0:002c96|STRG.10756.1:547-2259|+   -            571 13158at50557         -            643   9.8e-53  178.1   0.0   1   1   1.1e-54   1.9e-52  177.1   0.0    66   510    19   513     9   571 0.75 -
