#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
80758at50557_2015173_0:0012a1|STRG.1184.2:290-1305|+  -            312 80758at50557         -            282  2.7e-171  567.1   0.0   1   1  2.3e-174  3.1e-171  566.9   0.0     1   282    13   310    13   310 0.96 -
80758at50557_307658_0:001056|STRG.1184.1:221-1254|+   -            318 80758at50557         -            282  2.9e-171  567.0   0.0   1   1  2.5e-174  3.3e-171  566.8   0.0     1   282    19   316    19   316 0.96 -
80758at50557_66420_0:000fa5|STRG.14557.1:12-830|+     -            273 80758at50557         -            282   1.2e-15   56.4   1.9   1   1   4.4e-18     6e-15   54.2   1.9    13   261    16   257     7   260 0.84 -
100579at50557_39758_0:00344c|STRG.21794.2:257-955|+   -            233 80758at50557         -            282     0.004   15.4   0.1   1   2   0.00015      0.21    9.8   0.0   104   157    24    77     6    96 0.86 -
100579at50557_39758_0:00344c|STRG.21794.2:257-955|+   -            233 80758at50557         -            282     0.004   15.4   0.1   2   2     0.011        15    3.7   0.0   132   150   169   187   142   214 0.75 -
100579at50557_104688_0:000c00|STRG.21794.1:566-1123|+ -            186 80758at50557         -            282      0.02   13.1   0.1   1   2   0.00094       1.3    7.2   0.1   116   157     6    47     2    83 0.90 -
100579at50557_104688_0:000c00|STRG.21794.1:566-1123|+ -            186 80758at50557         -            282      0.02   13.1   0.1   2   2    0.0073       9.8    4.3   0.0   131   150   138   157   111   184 0.74 -
100579at50557_104688_0:000c00|STRG.21794.3:481-1038|+ -            186 80758at50557         -            282      0.02   13.1   0.1   1   2   0.00094       1.3    7.2   0.1   116   157     6    47     2    83 0.90 -
100579at50557_104688_0:000c00|STRG.21794.3:481-1038|+ -            186 80758at50557         -            282      0.02   13.1   0.1   2   2    0.0073       9.8    4.3   0.0   131   150   138   157   111   184 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/80758at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/80758at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/80758at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:20:10 2024
# [ok]
