#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
90505at50557_411798_0:001bd7|STRG.13206.3:48-1340|+   -            431 90505at50557         -            359  3.4e-207  686.6   4.2   1   1  2.5e-209    1e-206  685.1   4.2     1   359    33   421    33   421 0.95 -
90505at50557_307658_0:00256e|STRG.13206.1:220-1572|+  -            451 90505at50557         -            359  3.8e-207  686.4   4.2   1   1  2.9e-209  1.2e-206  684.9   4.2     1   359    53   441    53   441 0.95 -
90505at50557_307658_0:00256e|STRG.13206.2:220-1652|+  -            450 90505at50557         -            359  2.1e-204  677.4   4.5   1   1  1.6e-206  6.4e-204  675.8   4.5     1   359    53   440    53   440 0.95 -
90505at50557_286706_0:002222|STRG.16617.1:2852-3673|+ -            274 90505at50557         -            359   7.3e-35  119.7   4.1   1   1   8.3e-37   3.4e-34  117.5   4.1   116   356    16   274     9   274 0.87 -
90505at50557_286706_0:002222|STRG.16617.2:2852-3673|+ -            274 90505at50557         -            359   7.3e-35  119.7   4.1   1   1   8.3e-37   3.4e-34  117.5   4.1   116   356    16   274     9   274 0.87 -
119324at50557_609295_0:001eaf|STRG.13757.1:147-656|+  -            170 90505at50557         -            359   3.6e-07   28.6   0.6   1   1   9.1e-10   3.7e-07   28.6   0.6   196   332    17   155     3   170 0.80 -
119324at50557_516756_0:001c87|STRG.3262.2:3285-3647|+ -            121 90505at50557         -            359    0.0006   18.0   0.2   1   1   1.5e-06   0.00061   18.0   0.2   217   308     2    94     1   120 0.84 -
119324at50557_516756_0:001c87|STRG.3262.3:3154-3516|+ -            121 90505at50557         -            359    0.0006   18.0   0.2   1   1   1.5e-06   0.00061   18.0   0.2   217   308     2    94     1   120 0.84 -
119324at50557_516756_0:001c87|STRG.3262.4:2170-2532|+ -            121 90505at50557         -            359    0.0006   18.0   0.2   1   1   1.5e-06   0.00061   18.0   0.2   217   308     2    94     1   120 0.84 -
119324at50557_516756_0:001c87|STRG.3262.5:2439-2801|+ -            121 90505at50557         -            359    0.0006   18.0   0.2   1   1   1.5e-06   0.00061   18.0   0.2   217   308     2    94     1   120 0.84 -
119324at50557_516756_0:001c87|STRG.3262.6:870-1232|+  -            121 90505at50557         -            359    0.0006   18.0   0.2   1   1   1.5e-06   0.00061   18.0   0.2   217   308     2    94     1   120 0.84 -
119324at50557_28612_0:006210|STRG.3573.1:30-512|+     -            161 90505at50557         -            359    0.0025   16.0   0.1   1   1   6.3e-06    0.0025   15.9   0.1   188   302     6   123     1   161 0.70 -
119324at50557_28612_0:006210|STRG.14245.1:545-997|+   -            151 90505at50557         -            359    0.0025   16.0   0.1   1   1   1.1e-05    0.0046   15.1   0.1   261   312    77   128     6   133 0.68 -
119324at50557_28612_0:006210|STRG.14245.2:541-993|+   -            151 90505at50557         -            359    0.0025   16.0   0.1   1   1   1.1e-05    0.0046   15.1   0.1   261   312    77   128     6   133 0.68 -
119324at50557_28612_0:006210|STRG.14245.3:387-839|+   -            151 90505at50557         -            359    0.0025   16.0   0.1   1   1   1.1e-05    0.0046   15.1   0.1   261   312    77   128     6   133 0.68 -
119324at50557_28612_0:006210|STRG.14245.4:469-921|+   -            151 90505at50557         -            359    0.0025   16.0   0.1   1   1   1.1e-05    0.0046   15.1   0.1   261   312    77   128     6   133 0.68 -
119324at50557_28612_0:006210|STRG.14245.5:668-1120|+  -            151 90505at50557         -            359    0.0025   16.0   0.1   1   1   1.1e-05    0.0046   15.1   0.1   261   312    77   128     6   133 0.68 -
119324at50557_54969_0:002fed|STRG.3580.1:1273-1566|+  -             98 90505at50557         -            359    0.0035   15.5   0.1   1   1   9.5e-06    0.0038   15.3   0.1   232   296    32    97    16    98 0.83 -
119324at50557_54969_0:002fed|STRG.13461.1:22-276|+    -             85 90505at50557         -            359     0.013   13.6   0.1   1   1   3.4e-05     0.014   13.5   0.1   270   332     3    69     1    81 0.77 -
28600at50557_520822_0:000c07|STRG.6896.1:438-1517|+   -            360 90505at50557         -            359      0.04   12.0   0.0   1   1   0.00017      0.07   11.2   0.0   267   311   192   237   182   249 0.85 -
119324at50557_29053_0:0019d1|STRG.19567.2:793-1056|+  -             88 90505at50557         -            359     0.046   11.8   0.1   1   1   0.00012     0.049   11.7   0.1   260   316    13    71     2    80 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/90505at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/90505at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/90505at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:57:15 2024
# [ok]
