#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
27737at50557_103372_0:000a01|STRG.10748.1:104-1936|+  -            611 27737at50557         -            506  3.2e-264  876.2   9.2   1   1  1.4e-265  1.2e-263  874.4   9.2     6   506    27   605    22   605 0.91 -
120478at50557_103372_0:000c5c|STRG.1731.1:175-657|+   -            161 27737at50557         -            506   1.7e-42  144.7   0.0   1   1   2.5e-44     2e-42  144.5   0.0   374   487     3   119     1   136 0.94 -
42193at50557_123851_0:000a5d|STRG.13565.1:240-674|+   -            145 27737at50557         -            506   6.6e-42  142.8   0.2   1   1   8.8e-44     7e-42  142.7   0.2   375   503     3   144     1   145 0.90 -
120478at50557_29058_0:003119|STRG.18107.1:212-682|+   -            157 27737at50557         -            506   1.2e-39  135.4   0.1   1   1   1.7e-41   1.3e-39  135.2   0.1   375   488     2   118     1   135 0.94 -
42193at50557_103372_0:0016db|STRG.4088.12:181-1752|+  -            524 27737at50557         -            506   5.9e-38  129.8   1.0   1   1   8.7e-40     7e-38  129.5   0.1   377   487   288   401   267   430 0.88 -
42193at50557_103372_0:0016db|STRG.4088.13:181-1752|+  -            524 27737at50557         -            506   5.9e-38  129.8   1.0   1   1   8.7e-40     7e-38  129.5   0.1   377   487   288   401   267   430 0.88 -
42193at50557_103372_0:0016db|STRG.4088.6:181-1752|+   -            524 27737at50557         -            506   5.9e-38  129.8   1.0   1   1   8.7e-40     7e-38  129.5   0.1   377   487   288   401   267   430 0.88 -
27737at50557_67767_0:00339d|STRG.16469.1:131-622|+    -            164 27737at50557         -            506   2.6e-36  124.3   0.2   1   1   3.6e-38   2.9e-36  124.2   0.2   366   497     8   149     5   164 0.86 -
27737at50557_67767_0:00339d|STRG.4388.1:138-608|+     -            157 27737at50557         -            506   9.2e-36  122.5   0.3   1   1   1.2e-37   9.7e-36  122.4   0.3   378   497    14   143     5   157 0.85 -
27737at50557_67767_0:00339d|STRG.4388.2:454-924|+     -            157 27737at50557         -            506   9.2e-36  122.5   0.3   1   1   1.2e-37   9.7e-36  122.4   0.3   378   497    14   143     5   157 0.85 -
27737at50557_67767_0:00339d|STRG.506.1:28-495|+       -            156 27737at50557         -            506   3.9e-33  113.8   1.9   1   1   5.1e-35   4.1e-33  113.8   1.9   377   499    10   143     1   151 0.83 -
