#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
46658at50557_83485_0:000f8c|STRG.6283.3:0-1331|+       -            444 46658at50557         -            373    1e-239  793.8   1.4   1   1  1.2e-241  1.2e-239  793.6   1.4     1   373    30   428    30   428 0.97 -
46658at50557_219809_0:0017ae|STRG.6283.1:442-1860|+    -            473 46658at50557         -            373  1.2e-239  793.6   1.4   1   1  1.5e-241  1.5e-239  793.3   1.4     1   373    59   457    59   457 0.97 -
46658at50557_219809_0:0017ae|STRG.6283.2:442-1200|+    -            253 46658at50557         -            373  2.3e-100  335.2   0.7   1   1  3.1e-102    3e-100  334.8   0.7     1   173    59   253    59   253 0.94 -
46658at50557_211228_0:001f32|STRG.7643.1:182-1276|+    -            365 46658at50557         -            373   3.7e-81  272.0   0.9   1   1   4.3e-83   4.2e-81  271.8   0.9    25   364     1   365     1   365 0.91 -
46658at50557_211228_0:001f32|STRG.7643.2:182-1276|+    -            365 46658at50557         -            373   3.7e-81  272.0   0.9   1   1   4.3e-83   4.2e-81  271.8   0.9    25   364     1   365     1   365 0.91 -
46658at50557_211228_0:001f32|STRG.7643.3:135-1229|+    -            365 46658at50557         -            373   3.7e-81  272.0   0.9   1   1   4.3e-83   4.2e-81  271.8   0.9    25   364     1   365     1   365 0.91 -
46658at50557_1155016_0:0008f1|STRG.12629.1:90-1193|+   -            368 46658at50557         -            373     3e-79  265.7   0.7   1   1   3.5e-81   3.4e-79  265.5   0.7    25   365     1   366     1   368 0.91 -
46658at50557_28612_0:0048c7|STRG.17951.1:78-1262|+     -            395 46658at50557         -            373   2.2e-61  206.9   2.5   1   1   2.9e-63   2.8e-61  206.6   2.5    21   372    14   394     2   395 0.87 -
46658at50557_28612_0:0048c7|STRG.17951.2:78-2450|+     -            395 46658at50557         -            373   2.2e-61  206.9   2.5   1   1   2.9e-63   2.8e-61  206.6   2.5    21   372    14   394     2   395 0.87 -
46658at50557_28612_0:0048c7|STRG.17951.3:78-1259|+     -            394 46658at50557         -            373   3.4e-61  206.3   2.3   1   1   4.5e-63   4.4e-61  205.9   2.3    21   371    14   393     2   394 0.87 -
43304at50557_568069_0:003ee6|STRG.17784.1:137-1429|+   -            431 46658at50557         -            373   9.1e-55  185.2   0.8   1   1   1.2e-56   1.2e-54  184.8   0.8    17   363    11   382     3   391 0.82 -
46658at50557_7260_0:0034ab|STRG.10755.1:222-1331|+     -            370 46658at50557         -            373   2.9e-53  180.2   0.5   1   1   3.5e-55   3.4e-53  180.0   0.5    25   358     1   368     1   370 0.82 -
35385at50557_37001_0:001231|STRG.10459.1:188-1516|+    -            443 46658at50557         -            373   6.5e-52  175.8   0.0   1   1     1e-53   9.9e-52  175.2   0.0    33   340    61   400    48   429 0.82 -
46658at50557_28612_0:0048c7|STRG.12210.2:172-1293|+    -            374 46658at50557         -            373   1.4e-51  174.6   0.0   1   1   1.9e-53   1.8e-51  174.3   0.0    23   347     5   356     1   365 0.87 -
46658at50557_28612_0:0048c7|STRG.12210.3:93-1214|+     -            374 46658at50557         -            373   1.4e-51  174.6   0.0   1   1   1.9e-53   1.8e-51  174.3   0.0    23   347     5   356     1   365 0.87 -
35385at50557_37001_0:001231|STRG.3703.2:296-1630|+     -            445 46658at50557         -            373   1.3e-50  171.5   0.0   1   1     2e-52     2e-50  170.9   0.0    25   369    51   424    46   428 0.81 -
35385at50557_7375_0:0001af|STRG.3703.1:296-1630|+      -            445 46658at50557         -            373   1.3e-50  171.5   0.0   1   1     2e-52     2e-50  170.9   0.0    25   369    51   424    46   428 0.81 -
35385at50557_7375_0:0001af|STRG.3703.3:296-2124|+      -            445 46658at50557         -            373   6.3e-50  169.2   0.0   1   1   9.9e-52   9.6e-50  168.6   0.0    25   369    51   424    46   428 0.81 -
35385at50557_7370_0:001aad|STRG.5259.1:36-2126|+       -            697 46658at50557         -            373     2e-48  164.3   0.0   1   1   3.3e-50   3.3e-48  163.6   0.0    25   339   102   448    87   478 0.81 -
35385at50557_37001_0:001231|STRG.6592.1:1280-2587|+    -            436 46658at50557         -            373   2.2e-47  160.8   0.0   1   1   3.1e-49     3e-47  160.4   0.0    33   348    67   410    54   433 0.82 -
35385at50557_37001_0:001231|STRG.6592.2:585-1892|+     -            436 46658at50557         -            373   2.2e-47  160.8   0.0   1   1   3.1e-49     3e-47  160.4   0.0    33   348    67   410    54   433 0.82 -
