#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102553at50557_103372_0:001320|STRG.5622.1:9-746|+      -            246 102553at50557        -            200   7.1e-96  318.3   5.9   1   1   1.3e-95     1e-93  311.3   5.9     1   200     1   226     1   226 0.90 -
102553at50557_378494_0:0023c5|STRG.20833.1:0-1226|+    -            409 102553at50557        -            200   6.2e-35  119.4  15.6   1   1   1.3e-36     1e-34  118.7  15.6     1   193     1   200     1   206 0.93 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 102553at50557        -            200   1.1e-27   95.6  42.6   1  11       0.1       8.4    4.7   0.1    66   105     2    41     1    45 0.92 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 102553at50557        -            200   1.1e-27   95.6  42.6   2  11    0.0015      0.12   10.7   1.1    38    96    73   133    47   134 0.45 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 102553at50557        -            200   1.1e-27   95.6  42.6   3  11   3.9e-05    0.0032   15.8   1.6    40   121    75   158    69   162 0.74 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 102553at50557        -            200   1.1e-27   95.6  42.6   4  11   2.1e-06   0.00017   20.0   2.0    39   124   146   235   142   238 0.90 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 102553at50557        -            200   1.1e-27   95.6  42.6   5  11   8.8e-07   7.1e-05   21.2   1.8    42   125   175   260   166   276 0.88 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 102553at50557        -            200   1.1e-27   95.6  42.6   6  11   1.3e-05    0.0011   17.4   0.4    42   122   223   304   217   308 0.84 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 102553at50557        -            200   1.1e-27   95.6  42.6   7  11     2e-05    0.0016   16.8   1.8    21   106   273   360   270   378 0.86 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 102553at50557        -            200   1.1e-27   95.6  42.6   8  11    0.0044      0.36    9.1   0.2     9   105   356   453   355   454 0.87 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 102553at50557        -            200   1.1e-27   95.6  42.6   9  11     2e-08   1.6e-06   26.6   0.9    22   110   414   503   400   525 0.81 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 102553at50557        -            200   1.1e-27   95.6  42.6  10  11   2.1e-07   1.7e-05   23.3   0.3    46   125   639   720   634   721 0.88 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 102553at50557        -            200   1.1e-27   95.6  42.6  11  11     6e-07   4.9e-05   21.8   0.3    44   106   685   749   680   755 0.88 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 102553at50557        -            200   2.3e-22   78.3  11.3   1   5   7.4e-05     0.006   15.0   0.1    36   124    69   159    40   166 0.79 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 102553at50557        -            200   2.3e-22   78.3  11.3   2   5   7.2e-07   5.8e-05   21.5   0.5     4   126    81   209    78   214 0.81 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 102553at50557        -            200   2.3e-22   78.3  11.3   3   5   3.1e-07   2.5e-05   22.7   0.1    41   141   170   269   163   270 0.89 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 102553at50557        -            200   2.3e-22   78.3  11.3   4   5   0.00045     0.037   12.4   0.0    41    78   242   280   235   289 0.89 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 102553at50557        -            200   2.3e-22   78.3  11.3   5   5   7.9e-13   6.4e-11   41.0   0.7    43   125   291   375   283   393 0.89 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 102553at50557        -            200   3.2e-21   74.6  38.1   1   9   3.9e-05    0.0032   15.9   0.2    40   131    16   113    10   132 0.82 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 102553at50557        -            200   3.2e-21   74.6  38.1   2   9    0.0068      0.55    8.5   0.1    41   102    69   132    62   152 0.75 -
