#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
45204at50557_34720_0:0029f6|STRG.15453.1:0-1595|+     -            532 45204at50557         -            267  8.2e-114  378.2   0.0   1   1  3.4e-116  1.3e-113  377.6   0.0    88   267     4   189     1   189 0.98 -
45204at50557_7536_0:003971|STRG.2976.1:2229-2846|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   1   3   2.4e-22   9.3e-20   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2976.1:2229-2846|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   2   3   6.4e-14   2.5e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2976.1:2229-2846|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   3   3   1.1e-28   4.2e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2976.2:2300-2917|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   1   3   2.4e-22   9.3e-20   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2976.2:2300-2917|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   2   3   6.4e-14   2.5e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2976.2:2300-2917|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   3   3   1.1e-28   4.2e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2976.3:2248-2865|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   1   3   2.4e-22   9.3e-20   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2976.3:2248-2865|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   2   3   6.4e-14   2.5e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2976.3:2248-2865|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   3   3   1.1e-28   4.2e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2976.4:3099-3716|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   1   3   2.4e-22   9.3e-20   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2976.4:3099-3716|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   2   3   6.4e-14   2.5e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2976.4:3099-3716|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   3   3   1.1e-28   4.2e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2976.5:3205-3822|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   1   3   2.4e-22   9.3e-20   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2976.5:3205-3822|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   2   3   6.4e-14   2.5e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2976.5:3205-3822|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   3   3   1.1e-28   4.2e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2976.6:2163-2780|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   1   3   2.4e-22   9.3e-20   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2976.6:2163-2780|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   2   3   6.4e-14   2.5e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2976.6:2163-2780|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   3   3   1.1e-28   4.2e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2976.7:1074-1691|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   1   3   2.4e-22   9.3e-20   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2976.7:1074-1691|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   2   3   6.4e-14   2.5e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2976.7:1074-1691|+    -            206 45204at50557         -            267   1.6e-56  190.4   3.0   3   3   1.1e-28   4.2e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2976.8:993-1610|+     -            206 45204at50557         -            267   1.6e-56  190.4   3.0   1   3   2.4e-22   9.3e-20   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2976.8:993-1610|+     -            206 45204at50557         -            267   1.6e-56  190.4   3.0   2   3   6.4e-14   2.5e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2976.8:993-1610|+     -            206 45204at50557         -            267   1.6e-56  190.4   3.0   3   3   1.1e-28   4.2e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_121225_0:001309|STRG.12307.1:1804-2997|+ -            398 45204at50557         -            267   4.2e-34  116.9   0.1   1   2   2.7e-36     1e-33  115.6   0.0    94   266     1   179     1   180 0.88 -
45204at50557_121225_0:001309|STRG.12307.1:1804-2997|+ -            398 45204at50557         -            267   4.2e-34  116.9   0.1   2   2       2.5   9.7e+02   -2.3   0.0    55    89   351   385   345   391 0.81 -
45204at50557_121225_0:001309|STRG.12307.2:1768-2961|+ -            398 45204at50557         -            267   4.2e-34  116.9   0.1   1   2   2.7e-36     1e-33  115.6   0.0    94   266     1   179     1   180 0.88 -
45204at50557_121225_0:001309|STRG.12307.2:1768-2961|+ -            398 45204at50557         -            267   4.2e-34  116.9   0.1   2   2       2.5   9.7e+02   -2.3   0.0    55    89   351   385   345   391 0.81 -
45204at50557_121225_0:001309|STRG.12307.3:1605-2798|+ -            398 45204at50557         -            267   4.2e-34  116.9   0.1   1   2   2.7e-36     1e-33  115.6   0.0    94   266     1   179     1   180 0.88 -
45204at50557_121225_0:001309|STRG.12307.3:1605-2798|+ -            398 45204at50557         -            267   4.2e-34  116.9   0.1   2   2       2.5   9.7e+02   -2.3   0.0    55    89   351   385   345   391 0.81 -
45204at50557_197043_0:002e52|STRG.4379.1:0-637|-      -            144 45204at50557         -            267   1.7e-26   92.0  10.2   1   2   1.6e-19     6e-17   60.7   1.7     5    52    10    60     1    72 0.87 -
45204at50557_197043_0:002e52|STRG.4379.1:0-637|-      -            144 45204at50557         -            267   1.7e-26   92.0  10.2   2   2   1.1e-11   4.1e-09   35.0   1.8    22    88    74   144    68   144 0.77 -
45204at50557_7536_0:003971|STRG.2167.1:343-987|+      -            215 45204at50557         -            267   5.7e-18   64.0   0.0   1   2   3.2e-12   1.2e-09   36.7   0.0    67   166     1   108     1   137 0.80 -
45204at50557_7536_0:003971|STRG.2167.1:343-987|+      -            215 45204at50557         -            267   5.7e-18   64.0   0.0   2   2   7.4e-09   2.8e-06   25.7   0.0    92   157   142   208   138   215 0.88 -
45204at50557_143995_0:001fa2|STRG.12307.4:264-1130|+  -            289 45204at50557         -            267   5.3e-17   60.8   0.1   1   2   4.3e-19   1.6e-16   59.2   0.1   199   266     3    70     1    71 0.96 -
45204at50557_143995_0:001fa2|STRG.12307.4:264-1130|+  -            289 45204at50557         -            267   5.3e-17   60.8   0.1   2   2       1.5   5.6e+02   -1.5   0.0    55    90   242   277   234   283 0.82 -
45204at50557_29031_0:000632|STRG.2168.2:4-852|+       -            283 45204at50557         -            267   2.5e-13   48.8   0.7   1   2   1.8e-15   6.8e-13   47.4   0.0    64   166     9   115     4   127 0.86 -
45204at50557_29031_0:000632|STRG.2168.2:4-852|+       -            283 45204at50557         -            267   2.5e-13   48.8   0.7   2   2       2.3   8.6e+02   -2.1   0.1    42    61   232   251   214   278 0.72 -
45204at50557_39758_0:004961|STRG.2168.1:43-1602|+     -            520 45204at50557         -            267   1.1e-10   40.2   0.6   1   2   4.9e-13   1.9e-10   39.4   0.0    77   266     9    99     1   110 0.61 -
45204at50557_39758_0:004961|STRG.2168.1:43-1602|+     -            520 45204at50557         -            267   1.1e-10   40.2   0.6   2   2       6.6   2.5e+03   -3.7   0.1    43    61   220   238   206   264 0.74 -
45419at50557_51655_0:002e4f|STRG.19113.1:3192-3449|+  -             86 45204at50557         -            267     0.022   12.9   1.1   1   1   7.1e-05     0.027   12.6   1.1    21    75     6    60     2    81 0.83 -
45419at50557_51655_0:002e4f|STRG.13266.1:1815-2066|+  -             84 45204at50557         -            267     0.042   12.0   2.7   1   1   0.00015     0.056   11.6   2.7    20    79     3    61     1    80 0.86 -
45419at50557_51655_0:002e4f|STRG.13266.2:1601-1852|+  -             84 45204at50557         -            267     0.042   12.0   2.7   1   1   0.00015     0.056   11.6   2.7    20    79     3    61     1    80 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
