#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
152308at50557_103372_0:0026d9|STRG.9979.1:258-455|+ -             66 152308at50557        -             69   5.9e-31  105.3   2.9   1   1   1.7e-33   8.8e-31  104.7   2.9    11    69     1    65     1    65 0.93 -
140706at50557_307658_0:00219e|STRG.3611.1:264-578|+ -            105 152308at50557        -             69   1.8e-13   49.3   0.5   1   1   5.2e-15   2.6e-12   45.5   0.5     8    64    17    86    11    91 0.79 -
140706at50557_307658_0:00219e|STRG.3611.4:6-320|+   -            105 152308at50557        -             69   1.8e-13   49.3   0.5   1   1   5.2e-15   2.6e-12   45.5   0.5     8    64    17    86    11    91 0.79 -
140706at50557_307658_0:00219e|STRG.3611.2:268-591|+ -            108 152308at50557        -             69   1.9e-13   49.2   0.5   1   1   5.7e-15   2.9e-12   45.4   0.5     8    64    20    89    14    94 0.79 -
140706at50557_307658_0:00219e|STRG.3611.3:172-510|+ -            113 152308at50557        -             69   2.3e-13   49.0   0.5   1   1   6.5e-15   3.3e-12   45.2   0.5     8    64    25    94    19    99 0.79 -
140706at50557_307658_0:00219e|STRG.3611.5:345-551|+ -             69 152308at50557        -             69   2.8e-12   45.5   0.1   1   1   7.3e-15   3.7e-12   45.1   0.1     8    50    17    60    11    62 0.94 -
140938at50557_103372_0:002606|STRG.2959.1:0-413|+   -            138 152308at50557        -             69     3e-05   22.9   0.1   1   1   1.1e-07   5.8e-05   22.0   0.1    13    51    18    57    10    82 0.78 -
147931at50557_125945_0:001cab|STRG.9483.1:541-783|- -             81 152308at50557        -             69   4.6e-05   22.4   0.0   1   1   1.1e-07   5.5e-05   22.1   0.0    21    62    32    78    19    81 0.75 -
147931at50557_103372_0:000dcb|STRG.589.2:0-248|+    -             83 152308at50557        -             69     8e-05   21.6   0.1   1   1   1.9e-07   9.8e-05   21.3   0.1    21    62    31    72    17    79 0.79 -
147931at50557_103372_0:000dcb|STRG.589.1:0-272|+    -             91 152308at50557        -             69    0.0001   21.3   0.1   1   1   2.5e-07   0.00013   20.9   0.1    21    61    31    71    17    79 0.79 -
150643at50557_326594_0:001b62|STRG.5057.1:99-296|+  -             66 152308at50557        -             69   0.00013   20.9   0.0   1   1   2.6e-07   0.00013   20.9   0.0    17    57    20    64     7    66 0.80 -
150643at50557_69004_0:0019de|STRG.14131.1:33-221|+  -             63 152308at50557        -             69   0.00048   19.1   0.0   1   1   1.1e-06   0.00057   18.8   0.0    17    63    11    61     7    63 0.85 -
147726at50557_7038_0:0007d8|STRG.12137.2:51-248|+   -             66 152308at50557        -             69    0.0022   17.0   0.0   1   2   1.9e-05    0.0096   14.9   0.0    20    49    10    39     4    41 0.88 -
147726at50557_7038_0:0007d8|STRG.12137.2:51-248|+   -             66 152308at50557        -             69    0.0022   17.0   0.0   2   2      0.96   4.9e+02   -0.2   0.0    47    62    51    66    47    66 0.78 -
147726at50557_7038_0:0007d8|STRG.12137.1:0-230|+    -             77 152308at50557        -             69    0.0028   16.6   0.0   1   2     2e-05      0.01   14.8   0.0    19    49    20    50     7    52 0.87 -
147726at50557_7038_0:0007d8|STRG.12137.1:0-230|+    -             77 152308at50557        -             69    0.0028   16.6   0.0   2   2       1.3   6.3e+02   -0.5   0.0    47    62    62    77    58    77 0.77 -
149193at50557_13686_0:001c78|STRG.1541.2:503-655|+  -             51 152308at50557        -             69    0.0082   15.1   0.1   1   1   1.7e-05    0.0087   15.0   0.1    14    43    20    50     8    51 0.83 -
149193at50557_13686_0:001c78|STRG.1541.1:413-580|+  -             56 152308at50557        -             69      0.01   14.8   0.1   1   1   2.3e-05     0.012   14.7   0.1    15    43    26    55    13    56 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/152308at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/152308at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/152308at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:15:28 2024
# [ok]
