#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
139832at50557_197043_0:00604b|STRG.7293.2:4723-4998|+ -             92 139832at50557        -             99   6.5e-28   95.7   0.2   1   1   8.9e-31   8.2e-28   95.3   0.2    51    99     1    49     1    49 0.99 -
75748at50557_535359_0:0007e6|STRG.4164.1:207-374|+    -             56 139832at50557        -             99   2.5e-14   52.1   0.4   1   1   2.8e-17   2.6e-14   52.1   0.4    31    82     5    54     1    56 0.92 -
75748at50557_535359_0:0007e6|STRG.4164.2:606-773|+    -             56 139832at50557        -             99   2.5e-14   52.1   0.4   1   1   2.8e-17   2.6e-14   52.1   0.4    31    82     5    54     1    56 0.92 -
139832at50557_222816_0:00136a|STRG.4537.1:559-1002|+  -            148 139832at50557        -             99   1.1e-12   46.8   0.9   1   1   1.9e-15   1.7e-12   46.2   0.5    29    81    98   148    73   148 0.90 -
139832at50557_315563_0:0025cb|STRG.19265.1:661-888|+  -             76 139832at50557        -             99   5.3e-11   41.4   0.4   1   1   6.7e-14   6.2e-11   41.2   0.4    29    81    26    76     6    76 0.89 -
139832at50557_7038_0:002dbe|STRG.3384.1:899-1267|+    -            123 139832at50557        -             99   4.4e-10   38.5   1.8   1   3       4.1   3.8e+03   -3.0   0.0    56    64     2    10     1    16 0.81 -
139832at50557_7038_0:002dbe|STRG.3384.1:899-1267|+    -            123 139832at50557        -             99   4.4e-10   38.5   1.8   2   3      0.32   2.9e+02    0.5   0.1    14    42    20    48    10    52 0.77 -
139832at50557_7038_0:002dbe|STRG.3384.1:899-1267|+    -            123 139832at50557        -             99   4.4e-10   38.5   1.8   3   3   1.3e-12   1.2e-09   37.1   0.0    30    82    66   116    56   122 0.87 -
75748at50557_535359_0:0007e6|STRG.15381.1:1873-2010|+ -             46 139832at50557        -             99   7.7e-05   21.7   0.2   1   1   8.5e-08   7.9e-05   21.6   0.2    27    70     3    44     1    46 0.80 -
114148at50557_110193_0:0001b8|STRG.5585.1:3139-3666|+ -            176 139832at50557        -             99   0.00055   18.9   0.5   1   2   5.6e-06    0.0051   15.8   0.2    38    82    12    56     2    67 0.84 -
114148at50557_110193_0:0001b8|STRG.5585.1:3139-3666|+ -            176 139832at50557        -             99   0.00055   18.9   0.5   2   2      0.19   1.8e+02    1.3   0.0    43    57    62    76    56    88 0.84 -
114148at50557_110193_0:0001b8|STRG.5585.2:2819-3346|+ -            176 139832at50557        -             99   0.00055   18.9   0.5   1   2   5.6e-06    0.0051   15.8   0.2    38    82    12    56     2    67 0.84 -
114148at50557_110193_0:0001b8|STRG.5585.2:2819-3346|+ -            176 139832at50557        -             99   0.00055   18.9   0.5   2   2      0.19   1.8e+02    1.3   0.0    43    57    62    76    56    88 0.84 -
139832at50557_143995_0:00034e|STRG.7296.1:527-856|+   -            110 139832at50557        -             99   0.00065   18.7   0.0   1   1   1.1e-06     0.001   18.1   0.0     2    21    87   106    86   110 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/139832at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/139832at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/139832at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:03:14 2024
# [ok]
