#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
138217at50557_34720_0:000c0f|STRG.766.1:83-466|+     -            128 138217at50557        -             97   5.6e-28   95.3  13.5   1   1   1.1e-30   1.6e-27   93.9  13.5     5    97     9   116     5   116 0.88 -
138217at50557_103372_0:000bce|STRG.766.2:65-400|+    -            112 138217at50557        -             97   7.8e-28   94.9  13.4   1   1   1.5e-30   2.2e-27   93.4  13.4     5    96     6   112     3   112 0.88 -
138217at50557_535359_0:00173e|STRG.14522.1:225-512|+ -             96 138217at50557        -             97   4.8e-05   21.8   0.4   1   1   4.1e-08     6e-05   21.5   0.3    28    95    26    94    15    96 0.84 -
26016at50557_34720_0:002275|STRG.304.2:1-1824|+      -            608 138217at50557        -             97      0.03   12.9   0.2   1   2     0.039        58    2.3   0.0    49    96   430   477   421   478 0.90 -
26016at50557_34720_0:002275|STRG.304.2:1-1824|+      -            608 138217at50557        -             97      0.03   12.9   0.2   2   2   0.00072       1.1    7.9   0.1    50    89   481   521   480   529 0.85 -
26016at50557_34720_0:002275|STRG.304.1:91-2283|+     -            731 138217at50557        -             97     0.044   12.3   0.2   1   2      0.05        74    2.0   0.0    49    96   553   600   545   601 0.89 -
26016at50557_34720_0:002275|STRG.304.1:91-2283|+     -            731 138217at50557        -             97     0.044   12.3   0.2   2   2   0.00091       1.3    7.6   0.1    50    88   604   643   603   652 0.85 -
18575at50557_6973_0:003c5b|STRG.2396.1:591-2474|+    -            628 138217at50557        -             97      0.81    8.2   5.1   1   3       1.2   1.8e+03   -2.5   0.1    12    35   251   275   241   293 0.64 -
18575at50557_6973_0:003c5b|STRG.2396.1:591-2474|+    -            628 138217at50557        -             97      0.81    8.2   5.1   2   3         2   2.9e+03   -3.2   0.1    56    85   467   497   457   501 0.65 -
18575at50557_6973_0:003c5b|STRG.2396.1:591-2474|+    -            628 138217at50557        -             97      0.81    8.2   5.1   3   3    0.0001      0.15   10.6   0.1     5    36   595   626   592   628 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/138217at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/138217at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/138217at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:23:09 2024
# [ok]
