#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
90744at50557_104421_0:000efb|STRG.4681.1:0-959|+    -            320 90744at50557         -            250  6.4e-153  506.1   7.4   1   1  3.8e-153  3.2e-150  497.2   7.4     1   250    10   289    10   289 0.94 -
105894at50557_103372_0:000196|STRG.13759.1:99-953|+ -            285 90744at50557         -            250   2.1e-18   65.5   0.0   1   1   4.2e-21   3.6e-18   64.7   0.0     2   166     7   165     6   189 0.85 -
75818at50557_103372_0:001ce5|STRG.17577.1:2-781|+   -            260 90744at50557         -            250   2.2e-10   39.2   0.1   1   1   3.2e-13   2.7e-10   38.9   0.1    30   202     2   171     1   196 0.84 -
80760at50557_91411_0:0003e9|STRG.4937.1:180-1103|+  -            308 90744at50557         -            250   0.00014   20.1   0.0   1   1   2.7e-07   0.00023   19.5   0.0    14   119    44   147    31   165 0.78 -
80760at50557_91411_0:0003e9|STRG.4937.2:298-1221|+  -            308 90744at50557         -            250   0.00014   20.1   0.0   1   1   2.7e-07   0.00023   19.5   0.0    14   119    44   147    31   165 0.78 -
78394at50557_103372_0:00085a|STRG.5492.3:284-1267|+ -            328 90744at50557         -            250   0.00094   17.5   0.0   1   1   1.7e-06    0.0014   16.9   0.0     7   119    64   175    59   179 0.79 -
78394at50557_103372_0:00085a|STRG.5492.5:0-1034|+   -            345 90744at50557         -            250     0.001   17.4   0.0   1   1   1.9e-06    0.0016   16.7   0.0     7   119    63   174    58   178 0.78 -
78394at50557_103372_0:00085a|STRG.5492.1:155-1192|+ -            346 90744at50557         -            250     0.001   17.4   0.0   1   1   1.9e-06    0.0016   16.7   0.0     7   119    64   175    59   179 0.78 -
78394at50557_103372_0:00085a|STRG.5492.2:134-1551|+ -            348 90744at50557         -            250     0.001   17.4   0.0   1   1   1.9e-06    0.0016   16.7   0.0     7   119    66   177    61   181 0.78 -
78394at50557_103372_0:00085a|STRG.5492.4:219-1323|+ -            350 90744at50557         -            250    0.0011   17.3   0.0   1   1   1.9e-06    0.0016   16.7   0.0     7   119    86   197    81   201 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/90744at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/90744at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/90744at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:57:15 2024
# [ok]
