#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
23620at50557_34720_0:0012cc|STRG.5639.1:52-2658|+      -            869 23620at50557         -            502    5e-245  812.9  10.2   1   1    3e-245  1.4e-243  808.2  10.2     1   501   245   852   245   853 0.90 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   1   7     0.002     0.091   10.5   0.0   239   276     3    41     1    43 0.82 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   2   7   9.2e-06   0.00042   18.2   0.0   236   278    42    86    39    87 0.86 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   3   7   3.3e-11   1.5e-09   36.1   0.2   235   285    84   135    77   138 0.89 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   4   7   7.3e-09   3.3e-07   28.4   0.2   236   298   127   196   127   202 0.84 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   5   7    0.0011     0.051   11.3   0.0   251   279   204   232   199   232 0.92 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   6   7   6.3e-11   2.9e-09   35.2   0.1   236   287   230   282   228   286 0.91 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   7   7       0.2       9.1    3.9   0.0   251   268   288   305   283   305 0.88 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   1   7     0.002     0.091   10.5   0.0   239   276     3    41     1    43 0.82 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   2   7   9.2e-06   0.00042   18.2   0.0   236   278    42    86    39    87 0.86 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   3   7   3.3e-11   1.5e-09   36.1   0.2   235   285    84   135    77   138 0.89 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   4   7   7.3e-09   3.3e-07   28.4   0.2   236   298   127   196   127   202 0.84 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   5   7    0.0011     0.051   11.3   0.0   251   279   204   232   199   232 0.92 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   6   7   6.3e-11   2.9e-09   35.2   0.1   236   287   230   282   228   286 0.91 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 23620at50557         -            502   5.9e-39  133.2  10.0   7   7       0.2       9.1    3.9   0.0   251   268   288   305   283   305 0.88 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   1   7   1.7e-10   7.8e-09   33.8   0.1   237   280    11    54     3    64 0.90 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   2   7   3.8e-05    0.0017   16.2   0.1   239   278    54    92    52    93 0.85 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   3   7   2.8e-07   1.3e-05   23.2   0.1   236   280    91   134    90   137 0.91 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   4   7   0.00043      0.02   12.7   0.0   238   278   133   172   131   173 0.91 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   5   7   2.4e-06   0.00011   20.1   0.1   235   278   170   212   167   215 0.90 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   6   7   2.8e-05    0.0013   16.6   0.1   236   278   211   252   209   262 0.89 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   7   7     0.029       1.3    6.6   0.0   240   269   258   286   253   287 0.80 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   1   7   1.7e-10   7.8e-09   33.8   0.1   237   280    11    54     3    64 0.90 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   2   7   3.8e-05    0.0017   16.2   0.1   239   278    54    92    52    93 0.85 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   3   7   2.8e-07   1.3e-05   23.2   0.1   236   280    91   134    90   137 0.91 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   4   7   0.00043      0.02   12.7   0.0   238   278   133   172   131   173 0.91 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   5   7   2.4e-06   0.00011   20.1   0.1   235   278   170   212   167   215 0.90 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   6   7   2.8e-05    0.0013   16.6   0.1   236   278   211   252   209   262 0.89 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   7   7     0.029       1.3    6.6   0.0   240   269   258   286   253   287 0.80 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   1   7   1.7e-10   7.8e-09   33.8   0.1   237   280    11    54     3    64 0.90 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   2   7   3.8e-05    0.0017   16.2   0.1   239   278    54    92    52    93 0.85 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   3   7   2.8e-07   1.3e-05   23.2   0.1   236   280    91   134    90   137 0.91 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   4   7   0.00043      0.02   12.7   0.0   238   278   133   172   131   173 0.91 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   5   7   2.4e-06   0.00011   20.1   0.1   235   278   170   212   167   215 0.90 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   6   7   2.8e-05    0.0013   16.6   0.1   236   278   211   252   209   262 0.89 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 23620at50557         -            502   1.2e-33  115.6  14.8   7   7     0.029       1.3    6.6   0.0   240   269   258   286   253   287 0.80 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 23620at50557         -            502   1.2e-30  105.7   1.1   1   7   5.3e-05    0.0024   15.7   0.0   236   288     1    60     1    64 0.80 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 23620at50557         -            502   1.2e-30  105.7   1.1   2   7   1.4e-06   6.3e-05   20.9   0.0   249   278    57    86    42    87 0.78 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 23620at50557         -            502   1.2e-30  105.7   1.1   3   7   1.2e-07   5.7e-06   24.4   0.0   236   278    85   128    84   131 0.92 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 23620at50557         -            502   1.2e-30  105.7   1.1   4   7   6.9e-05    0.0031   15.3   0.0   239   279   130   171   127   175 0.88 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 23620at50557         -            502   1.2e-30  105.7   1.1   5   7   0.00021    0.0096   13.7   0.0   248   277   183   212   178   216 0.92 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 23620at50557         -            502   1.2e-30  105.7   1.1   6   7   0.00036     0.017   12.9   0.1   236   276   212   256   210   258 0.82 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 23620at50557         -            502   1.2e-30  105.7   1.1   7   7       0.4        18    2.9   0.0   413   437   256   280   253   291 0.44 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 23620at50557         -            502   3.9e-30  104.1   0.5   1   6   4.6e-05    0.0021   15.9   0.0   236   289     1    61     1    64 0.80 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 23620at50557         -            502   3.9e-30  104.1   0.5   2   6   1.2e-06   5.5e-05   21.1   0.0   249   278    57    86    42    87 0.78 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 23620at50557         -            502   3.9e-30  104.1   0.5   3   6   1.1e-07     5e-06   24.6   0.0   236   278    85   128    84   131 0.92 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 23620at50557         -            502   3.9e-30  104.1   0.5   4   6     6e-05    0.0027   15.5   0.0   239   279   130   171   127   175 0.88 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 23620at50557         -            502   3.9e-30  104.1   0.5   5   6   0.00021    0.0098   13.7   0.0   248   277   183   212   178   214 0.93 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 23620at50557         -            502   3.9e-30  104.1   0.5   6   6   0.00022      0.01   13.6   0.0   236   277   212   257   210   262 0.82 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 23620at50557         -            502     1e-22   79.6   0.8   1   5     0.096       4.4    4.9   0.0   237   268    40    72    30    73 0.84 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 23620at50557         -            502     1e-22   79.6   0.8   2   5   1.7e-06   7.6e-05   20.6   0.0   227   272    72   118    72   122 0.90 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 23620at50557         -            502     1e-22   79.6   0.8   3   5   2.2e-11     1e-09   36.7   0.0   234   279   121   167   114   173 0.91 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 23620at50557         -            502     1e-22   79.6   0.8   4   5    0.0005     0.023   12.5   0.0   374   467   166   262   165   265 0.78 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 23620at50557         -            502     1e-22   79.6   0.8   5   5      0.18       8.3    4.0   0.0   232   267   245   281   233   281 0.87 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 23620at50557         -            502   1.5e-21   75.7   0.4   1   5      0.34        16    3.1   0.0   237   269     3    36     2    39 0.78 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 23620at50557         -            502   1.5e-21   75.7   0.4   2   5    0.0014     0.064   11.0   0.0   229   267    37    76    32    84 0.86 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 23620at50557         -            502   1.5e-21   75.7   0.4   3   5   2.5e-05    0.0012   16.8   0.0   237   286    87   137    77   140 0.91 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 23620at50557         -            502   1.5e-21   75.7   0.4   4   5     4e-10   1.8e-08   32.6   0.0   234   279   126   172   119   183 0.89 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 23620at50557         -            502   1.5e-21   75.7   0.4   5   5   0.00024     0.011   13.5   0.0   377   467   174   267   170   275 0.75 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 23620at50557         -            502   2.7e-21   74.9   0.9   1   5       2.4   1.1e+02    0.3   0.0   251   410    17    41     2    75 0.49 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 23620at50557         -            502   2.7e-21   74.9   0.9   2   5   0.00068     0.031   12.0   0.0   233   269    82   119    74   129 0.86 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 23620at50557         -            502   2.7e-21   74.9   0.9   3   5     8e-11   3.7e-09   34.9   0.0   237   279   128   171   119   189 0.89 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 23620at50557         -            502   2.7e-21   74.9   0.9   4   5   0.00018    0.0085   13.9   0.0   232   277   210   253   193   255 0.85 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 23620at50557         -            502   2.7e-21   74.9   0.9   5   5    0.0044       0.2    9.4   0.0   236   269   253   287   250   288 0.90 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 23620at50557         -            502   2.7e-21   74.9   0.9   1   5       2.4   1.1e+02    0.3   0.0   251   410    17    41     2    75 0.49 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 23620at50557         -            502   2.7e-21   74.9   0.9   2   5   0.00068     0.031   12.0   0.0   233   269    82   119    74   129 0.86 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 23620at50557         -            502   2.7e-21   74.9   0.9   3   5     8e-11   3.7e-09   34.9   0.0   237   279   128   171   119   189 0.89 -
