#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
126015at50557_103372_0:0021a1|STRG.3457.1:0-515|+      -            172 126015at50557        -            146   2.5e-69  230.4   0.4   1   1   2.3e-71   6.5e-69  229.1   0.4     1   143     4   172     4   172 0.90 -
150518at50557_7004_0:003f1b|STRG.7080.1:447-1082|+     -            212 126015at50557        -            146   4.4e-10   38.3   0.0   1   1   1.9e-12   5.5e-10   38.0   0.0    43   129    94   183    69   201 0.79 -
21787at50557_52612_0:002557|STRG.13339.1:1540-2310|-   -            257 126015at50557        -            146   7.2e-06   24.6   0.0   1   1     5e-08   1.4e-05   23.7   0.0    71   110   203   242   192   253 0.88 -
126015at50557_136037_0:0009b5|STRG.3567.1:2-397|+      -            132 126015at50557        -            146   6.2e-05   21.6   0.0   1   1   3.1e-07   8.7e-05   21.1   0.0    45    95    37    94     5   104 0.66 -
126015at50557_136037_0:0009b5|STRG.3567.2:2-397|+      -            132 126015at50557        -            146   6.2e-05   21.6   0.0   1   1   3.1e-07   8.7e-05   21.1   0.0    45    95    37    94     5   104 0.66 -
15341at50557_113334_0:000c2f|STRG.3601.1:553-987|+     -            145 126015at50557        -            146   0.00028   19.5   0.0   1   1   1.2e-06   0.00034   19.2   0.0    44   114    51   122    40   140 0.84 -
15341at50557_113334_0:000c2f|STRG.3601.2:66-500|+      -            145 126015at50557        -            146   0.00028   19.5   0.0   1   1   1.2e-06   0.00034   19.2   0.0    44   114    51   122    40   140 0.84 -
21787at50557_1507135_0:00034b|STRG.13695.1:3319-4143|+ -            275 126015at50557        -            146     0.001   17.6   0.3   1   1     7e-06     0.002   16.7   0.3    67    94   205   232   139   245 0.76 -
21787at50557_1507135_0:00034b|STRG.13695.2:3010-3834|+ -            275 126015at50557        -            146     0.001   17.6   0.3   1   1     7e-06     0.002   16.7   0.3    67    94   205   232   139   245 0.76 -
21787at50557_1507135_0:00034b|STRG.13695.3:2916-3740|+ -            275 126015at50557        -            146     0.001   17.6   0.3   1   1     7e-06     0.002   16.7   0.3    67    94   205   232   139   245 0.76 -
21787at50557_1507135_0:00034b|STRG.13695.4:2916-3740|+ -            275 126015at50557        -            146     0.001   17.6   0.3   1   1     7e-06     0.002   16.7   0.3    67    94   205   232   139   245 0.76 -
21787at50557_1507135_0:00034b|STRG.13695.5:449-1273|+  -            275 126015at50557        -            146     0.001   17.6   0.3   1   1     7e-06     0.002   16.7   0.3    67    94   205   232   139   245 0.76 -
21787at50557_1507135_0:00034b|STRG.13695.6:213-1037|+  -            275 126015at50557        -            146     0.001   17.6   0.3   1   1     7e-06     0.002   16.7   0.3    67    94   205   232   139   245 0.76 -
21787at50557_1507135_0:00034b|STRG.13695.7:156-980|+   -            275 126015at50557        -            146     0.001   17.6   0.3   1   1     7e-06     0.002   16.7   0.3    67    94   205   232   139   245 0.76 -
21787at50557_123851_0:0009c4|STRG.2864.1:2229-3014|+   -            262 126015at50557        -            146    0.0011   17.5   0.2   1   2       9.7   2.8e+03   -3.2   0.0    54    75    67    88    31    99 0.63 -
21787at50557_123851_0:0009c4|STRG.2864.1:2229-3014|+   -            262 126015at50557        -            146    0.0011   17.5   0.2   2   2   8.7e-06    0.0025   16.4   0.2    76   124   189   244   180   252 0.80 -
21787at50557_123851_0:0009c4|STRG.2864.2:1893-2678|+   -            262 126015at50557        -            146    0.0011   17.5   0.2   1   2       9.7   2.8e+03   -3.2   0.0    54    75    67    88    31    99 0.63 -
21787at50557_123851_0:0009c4|STRG.2864.2:1893-2678|+   -            262 126015at50557        -            146    0.0011   17.5   0.2   2   2   8.7e-06    0.0025   16.4   0.2    76   124   189   244   180   252 0.80 -
21787at50557_116153_0:00200a|STRG.13828.1:3612-4487|+  -            292 126015at50557        -            146    0.0071   14.9   0.0   1   1   4.9e-05     0.014   13.9   0.0    75   124   232   288   209   291 0.77 -
21787at50557_123851_0:0009c4|STRG.12839.1:3299-4129|+  -            277 126015at50557        -            146     0.017   13.7   0.0   1   1   0.00011     0.032   12.8   0.0    74    93   214   233   194   268 0.85 -
21787at50557_123851_0:0009c4|STRG.12839.3:829-1659|+   -            277 126015at50557        -            146     0.017   13.7   0.0   1   1   0.00011     0.032   12.8   0.0    74    93   214   233   194   268 0.85 -
21787at50557_307491_0:004719|STRG.5027.1:1355-2014|+   -            220 126015at50557        -            146     0.019   13.5   0.7   1   1   0.00013     0.037   12.6   0.7    67    93   156   182   138   194 0.81 -
21787at50557_307491_0:004719|STRG.5027.2:1369-2028|+   -            220 126015at50557        -            146     0.019   13.5   0.7   1   1   0.00013     0.037   12.6   0.7    67    93   156   182   138   194 0.81 -
21787at50557_307491_0:004719|STRG.5027.3:1127-1786|+   -            220 126015at50557        -            146     0.019   13.5   0.7   1   1   0.00013     0.037   12.6   0.7    67    93   156   182   138   194 0.81 -
21787at50557_56086_0:000f6d|STRG.19256.1:924-1655|+    -            244 126015at50557        -            146     0.028   13.0   0.0   1   1   0.00025      0.07   11.7   0.0    70   123   176   237   163   241 0.74 -
21787at50557_123851_0:0009c4|STRG.8749.1:2643-3374|+   -            244 126015at50557        -            146      0.05   12.1   0.0   1   1   0.00027     0.076   11.5   0.0    62    95   165   199   156   232 0.75 -
21787at50557_123851_0:0009c4|STRG.8749.2:301-1032|+    -            244 126015at50557        -            146      0.05   12.1   0.0   1   1   0.00027     0.076   11.5   0.0    62    95   165   199   156   232 0.75 -
17115at50557_7493_0:000f73|STRG.5649.1:313-1740|+      -            476 126015at50557        -            146     0.056   12.0   0.0   1   2       1.9   5.2e+02   -0.9   0.0    80    94   290   304   274   308 0.82 -
17115at50557_7493_0:000f73|STRG.5649.1:313-1740|+      -            476 126015at50557        -            146     0.056   12.0   0.0   2   2    0.0011      0.31    9.6   0.0    72    98   308   334   298   341 0.84 -
17115at50557_7493_0:000f73|STRG.5649.2:234-1661|+      -            476 126015at50557        -            146     0.056   12.0   0.0   1   2       1.9   5.2e+02   -0.9   0.0    80    94   290   304   274   308 0.82 -
17115at50557_7493_0:000f73|STRG.5649.2:234-1661|+      -            476 126015at50557        -            146     0.056   12.0   0.0   2   2    0.0011      0.31    9.6   0.0    72    98   308   334   298   341 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/126015at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/126015at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/126015at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:33:08 2024
# [ok]
