#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54603at50557_103372_0:00290d|STRG.14974.1:0-1844|+     -            615 54603at50557         -            483  1.7e-232  771.0  24.8   1   1  3.4e-234  2.2e-232  770.7  24.8     1   481    96   613    96   615 0.95 -
54603at50557_217634_0:0030bb|STRG.6456.1:514-1614|+    -            367 54603at50557         -            483   6.8e-56  188.7  36.0   1   4   1.8e-24   1.2e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.6456.1:514-1614|+    -            367 54603at50557         -            483   6.8e-56  188.7  36.0   2   4   1.8e-22   1.2e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.6456.1:514-1614|+    -            367 54603at50557         -            483   6.8e-56  188.7  36.0   3   4     6e-18   3.9e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.6456.1:514-1614|+    -            367 54603at50557         -            483   6.8e-56  188.7  36.0   4   4   5.1e-05    0.0034   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.6456.2:514-1614|+    -            367 54603at50557         -            483   6.8e-56  188.7  36.0   1   4   1.8e-24   1.2e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.6456.2:514-1614|+    -            367 54603at50557         -            483   6.8e-56  188.7  36.0   2   4   1.8e-22   1.2e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.6456.2:514-1614|+    -            367 54603at50557         -            483   6.8e-56  188.7  36.0   3   4     6e-18   3.9e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.6456.2:514-1614|+    -            367 54603at50557         -            483   6.8e-56  188.7  36.0   4   4   5.1e-05    0.0034   14.9   0.0   163   201   326   364   324   367 0.74 -
54603at50557_217634_0:0030bb|STRG.6456.4:36-1136|+     -            367 54603at50557         -            483   6.8e-56  188.7  36.0   1   4   1.8e-24   1.2e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.6456.4:36-1136|+     -            367 54603at50557         -            483   6.8e-56  188.7  36.0   2   4   1.8e-22   1.2e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.6456.4:36-1136|+     -            367 54603at50557         -            483   6.8e-56  188.7  36.0   3   4     6e-18   3.9e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.6456.4:36-1136|+     -            367 54603at50557         -            483   6.8e-56  188.7  36.0   4   4   5.1e-05    0.0034   14.9   0.0   163   201   326   364   324   367 0.74 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   1   9   3.5e-06   0.00023   18.7   0.2   356   429     1    78     1    83 0.80 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   2   9   0.00024     0.016   12.7   0.1   139   200    71   137    68   145 0.84 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   3   9   3.7e-11   2.4e-09   35.1   0.5   266   393   142   279   131   290 0.66 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   4   9   2.6e-05    0.0017   15.8   0.1   269   326   264   322   261   323 0.87 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   5   9   0.00024     0.016   12.7   2.2    41   139   317   428   316   432 0.76 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   6   9   3.4e-07   2.3e-05   22.0   3.8   331   420   412   506   364   512 0.66 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   7   9   0.00022     0.014   12.8   0.2   271   307   513   549   508   553 0.93 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   8   9   5.2e-17   3.5e-15   54.4   6.9    46   221   571   767   566   795 0.80 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   9   9   6.6e-13   4.4e-11   40.9   5.2    55   180   799   939   779   957 0.82 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   1   9   3.5e-06   0.00023   18.7   0.2   356   429     1    78     1    83 0.80 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   2   9   0.00024     0.016   12.7   0.1   139   200    71   137    68   145 0.84 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   3   9   3.7e-11   2.4e-09   35.1   0.5   266   393   142   279   131   290 0.66 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   4   9   2.6e-05    0.0017   15.8   0.1   269   326   264   322   261   323 0.87 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   5   9   0.00024     0.016   12.7   2.2    41   139   317   428   316   432 0.76 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   6   9   3.4e-07   2.3e-05   22.0   3.8   331   420   412   506   364   512 0.66 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   7   9   0.00022     0.014   12.8   0.2   271   307   513   549   508   553 0.93 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   8   9   5.2e-17   3.5e-15   54.4   6.9    46   221   571   767   566   795 0.80 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 54603at50557         -            483   2.6e-55  186.7  55.7   9   9   6.6e-13   4.4e-11   40.9   5.2    55   180   799   939   779   957 0.82 -
54603at50557_7070_0:002ddb|STRG.5722.2:33-1214|+       -            394 54603at50557         -            483   1.1e-51  174.8  16.6   1   4   7.1e-14   4.7e-12   44.1   0.1   108   206    11   121     3   123 0.82 -
54603at50557_7070_0:002ddb|STRG.5722.2:33-1214|+       -            394 54603at50557         -            483   1.1e-51  174.8  16.6   2   4   2.3e-15   1.5e-13   49.0   0.2    55   139   120   204   117   207 0.95 -
54603at50557_7070_0:002ddb|STRG.5722.2:33-1214|+       -            394 54603at50557         -            483   1.1e-51  174.8  16.6   3   4   5.5e-14   3.6e-12   44.5   0.4   334   434   191   293   191   299 0.94 -
54603at50557_7070_0:002ddb|STRG.5722.2:33-1214|+       -            394 54603at50557         -            483   1.1e-51  174.8  16.6   4   4   1.6e-18   1.1e-16   59.4   3.9   335   438   284   389   284   392 0.94 -
54603at50557_7070_0:002ddb|STRG.5722.1:50-1294|+       -            415 54603at50557         -            483   1.9e-51  174.0  17.3   1   4   6.1e-14     4e-12   44.3   0.2   108   206    11   121     3   125 0.81 -
54603at50557_7070_0:002ddb|STRG.5722.1:50-1294|+       -            415 54603at50557         -            483   1.9e-51  174.0  17.3   2   4   2.5e-15   1.7e-13   48.9   0.2    55   139   120   204   117   207 0.95 -
54603at50557_7070_0:002ddb|STRG.5722.1:50-1294|+       -            415 54603at50557         -            483   1.9e-51  174.0  17.3   3   4   1.6e-14   1.1e-12   46.2   0.3   332   434   189   293   188   297 0.94 -
