#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48053at50557_104421_0:0017a2|STRG.3533.1:31-1551|+     -            507 48053at50557         -            417  3.2e-232  769.6   8.4   1   1  6.7e-232    4e-230  762.7   8.4     1   417     9   504     9   504 0.93 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+    -            523 48053at50557         -            417   1.8e-21   75.4   0.1   1   2   4.9e-08   2.9e-06   25.3   0.0   282   345   327   397   205   405 0.80 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+    -            523 48053at50557         -            417   1.8e-21   75.4   0.1   2   2   1.8e-17   1.1e-15   56.3   0.0   285   417   372   520   365   520 0.81 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 48053at50557         -            417   6.7e-21   73.5   6.2   1   4    0.0067       0.4    8.3   0.0   218   254    10    49     6    54 0.79 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 48053at50557         -            417   6.7e-21   73.5   6.2   2   4   2.9e-09   1.7e-07   29.3   0.3   185   256    58   131    50   138 0.87 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 48053at50557         -            417   6.7e-21   73.5   6.2   3   4   1.1e-07   6.2e-06   24.2   0.0   186   256   139   211   131   222 0.85 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 48053at50557         -            417   6.7e-21   73.5   6.2   4   4   0.00028     0.017   12.9   0.1   293   343   228   286   209   287 0.72 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 48053at50557         -            417   6.7e-21   73.5   6.2   1   4    0.0067       0.4    8.3   0.0   218   254    10    49     6    54 0.79 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 48053at50557         -            417   6.7e-21   73.5   6.2   2   4   2.9e-09   1.7e-07   29.3   0.3   185   256    58   131    50   138 0.87 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 48053at50557         -            417   6.7e-21   73.5   6.2   3   4   1.1e-07   6.2e-06   24.2   0.0   186   256   139   211   131   222 0.85 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 48053at50557         -            417   6.7e-21   73.5   6.2   4   4   0.00028     0.017   12.9   0.1   293   343   228   286   209   287 0.72 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 48053at50557         -            417   6.7e-21   73.5   6.2   1   4    0.0067       0.4    8.3   0.0   218   254    10    49     6    54 0.79 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 48053at50557         -            417   6.7e-21   73.5   6.2   2   4   2.9e-09   1.7e-07   29.3   0.3   185   256    58   131    50   138 0.87 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 48053at50557         -            417   6.7e-21   73.5   6.2   3   4   1.1e-07   6.2e-06   24.2   0.0   186   256   139   211   131   222 0.85 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 48053at50557         -            417   6.7e-21   73.5   6.2   4   4   0.00028     0.017   12.9   0.1   293   343   228   286   209   287 0.72 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 48053at50557         -            417     1e-20   72.8   0.1   1   3   1.5e-08   8.9e-07   26.9   0.1   247   351     8   128     4   136 0.75 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 48053at50557         -            417     1e-20   72.8   0.1   2   3   1.9e-08   1.1e-06   26.6   0.0   282   345   136   206   130   215 0.85 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 48053at50557         -            417     1e-20   72.8   0.1   3   3   2.2e-09   1.3e-07   29.7   0.0   286   380   182   285   178   286 0.86 -
