#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
32612at50557_103372_0:0018c8|STRG.6789.1:0-1685|+    -            562 32612at50557         -            443  6.4e-201  666.8  24.4   1   1  6.2e-200  4.8e-197  654.0  24.4     1   442     1   551     1   552 0.86 -
32612at50557_286706_0:0005bc|STRG.234.1:78-1745|+    -            556 32612at50557         -            443   2.1e-21   75.2  10.0   1   3     1e-07     8e-05   20.5   0.3    28   133    14   124     7   131 0.89 -
32612at50557_286706_0:0005bc|STRG.234.1:78-1745|+    -            556 32612at50557         -            443   2.1e-21   75.2  10.0   2   3   2.4e-16   1.8e-13   49.0   2.1   167   325   202   364   192   414 0.82 -
32612at50557_286706_0:0005bc|STRG.234.1:78-1745|+    -            556 32612at50557         -            443   2.1e-21   75.2  10.0   3   3   0.00031      0.24    9.1   0.0   388   437   500   555   497   556 0.77 -
32612at50557_286706_0:0005bc|STRG.234.2:78-1745|+    -            556 32612at50557         -            443   2.8e-21   74.7   9.6   1   3   1.8e-07   0.00014   19.8   0.3    28   133    14   124     7   131 0.90 -
32612at50557_286706_0:0005bc|STRG.234.2:78-1745|+    -            556 32612at50557         -            443   2.8e-21   74.7   9.6   2   3   2.4e-16   1.8e-13   49.0   2.1   167   325   202   364   192   414 0.82 -
32612at50557_286706_0:0005bc|STRG.234.2:78-1745|+    -            556 32612at50557         -            443   2.8e-21   74.7   9.6   3   3   0.00031      0.24    9.1   0.0   388   437   500   555   497   556 0.77 -
32612at50557_1041015_0:001a29|STRG.10205.2:84-1862|+ -            593 32612at50557         -            443   2.8e-18   64.9   0.3   1   3   3.8e-08     3e-05   21.9   0.0    30   141    15   132     4   140 0.78 -
32612at50557_1041015_0:001a29|STRG.10205.2:84-1862|+ -            593 32612at50557         -            443   2.8e-18   64.9   0.3   2   3   6.7e-11   5.2e-08   31.0   0.0   167   208   214   255   211   366 0.84 -
32612at50557_1041015_0:001a29|STRG.10205.2:84-1862|+ -            593 32612at50557         -            443   2.8e-18   64.9   0.3   3   3    0.0006      0.47    8.1   0.0   395   435   541   591   526   593 0.70 -
32612at50557_597456_0:00117f|STRG.234.5:406-1644|+   -            413 32612at50557         -            443   1.3e-16   59.3   5.5   1   3   1.7e-16   1.3e-13   49.5   2.4   167   324    58   219    53   249 0.80 -
32612at50557_597456_0:00117f|STRG.234.5:406-1644|+   -            413 32612at50557         -            443   1.3e-16   59.3   5.5   2   3       2.6     2e+03   -3.9   0.0   373   389   306   322   298   325 0.82 -
32612at50557_597456_0:00117f|STRG.234.5:406-1644|+   -            413 32612at50557         -            443   1.3e-16   59.3   5.5   3   3   0.00014      0.11   10.1   0.0   388   437   356   411   353   413 0.77 -
32612at50557_28612_0:004b86|STRG.234.3:814-2178|+    -            455 32612at50557         -            443   1.5e-16   59.2   5.2   1   3   1.9e-16   1.4e-13   49.3   2.0   167   324   100   261    86   275 0.80 -
