#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
37475at50557_103372_0:00039a|STRG.14964.1:2-1201|+     -            400 37475at50557         -            589   1.8e-94  315.9   8.0   1   1   1.4e-94   5.7e-93  311.0   8.0   257   566     7   400     4   400 0.86 -
37475at50557_411798_0:00107d|STRG.3762.1:1-693|+       -            231 37475at50557         -            589   9.7e-84  280.5   4.3   1   1   5.3e-85   2.1e-83  279.4   4.3    23   214     1   231     1   231 0.89 -
37475at50557_144034_0:000f95|STRG.14964.2:707-1492|+   -            262 37475at50557         -            589   1.5e-53  180.8   2.5   1   1   5.3e-55   2.1e-53  180.3   2.5   370   566    20   262    14   262 0.81 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 37475at50557         -            589     6e-22   76.5  17.1   1   4   6.5e-07   2.6e-05   21.5   0.0   143   184     3    44     2    49 0.91 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 37475at50557         -            589     6e-22   76.5  17.1   2   4    0.0015     0.059   10.4   0.2    84   118    70   104    63   106 0.90 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 37475at50557         -            589     6e-22   76.5  17.1   3   4   7.4e-10     3e-08   31.2   4.4    71   191    98   230    98   246 0.81 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 37475at50557         -            589     6e-22   76.5  17.1   4   4     1e-06   4.1e-05   20.9   1.1   149   242   230   345   225   346 0.70 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 37475at50557         -            589   2.7e-18   64.4  11.8   1   3   1.2e-12   4.8e-11   40.5   3.6    79   182     4   120     1   127 0.88 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 37475at50557         -            589   2.7e-18   64.4  11.8   2   3   1.5e-05   0.00062   17.0   0.0   146   213   126   205   123   216 0.77 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 37475at50557         -            589   2.7e-18   64.4  11.8   3   3     0.033       1.3    6.0   0.2   135   179   243   291   239   291 0.79 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 37475at50557         -            589   6.2e-18   63.2  10.2   1   3   1.1e-12   4.6e-11   40.5   3.4    79   183     3   120     1   127 0.88 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 37475at50557         -            589   6.2e-18   63.2  10.2   2   3   1.4e-05   0.00058   17.1   0.0   146   213   125   204   121   215 0.76 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 37475at50557         -            589   6.2e-18   63.2  10.2   3   3      0.95        38    1.2   0.0   146   171   255   280   252   288 0.87 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 37475at50557         -            589   3.4e-17   60.8  15.7   1   7   7.5e-06    0.0003   18.0   0.0   122   186    90   154    86   158 0.94 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 37475at50557         -            589   3.4e-17   60.8  15.7   2   7     0.026       1.1    6.3   0.5   225   246   165   186   155   190 0.77 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 37475at50557         -            589   3.4e-17   60.8  15.7   3   7     0.017      0.69    6.9   0.1   146   187   199   245   195   250 0.74 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 37475at50557         -            589   3.4e-17   60.8  15.7   4   7     0.055       2.2    5.3   0.1     6    33   254   281   251   290 0.79 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 37475at50557         -            589   3.4e-17   60.8  15.7   5   7     0.003      0.12    9.4   0.0   147   190   363   406   349   408 0.92 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 37475at50557         -            589   3.4e-17   60.8  15.7   6   7   0.00012     0.005   14.0   0.2   149   182   407   440   404   444 0.89 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 37475at50557         -            589   3.4e-17   60.8  15.7   7   7      0.06       2.4    5.1   0.0    78   108   449   479   439   481 0.59 -
14512at50557_29053_0:0002b6|STRG.15815.1:12-722|+      -            237 37475at50557         -            589   2.7e-15   54.5   4.4   1   5   7.3e-06    0.0003   18.0   0.0   147   188     3    44     1    49 0.91 -
14512at50557_29053_0:0002b6|STRG.15815.1:12-722|+      -            237 37475at50557         -            589   2.7e-15   54.5   4.4   2   5     0.085       3.4    4.6   0.1   151   188    49    86    45    89 0.85 -
14512at50557_29053_0:0002b6|STRG.15815.1:12-722|+      -            237 37475at50557         -            589   2.7e-15   54.5   4.4   3   5   0.00012    0.0049   14.0   0.0   149   183    89   123    85   127 0.93 -
14512at50557_29053_0:0002b6|STRG.15815.1:12-722|+      -            237 37475at50557         -            589   2.7e-15   54.5   4.4   4   5     0.034       1.4    5.9   0.1   149   183   161   195   154   203 0.86 -
14512at50557_29053_0:0002b6|STRG.15815.1:12-722|+      -            237 37475at50557         -            589   2.7e-15   54.5   4.4   5   5    0.0015     0.061   10.4   0.0   149   180   205   236   196   237 0.91 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 37475at50557         -            589   3.6e-15   54.1  14.1   1   6   0.00044     0.018   12.2   0.2    60   109    18    68    10    72 0.74 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 37475at50557         -            589   3.6e-15   54.1  14.1   2   6    0.0023     0.094    9.8   0.0   143   180    72   109    68   115 0.72 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 37475at50557         -            589   3.6e-15   54.1  14.1   3   6    0.0012     0.048   10.8   0.0   148   187   119   160   110   164 0.82 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 37475at50557         -            589   3.6e-15   54.1  14.1   4   6   0.00064     0.026   11.6   0.1    76   108   162   194   155   195 0.80 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 37475at50557         -            589   3.6e-15   54.1  14.1   5   6     0.028       1.1    6.2   0.0   138   190   196   249   194   251 0.86 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 37475at50557         -            589   3.6e-15   54.1  14.1   6   6    0.0018     0.074   10.1   0.5   149   179   251   281   244   281 0.97 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 37475at50557         -            589   3.6e-15   54.1   8.1   1   6   0.00015     0.006   13.7   0.0   123   195    27   101    25   105 0.84 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 37475at50557         -            589   3.6e-15   54.1   8.1   2   6       4.1   1.7e+02   -0.9   0.0   223   240   103   120   101   139 0.73 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 37475at50557         -            589   3.6e-15   54.1   8.1   3   6       1.1        46    0.9   0.0   175   205   180   210   166   222 0.78 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 37475at50557         -            589   3.6e-15   54.1   8.1   4   6     0.079       3.2    4.7   0.0    75   109   313   347   291   351 0.90 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 37475at50557         -            589   3.6e-15   54.1   8.1   5   6   1.6e-05   0.00064   16.9   0.3   119   182   489   557   485   569 0.79 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 37475at50557         -            589   3.6e-15   54.1   8.1   6   6       0.3        12    2.8   0.1   155   180   574   598   566   601 0.73 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 37475at50557         -            589   2.8e-14   51.1  14.0   1   6   7.3e-05    0.0029   14.7   0.0    55   109    63   120    52   130 0.82 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 37475at50557         -            589   2.8e-14   51.1  14.0   2   6     0.016      0.63    7.1   0.0    76   114   129   167   121   179 0.88 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 37475at50557         -            589   2.8e-14   51.1  14.0   3   6       1.2        49    0.8   0.0   149   189   251   291   244   293 0.76 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 37475at50557         -            589   2.8e-14   51.1  14.0   4   6     0.045       1.8    5.5   0.1   150   189   294   333   291   346 0.88 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 37475at50557         -            589   2.8e-14   51.1  14.0   5   6   3.1e-05    0.0013   16.0   0.4    59   139   451   534   381   547 0.69 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 37475at50557         -            589   2.8e-14   51.1  14.0   6   6    0.0082      0.33    8.0   0.1    98   204   598   705   588   711 0.67 -
40115at50557_597456_0:00265e|STRG.5080.1:1879-2748|+   -            290 37475at50557         -            589   2.9e-13   47.8  14.3   1   3   7.7e-08   3.1e-06   24.6   3.8    87   182     9   120     1   129 0.67 -
