#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
114148at50557_411798_0:002c13|STRG.7517.6:221-1468|+   -            245 114148at50557        -            169   2.1e-84  280.8   8.1   1   1   4.5e-87   2.6e-84  280.5   8.1     1   169    46   228    46   228 0.90 -
114148at50557_456900_0:001b0d|STRG.7517.1:259-990|+    -            244 114148at50557        -            169   2.1e-84  280.8   8.1   1   1   4.5e-87   2.6e-84  280.5   8.1     1   169    45   227    45   227 0.90 -
114148at50557_456900_0:001b0d|STRG.7517.7:233-964|+    -            244 114148at50557        -            169   2.1e-84  280.8   8.1   1   1   4.5e-87   2.6e-84  280.5   8.1     1   169    45   227    45   227 0.90 -
114148at50557_456900_0:001b0d|STRG.7517.5:233-1045|+   -            271 114148at50557        -            169   2.9e-84  280.3   8.1   1   1   6.2e-87   3.6e-84  280.0   8.1     1   169    72   254    72   254 0.90 -
114148at50557_456900_0:001b0d|STRG.7517.8:68-760|+     -            231 114148at50557        -            169   3.7e-84  280.0   8.3   1   1     8e-87   4.7e-84  279.7   8.3     1   169    31   214    31   214 0.89 -
114148at50557_456900_0:001b0d|STRG.7517.3:259-990|+    -            244 114148at50557        -            169   4.4e-84  279.7   8.3   1   1   9.6e-87   5.6e-84  279.4   8.3     1   169    44   227    44   227 0.89 -
114148at50557_456900_0:001b0d|STRG.7517.4:233-964|+    -            244 114148at50557        -            169   4.4e-84  279.7   8.3   1   1   9.6e-87   5.6e-84  279.4   8.3     1   169    44   227    44   227 0.89 -
114148at50557_456900_0:001b0d|STRG.7517.2:259-993|+    -            245 114148at50557        -            169   4.5e-84  279.7   8.3   1   1   9.8e-87   5.7e-84  279.4   8.3     1   169    45   228    45   228 0.89 -
114148at50557_108931_0:0012ec|STRG.10038.3:2641-3273|+ -            211 114148at50557        -            169   7.5e-22   77.2   4.5   1   1   5.7e-24   3.3e-21   75.1   4.5    16   126    27   137    16   201 0.85 -
114148at50557_110193_0:0001b8|STRG.10038.1:3067-3594|+ -            176 114148at50557        -            169   2.5e-21   75.5   3.0   1   1   2.1e-23   1.2e-20   73.3   3.0    23   126     1   104     1   169 0.85 -
114148at50557_110193_0:0001b8|STRG.10038.2:2797-3324|+ -            176 114148at50557        -            169   2.5e-21   75.5   3.0   1   1   2.1e-23   1.2e-20   73.3   3.0    23   126     1   104     1   169 0.85 -
114148at50557_110193_0:0001b8|STRG.10038.4:2793-3320|+ -            176 114148at50557        -            169   2.5e-21   75.5   3.0   1   1   2.1e-23   1.2e-20   73.3   3.0    23   126     1   104     1   169 0.85 -
114148at50557_110193_0:0001b8|STRG.10038.5:2692-3219|+ -            176 114148at50557        -            169   2.5e-21   75.5   3.0   1   1   2.1e-23   1.2e-20   73.3   3.0    23   126     1   104     1   169 0.85 -
114148at50557_110193_0:0001b8|STRG.10038.6:3063-3590|+ -            176 114148at50557        -            169   2.5e-21   75.5   3.0   1   1   2.1e-23   1.2e-20   73.3   3.0    23   126     1   104     1   169 0.85 -
75748at50557_34720_0:000cd7|STRG.5390.1:1536-3221|+    -            562 114148at50557        -            169   2.6e-08   33.2   1.8   1   2   4.4e-11   2.6e-08   33.2   1.8    15    93    95   169    82   178 0.80 -
75748at50557_34720_0:000cd7|STRG.5390.1:1536-3221|+    -            562 114148at50557        -            169   2.6e-08   33.2   1.8   2   2       8.2   4.8e+03   -3.5   0.3     8    38   522   552   515   555 0.61 -
139832at50557_326594_0:00063f|STRG.2378.1:681-1016|+   -            112 114148at50557        -            169     0.011   14.8   0.4   1   1   2.5e-05     0.014   14.5   0.4    10    78    47   112    38   112 0.78 -
149245at50557_34720_0:0007e8|STRG.3406.1:347-763|+     -            139 114148at50557        -            169     0.027   13.6   0.0   1   1   5.1e-05     0.029   13.5   0.0    48    94    45    85    31   135 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/114148at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/114148at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/114148at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:05:42 2024
# [ok]
