#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
46658at50557_219809_0:0017ae|STRG.5459.1:451-1869|+    -            473 46658at50557         -            373  1.4e-239  793.6   1.4   1   1  1.5e-241  1.7e-239  793.3   1.4     1   373    59   457    59   457 0.97 -
46658at50557_211228_0:001f32|STRG.6659.1:227-1321|+    -            365 46658at50557         -            373   4.2e-81  272.0   0.9   1   1   4.3e-83   4.8e-81  271.8   0.9    25   364     1   365     1   365 0.91 -
46658at50557_211228_0:001f32|STRG.6659.2:227-1321|+    -            365 46658at50557         -            373   4.2e-81  272.0   0.9   1   1   4.3e-83   4.8e-81  271.8   0.9    25   364     1   365     1   365 0.91 -
46658at50557_1155016_0:0008f1|STRG.11013.1:90-1193|+   -            368 46658at50557         -            373   3.5e-79  265.7   0.7   1   1   3.5e-81   3.9e-79  265.5   0.7    25   365     1   366     1   368 0.91 -
46658at50557_28612_0:0048c7|STRG.15422.3:78-1262|+     -            395 46658at50557         -            373   2.5e-61  206.9   2.5   1   1   2.9e-63   3.2e-61  206.6   2.5    21   372    14   394     2   395 0.87 -
46658at50557_28612_0:0048c7|STRG.15422.4:78-2450|+     -            395 46658at50557         -            373   2.5e-61  206.9   2.5   1   1   2.9e-63   3.2e-61  206.6   2.5    21   372    14   394     2   395 0.87 -
46658at50557_28612_0:0048c7|STRG.15422.1:204-1385|+    -            394 46658at50557         -            373   3.8e-61  206.3   2.3   1   1   4.5e-63     5e-61  205.9   2.3    21   371    14   393     2   394 0.87 -
46658at50557_28612_0:0048c7|STRG.15422.2:265-1446|+    -            394 46658at50557         -            373   3.8e-61  206.3   2.3   1   1   4.5e-63     5e-61  205.9   2.3    21   371    14   393     2   394 0.87 -
43304at50557_568069_0:003ee6|STRG.15276.1:142-1434|+   -            431 46658at50557         -            373     1e-54  185.2   0.8   1   1   1.2e-56   1.3e-54  184.8   0.8    17   363    11   382     3   391 0.82 -
46658at50557_7260_0:0034ab|STRG.9385.1:516-1625|+      -            370 46658at50557         -            373   3.3e-53  180.2   0.5   1   1   3.5e-55   3.8e-53  180.0   0.5    25   358     1   368     1   370 0.82 -
46658at50557_7260_0:0034ab|STRG.9385.2:395-1504|+      -            370 46658at50557         -            373   3.3e-53  180.2   0.5   1   1   3.5e-55   3.8e-53  180.0   0.5    25   358     1   368     1   370 0.82 -
46658at50557_7260_0:0034ab|STRG.9385.3:437-1546|+      -            370 46658at50557         -            373   3.3e-53  180.2   0.5   1   1   3.5e-55   3.8e-53  180.0   0.5    25   358     1   368     1   370 0.82 -
35385at50557_37001_0:001231|STRG.9129.1:538-1866|+     -            443 46658at50557         -            373   7.4e-52  175.8   0.0   1   1     1e-53   1.1e-51  175.2   0.0    33   340    61   400    48   429 0.82 -
46658at50557_28612_0:0048c7|STRG.10682.1:138-1259|+    -            374 46658at50557         -            373   1.6e-51  174.6   0.0   1   1   1.9e-53   2.1e-51  174.3   0.0    23   347     5   356     1   365 0.87 -
46658at50557_28612_0:0048c7|STRG.10682.2:93-1214|+     -            374 46658at50557         -            373   1.6e-51  174.6   0.0   1   1   1.9e-53   2.1e-51  174.3   0.0    23   347     5   356     1   365 0.87 -
35385at50557_7375_0:0001af|STRG.3240.1:299-1633|+      -            445 46658at50557         -            373   1.5e-50  171.5   0.0   1   1     2e-52   2.2e-50  170.9   0.0    25   369    51   424    46   428 0.81 -
35385at50557_7375_0:0001af|STRG.3240.4:299-1633|+      -            445 46658at50557         -            373   1.5e-50  171.5   0.0   1   1     2e-52   2.2e-50  170.9   0.0    25   369    51   424    46   428 0.81 -
35385at50557_7375_0:0001af|STRG.3240.2:299-2127|+      -            445 46658at50557         -            373   7.2e-50  169.2   0.0   1   1   9.9e-52   1.1e-49  168.6   0.0    25   369    51   424    46   428 0.81 -
35385at50557_7370_0:001aad|STRG.4583.1:15-2105|+       -            697 46658at50557         -            373   2.3e-48  164.3   0.0   1   1   3.3e-50   3.7e-48  163.6   0.0    25   339   102   448    87   478 0.81 -
35385at50557_37001_0:001231|STRG.5735.1:1182-2489|+    -            436 46658at50557         -            373   2.5e-47  160.8   0.0   1   1   3.1e-49   3.4e-47  160.4   0.0    33   348    67   410    54   433 0.82 -
35385at50557_37001_0:001231|STRG.5735.2:1182-2459|+    -            426 46658at50557         -            373   3.6e-47  160.3   0.0   1   1   4.5e-49     5e-47  159.9   0.0    33   346    67   408    54   422 0.83 -
35385at50557_37001_0:001231|STRG.5735.3:872-2149|+     -            426 46658at50557         -            373   3.6e-47  160.3   0.0   1   1   4.5e-49     5e-47  159.9   0.0    33   346    67   408    54   422 0.83 -
35385at50557_37001_0:001231|STRG.9131.1:397-1731|+     -            445 46658at50557         -            373   1.7e-46  158.1   0.0   1   1   2.1e-48   2.4e-46  157.6   0.0    25   339    51   397    36   427 0.82 -
65449at50557_7237_0:000776|STRG.13829.2:21-1178|+      -            386 46658at50557         -            373   3.7e-46  157.0   1.1   1   1   4.1e-48   4.5e-46  156.7   1.1    25   361     3   370     1   380 0.81 -
18450at50557_144034_0:001371|STRG.15017.1:169-3258|+   -           1030 46658at50557         -            373   5.4e-46  156.5   0.0   1   1   7.6e-48   8.4e-46  155.8   0.0    40   344   385   722   372   741 0.82 -
18450at50557_144034_0:001371|STRG.15017.2:169-3267|+   -           1033 46658at50557         -            373   5.4e-46  156.4   0.0   1   1   7.6e-48   8.5e-46  155.8   0.0    40   344   388   725   375   744 0.82 -
35385at50557_37001_0:001231|STRG.9131.2:334-2491|+     -            445 46658at50557         -            373   8.3e-46  155.9   0.0   1   1     1e-47   1.2e-45  155.4   0.0    25   339    51   397    36   427 0.82 -
18450at50557_1155016_0:0026c2|STRG.16192.1:1130-2332|+ -            401 46658at50557         -            373   9.6e-44  149.1   0.0   1   1   1.2e-45   1.4e-43  148.5   0.0    24   339    14   370     8   390 0.79 -
18450at50557_1155016_0:0026c2|STRG.16192.2:1076-2278|+ -            401 46658at50557         -            373   9.6e-44  149.1   0.0   1   1   1.2e-45   1.4e-43  148.5   0.0    24   339    14   370     8   390 0.79 -
