#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
64266at50557_103372_0:002065|STRG.12009.1:15-1121|+ -            369 64266at50557         -            296  3.5e-169  560.9   3.8   1   1  8.6e-171  8.5e-168  556.3   3.8     1   296    19   352    19   352 0.92 -
64266at50557_104452_0:00323e|STRG.9876.1:773-1249|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   1   2   0.00029      0.28    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.9876.1:773-1249|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   2   2   6.8e-29   6.7e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.9876.2:639-1115|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   1   2   0.00029      0.28    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.9876.2:639-1115|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   2   2   6.8e-29   6.7e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.9876.3:627-1103|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   1   2   0.00029      0.28    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.9876.3:627-1103|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   2   2   6.8e-29   6.7e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.9876.4:801-1277|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   1   2   0.00029      0.28    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.9876.4:801-1277|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   2   2   6.8e-29   6.7e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.9876.5:713-1189|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   1   2   0.00029      0.28    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.9876.5:713-1189|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   2   2   6.8e-29   6.7e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.9876.6:586-1062|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   1   2   0.00029      0.28    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.9876.6:586-1062|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   2   2   6.8e-29   6.7e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.9876.7:571-1047|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   1   2   0.00029      0.28    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.9876.7:571-1047|+ -            159 64266at50557         -            296     3e-26   91.6   6.5   2   2   6.8e-29   6.7e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.9876.8:463-939|+  -            159 64266at50557         -            296     3e-26   91.6   6.5   1   2   0.00029      0.28    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.9876.8:463-939|+  -            159 64266at50557         -            296     3e-26   91.6   6.5   2   2   6.8e-29   6.7e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.9876.9:506-982|+  -            159 64266at50557         -            296     3e-26   91.6   6.5   1   2   0.00029      0.28    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.9876.9:506-982|+  -            159 64266at50557         -            296     3e-26   91.6   6.5   2   2   6.8e-29   6.7e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/64266at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/64266at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/64266at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:11:34 2024
# [ok]
