#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42648at50557_520822_0:00251c|STRG.8826.1:2-1294|+    -            431 42648at50557         -            349  2.2e-174  578.1  23.7   1   1  4.2e-176  1.3e-173  575.6  23.7     1   349    40   431    40   431 0.93 -
41050at50557_103372_0:00103f|STRG.16654.1:149-1429|+ -            427 42648at50557         -            349   6.4e-49  165.5  31.1   1   3   8.8e-05     0.027   12.2   0.0     5    35    17    47    13    61 0.83 -
41050at50557_103372_0:00103f|STRG.16654.1:149-1429|+ -            427 42648at50557         -            349   6.4e-49  165.5  31.1   2   3   4.2e-28   1.3e-25   88.9  12.1   121   315    83   290    71   291 0.89 -
41050at50557_103372_0:00103f|STRG.16654.1:149-1429|+ -            427 42648at50557         -            349   6.4e-49  165.5  31.1   3   3   1.9e-27   5.8e-25   86.7   8.4   168   336   212   393   209   403 0.88 -
41050at50557_103372_0:00103f|STRG.16654.2:2-1534|+   -            511 42648at50557         -            349   1.9e-48  163.9  30.8   1   3   0.00011     0.034   11.8   0.0     5    35   101   131    97   145 0.83 -
41050at50557_103372_0:00103f|STRG.16654.2:2-1534|+   -            511 42648at50557         -            349   1.9e-48  163.9  30.8   2   3   5.8e-28   1.8e-25   88.4  12.0   121   315   167   374   155   375 0.89 -
41050at50557_103372_0:00103f|STRG.16654.2:2-1534|+   -            511 42648at50557         -            349   1.9e-48  163.9  30.8   3   3   2.3e-27     7e-25   86.5   8.3   168   336   296   477   292   487 0.88 -
42648at50557_104421_0:001a18|STRG.1575.1:408-1463|+  -            352 42648at50557         -            349   2.3e-39  134.1  12.7   1   1   1.1e-40   3.4e-38  130.2  12.7    14   345     4   352     1   352 0.82 -
41050at50557_83485_0:000306|STRG.17184.1:566-1594|-  -            343 42648at50557         -            349   2.8e-38  130.5   7.9   1   1   3.1e-40   9.3e-38  128.8   7.9     8   335     4   340     1   343 0.83 -
41050at50557_28612_0:003878|STRG.16860.2:1753-2892|+ -            380 42648at50557         -            349   7.7e-21   73.1  21.8   1   4   5.9e-05     0.018   12.7   0.0     9    45     4    40     1    46 0.90 -
41050at50557_28612_0:003878|STRG.16860.2:1753-2892|+ -            380 42648at50557         -            349   7.7e-21   73.1  21.8   2   4      0.16        49    1.5   0.3   147   212    39   108    37   149 0.68 -
