#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
37657at50557_307658_0:001de5|STRG.5444.1:107-1756|+   -            550 37657at50557         -            403  1.8e-211  701.1   0.2   1   1  8.6e-213  1.6e-210  697.9   0.2     1   402    66   549    66   550 0.90 -
37657at50557_88501_0:001bdf|STRG.5444.2:384-1736|+    -            451 37657at50557         -            403  4.3e-179  594.4   0.9   1   1  2.6e-180  4.9e-178  591.0   0.9    62   402    28   450     6   451 0.87 -
37657at50557_34740_0:00111c|STRG.8570.1:9-896|+       -            296 37657at50557         -            403   6.1e-16   57.2   0.2   1   2   4.9e-13   9.2e-11   40.1   0.0   126   211    15    99     2   118 0.94 -
37657at50557_34740_0:00111c|STRG.8570.1:9-896|+       -            296 37657at50557         -            403   6.1e-16   57.2   0.2   2   2   1.9e-05    0.0036   15.1   0.1   300   349   239   290   173   295 0.79 -
37657at50557_76194_0:0021a4|STRG.23608.1:2656-2958|+  -            101 37657at50557         -            403   1.7e-12   45.8   0.0   1   1   9.8e-15   1.9e-12   45.7   0.0     2    95     8   101     7   101 0.98 -
37657at50557_76194_0:0021a4|STRG.23608.2:2674-2976|+  -            101 37657at50557         -            403   1.7e-12   45.8   0.0   1   1   9.8e-15   1.9e-12   45.7   0.0     2    95     8   101     7   101 0.98 -
37657at50557_76194_0:0021a4|STRG.23608.3:1658-1960|+  -            101 37657at50557         -            403   1.7e-12   45.8   0.0   1   1   9.8e-15   1.9e-12   45.7   0.0     2    95     8   101     7   101 0.98 -
10394at50557_38123_0:002dad|STRG.19126.1:4013-4528|+  -            172 37657at50557         -            403   9.7e-09   33.4   0.2   1   2    0.0005     0.094   10.4   0.0    57    93     2    38     1    43 0.79 -
10394at50557_38123_0:002dad|STRG.19126.1:4013-4528|+  -            172 37657at50557         -            403   9.7e-09   33.4   0.2   2   2   2.2e-07   4.2e-05   21.5   0.1    44   114    87   159    60   162 0.80 -
10394at50557_38123_0:002dad|STRG.19126.2:3856-4371|+  -            172 37657at50557         -            403   9.7e-09   33.4   0.2   1   2    0.0005     0.094   10.4   0.0    57    93     2    38     1    43 0.79 -
10394at50557_38123_0:002dad|STRG.19126.2:3856-4371|+  -            172 37657at50557         -            403   9.7e-09   33.4   0.2   2   2   2.2e-07   4.2e-05   21.5   0.1    44   114    87   159    60   162 0.80 -
102616at50557_197043_0:0010e9|STRG.14424.1:270-515|+  -             82 37657at50557         -            403   4.4e-07   28.0   0.1   1   1   3.8e-09   7.2e-07   27.3   0.1     2    93     1    81     1    82 0.81 -
35377at50557_103372_0:001618|STRG.9369.2:0-1671|+     -            530 37657at50557         -            403   1.1e-06   26.7   0.3   1   1   2.1e-08     4e-06   24.8   0.3    80   210   145   292   139   296 0.72 -
35377at50557_103372_0:001618|STRG.9369.3:0-1589|+     -            530 37657at50557         -            403   1.1e-06   26.7   0.3   1   1   2.1e-08     4e-06   24.8   0.3    80   210   145   292   139   296 0.72 -
35377at50557_103372_0:001618|STRG.9369.1:412-2016|+   -            535 37657at50557         -            403   1.1e-06   26.7   0.3   1   1   2.2e-08   4.1e-06   24.8   0.3    80   210   150   297   144   301 0.72 -
45452at50557_45779_0:0017c6|STRG.3236.1:733-1467|+    -            245 37657at50557         -            403   6.6e-06   24.1   0.1   1   1   5.2e-08   9.8e-06   23.5   0.1   138   211    22    95     8   102 0.93 -
45452at50557_45779_0:0017c6|STRG.3236.2:605-1339|+    -            245 37657at50557         -            403   6.6e-06   24.1   0.1   1   1   5.2e-08   9.8e-06   23.5   0.1   138   211    22    95     8   102 0.93 -
110125at50557_103372_0:000b46|STRG.12532.1:264-992|+  -            243 37657at50557         -            403   7.1e-05   20.7   0.0   1   1   5.9e-07   0.00011   20.1   0.0    45    94    44    93    13   103 0.79 -
110125at50557_74873_0:001c94|STRG.19126.1:2759-3298|+ -            180 37657at50557         -            403   9.3e-05   20.3   0.0   1   1   6.2e-07   0.00012   20.0   0.0    43   101     5    59     2    85 0.86 -
110125at50557_74873_0:001c94|STRG.19126.2:2329-2868|+ -            180 37657at50557         -            403   9.3e-05   20.3   0.0   1   1   6.2e-07   0.00012   20.0   0.0    43   101     5    59     2    85 0.86 -
110125at50557_7539_0:00092e|STRG.5096.1:2470-2733|+   -             88 37657at50557         -            403    0.0001   20.2   0.4   1   1   6.7e-07   0.00013   19.9   0.4    54    93    31    70     1    72 0.83 -
110125at50557_7539_0:00092e|STRG.5096.2:2585-2848|+   -             88 37657at50557         -            403    0.0001   20.2   0.4   1   1   6.7e-07   0.00013   19.9   0.4    54    93    31    70     1    72 0.83 -
110125at50557_7539_0:00092e|STRG.5096.3:2665-2928|+   -             88 37657at50557         -            403    0.0001   20.2   0.4   1   1   6.7e-07   0.00013   19.9   0.4    54    93    31    70     1    72 0.83 -
110125at50557_7539_0:00092e|STRG.5096.4:2582-2845|+   -             88 37657at50557         -            403    0.0001   20.2   0.4   1   1   6.7e-07   0.00013   19.9   0.4    54    93    31    70     1    72 0.83 -
110125at50557_7539_0:00092e|STRG.5096.5:2662-2925|+   -             88 37657at50557         -            403    0.0001   20.2   0.4   1   1   6.7e-07   0.00013   19.9   0.4    54    93    31    70     1    72 0.83 -
10394at50557_52612_0:0049a4|STRG.1271.1:952-1914|+    -            321 37657at50557         -            403    0.0002   19.2   0.1   1   2    0.0016       0.3    8.8   0.1     5    92    10    89     7    91 0.76 -
10394at50557_52612_0:0049a4|STRG.1271.1:952-1914|+    -            321 37657at50557         -            403    0.0002   19.2   0.1   2   2    0.0025      0.47    8.1   0.0    22    83   221   283   200   285 0.87 -
132744at50557_319348_0:00228b|STRG.7902.1:472-648|+   -             59 37657at50557         -            403   0.00028   18.8   0.0   1   1   1.5e-06   0.00029   18.7   0.0    42    96     4    57     2    59 0.88 -
37657at50557_76194_0:0021a4|STRG.5096.1:2770-3006|+   -             79 37657at50557         -            403    0.0004   18.2   0.0   1   1   2.3e-06   0.00043   18.1   0.0    35    92    21    78     1    79 0.75 -
37657at50557_76194_0:0021a4|STRG.5096.2:2885-3121|+   -             79 37657at50557         -            403    0.0004   18.2   0.0   1   1   2.3e-06   0.00043   18.1   0.0    35    92    21    78     1    79 0.75 -
37657at50557_76194_0:0021a4|STRG.5096.3:2965-3201|+   -             79 37657at50557         -            403    0.0004   18.2   0.0   1   1   2.3e-06   0.00043   18.1   0.0    35    92    21    78     1    79 0.75 -
37657at50557_76194_0:0021a4|STRG.5096.4:2882-3118|+   -             79 37657at50557         -            403    0.0004   18.2   0.0   1   1   2.3e-06   0.00043   18.1   0.0    35    92    21    78     1    79 0.75 -
37657at50557_76194_0:0021a4|STRG.5096.5:2962-3198|+   -             79 37657at50557         -            403    0.0004   18.2   0.0   1   1   2.3e-06   0.00043   18.1   0.0    35    92    21    78     1    79 0.75 -
110125at50557_7539_0:00092e|STRG.10317.1:537-893|+    -            119 37657at50557         -            403   0.00081   17.2   0.0   1   1   5.3e-06     0.001   16.9   0.0    42    93    14    65     6    78 0.91 -
37657at50557_76194_0:0021a4|STRG.2132.1:177-446|+     -             90 37657at50557         -            403    0.0021   15.8   0.0   1   1   1.1e-05    0.0021   15.8   0.0    12    84    20    90     6    90 0.71 -
