#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
46514at50557_103372_0:001411|STRG.6283.1:358-1875|+ -            506 46514at50557         -            440  3.4e-251  832.4  20.7   1   1  1.1e-253  1.6e-250  830.2  20.7     1   440     1   490     1   490 0.93 -
45670at50557_411798_0:002029|STRG.5921.1:1-1602|+   -            534 46514at50557         -            440   1.4e-13   49.3   0.9   1   2   8.6e-09   1.3e-05   23.1   0.0    93   141   317   365   240   371 0.91 -
45670at50557_411798_0:002029|STRG.5921.1:1-1602|+   -            534 46514at50557         -            440   1.4e-13   49.3   0.9   2   2   2.9e-09   4.3e-06   24.6   0.2   160   265   410   532   404   534 0.76 -
45670at50557_79782_0:002e55|STRG.5921.4:100-1934|+  -            607 46514at50557         -            440   1.8e-13   48.9   0.6   1   2   1.1e-08   1.6e-05   22.7   0.0    93   141   390   438   351   444 0.89 -
45670at50557_79782_0:002e55|STRG.5921.4:100-1934|+  -            607 46514at50557         -            440   1.8e-13   48.9   0.6   2   2   3.6e-09   5.3e-06   24.3   0.2   160   265   483   605   477   607 0.76 -
45670at50557_411798_0:002029|STRG.5921.5:0-1838|+   -            613 46514at50557         -            440   1.9e-13   48.9   0.6   1   2   1.1e-08   1.7e-05   22.7   0.0    93   141   396   444   358   450 0.89 -
45670at50557_411798_0:002029|STRG.5921.5:0-1838|+   -            613 46514at50557         -            440   1.9e-13   48.9   0.6   2   2   3.7e-09   5.4e-06   24.3   0.2   160   265   489   611   483   613 0.76 -
45670at50557_411798_0:002029|STRG.5921.2:0-1880|+   -            627 46514at50557         -            440   1.9e-13   48.9   0.6   1   2   1.2e-08   1.7e-05   22.6   0.0    93   141   410   458   373   464 0.89 -
45670at50557_411798_0:002029|STRG.5921.2:0-1880|+   -            627 46514at50557         -            440   1.9e-13   48.9   0.6   2   2   3.8e-09   5.6e-06   24.3   0.2   160   265   503   625   497   627 0.76 -
45670at50557_411798_0:002029|STRG.5921.3:1-1740|+   -            442 46514at50557         -            440   1.9e-13   48.9   2.2   1   2   8.7e-09   1.3e-05   23.1   0.1    93   141   225   273   208   279 0.88 -
45670at50557_411798_0:002029|STRG.5921.3:1-1740|+   -            442 46514at50557         -            440   1.9e-13   48.9   2.2   2   2   2.1e-09     3e-06   25.1   0.2   160   265   318   440   312   442 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/46514at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/46514at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/46514at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:27:01 2024
# [ok]
