#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
15589at50557_456900_0:000a2c|STRG.6125.1:34-2562|+    -            843 15589at50557         -            716         0 1359.1  30.7   1   1         0         0 1356.5  30.7     1   677    17   745    17   835 0.91 -
30983at50557_103372_0:001d08|STRG.1041.1:129-1802|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   1   5   1.2e-06    0.0017   15.9   4.5   342   445    76   167    50   172 0.57 -
30983at50557_103372_0:001d08|STRG.1041.1:129-1802|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   2   5   5.6e-09   8.3e-06   23.5   4.0   488   593   173   276   152   279 0.83 -
30983at50557_103372_0:001d08|STRG.1041.1:129-1802|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   3   5    0.0013       1.8    5.9   0.2   528   570   247   289   239   309 0.68 -
30983at50557_103372_0:001d08|STRG.1041.1:129-1802|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   4   5   1.6e-05     0.023   12.1   0.2    30    69   312   353   305   368 0.81 -
30983at50557_103372_0:001d08|STRG.1041.1:129-1802|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   5   5   2.4e-13   3.6e-10   38.0   4.3   494   652   370   533   359   553 0.76 -
30983at50557_103372_0:001d08|STRG.1041.2:209-1882|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   1   5   1.2e-06    0.0017   15.9   4.5   342   445    76   167    50   172 0.57 -
30983at50557_103372_0:001d08|STRG.1041.2:209-1882|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   2   5   5.6e-09   8.3e-06   23.5   4.0   488   593   173   276   152   279 0.83 -
30983at50557_103372_0:001d08|STRG.1041.2:209-1882|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   3   5    0.0013       1.8    5.9   0.2   528   570   247   289   239   309 0.68 -
30983at50557_103372_0:001d08|STRG.1041.2:209-1882|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   4   5   1.6e-05     0.023   12.1   0.2    30    69   312   353   305   368 0.81 -
30983at50557_103372_0:001d08|STRG.1041.2:209-1882|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   5   5   2.4e-13   3.6e-10   38.0   4.3   494   652   370   533   359   553 0.76 -
30983at50557_103372_0:001d08|STRG.1041.3:121-1794|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   1   5   1.2e-06    0.0017   15.9   4.5   342   445    76   167    50   172 0.57 -
30983at50557_103372_0:001d08|STRG.1041.3:121-1794|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   2   5   5.6e-09   8.3e-06   23.5   4.0   488   593   173   276   152   279 0.83 -
30983at50557_103372_0:001d08|STRG.1041.3:121-1794|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   3   5    0.0013       1.8    5.9   0.2   528   570   247   289   239   309 0.68 -
30983at50557_103372_0:001d08|STRG.1041.3:121-1794|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   4   5   1.6e-05     0.023   12.1   0.2    30    69   312   353   305   368 0.81 -
30983at50557_103372_0:001d08|STRG.1041.3:121-1794|+   -            558 15589at50557         -            716   2.8e-23   81.3  32.8   5   5   2.4e-13   3.6e-10   38.0   4.3   494   652   370   533   359   553 0.76 -
15852at50557_103372_0:0023aa|STRG.8306.1:242-3040|+   -            933 15589at50557         -            716   1.7e-06   25.8   8.4   1   5       0.8   1.2e+03   -3.4   0.0   344   378   302   336   286   341 0.88 -
15852at50557_103372_0:0023aa|STRG.8306.1:242-3040|+   -            933 15589at50557         -            716   1.7e-06   25.8   8.4   2   5    0.0005      0.73    7.2   0.1    10    55   358   407   351   429 0.80 -
15852at50557_103372_0:0023aa|STRG.8306.1:242-3040|+   -            933 15589at50557         -            716   1.7e-06   25.8   8.4   3   5   7.6e-05      0.11    9.9   1.4   511   652   437   588   423   595 0.77 -
15852at50557_103372_0:0023aa|STRG.8306.1:242-3040|+   -            933 15589at50557         -            716   1.7e-06   25.8   8.4   4   5   0.00089       1.3    6.4   0.0   511   555   716   761   703   776 0.85 -
15852at50557_103372_0:0023aa|STRG.8306.1:242-3040|+   -            933 15589at50557         -            716   1.7e-06   25.8   8.4   5   5     0.079   1.2e+02   -0.1   0.0    28    95   788   861   762   906 0.74 -
30983at50557_121845_0:001942|STRG.14958.1:3793-4248|+ -            152 15589at50557         -            716   9.2e-06   23.4   0.2   1   2   3.8e-05     0.055   10.9   0.0   582   619    38    80    28    84 0.81 -
30983at50557_121845_0:001942|STRG.14958.1:3793-4248|+ -            152 15589at50557         -            716   9.2e-06   23.4   0.2   2   2   4.3e-05     0.063   10.7   0.1   486   547    84   146    81   151 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/15589at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/15589at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/15589at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
