#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
96248at50557_34720_0:0011e8|STRG.12038.1:0-1019|+    -            340 96248at50557         -            262    3e-111  370.1  16.7   1   1  2.9e-113  3.4e-110  366.7  16.7     2   256     8   314     7   319 0.87 -
117917at50557_520822_0:0012a4|STRG.1780.2:0-614|+    -            205 96248at50557         -            262   8.2e-15   54.1   1.4   1   2     1e-17   1.2e-14   53.6   0.3   168   251     5    90     3    97 0.94 -
117917at50557_520822_0:0012a4|STRG.1780.2:0-614|+    -            205 96248at50557         -            262   8.2e-15   54.1   1.4   2   2      0.62   7.2e+02   -1.5   0.0   141   157   113   128   109   154 0.61 -
117917at50557_520822_0:0012a4|STRG.1780.1:145-807|+  -            221 96248at50557         -            262   8.2e-15   54.1   1.7   1   2   7.7e-18   8.9e-15   54.0   0.3   168   251    21   106     8   113 0.92 -
117917at50557_520822_0:0012a4|STRG.1780.1:145-807|+  -            221 96248at50557         -            262   8.2e-15   54.1   1.7   2   2      0.71   8.2e+02   -1.6   0.0   141   157   129   144   125   169 0.61 -
117917at50557_197043_0:0036b7|STRG.1792.1:531-917|+  -            129 96248at50557         -            262    0.0015   17.2   0.0   1   1   1.5e-06    0.0017   16.9   0.0   173   251     1    84     1    95 0.85 -
117917at50557_197043_0:0036b7|STRG.1792.2:589-1017|+ -            143 96248at50557         -            262    0.0019   16.8   0.0   1   1     2e-06    0.0024   16.5   0.0   173   251     1    84     1    95 0.85 -
112481at50557_103372_0:001a2c|STRG.23452.1:183-863|+ -            227 96248at50557         -            262     0.012   14.2   1.8   1   1   1.5e-05     0.018   13.6   1.7   161   255    64   166    44   172 0.75 -
117917at50557_7375_0:002fdb|STRG.12698.2:48-329|+    -             94 96248at50557         -            262     0.042   12.4   0.2   1   1   3.9e-05     0.045   12.3   0.2   173   255     1    85     1    91 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/96248at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/96248at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/96248at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:20:44 2024
# [ok]
