#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 4137at50557          -           1387         0 1506.0  93.9   1   1         0         0 1500.9  93.9     2   796     2   864     1   864 0.94 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 4137at50557          -           1387         0 1505.0  91.4   1   2   0.00046      0.42    6.8   0.1  1277  1300     2    25     1    27 0.62 -
4137at50557_13686_0:001c08|STRG.18408.1:1-2628|+     -            876 4137at50557          -           1387         0 1505.0  91.4   2   2         0         0 1501.3  87.8    13   796    26   876    25   876 0.95 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 4137at50557          -           1387         0 1496.3  93.1   1   2   0.00077      0.71    6.1   0.1  1277  1301     1    25     1    26 0.76 -
4137at50557_7165_0:000696|STRG.18408.3:4-2696|+      -            867 4137at50557          -           1387         0 1496.3  93.1   2   2         0         0 1493.4  89.6    13   796    25   867    24   867 0.95 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 4137at50557          -           1387         0 1491.7  92.1   1   2   0.00078      0.72    6.1   0.1  1277  1301     1    25     1    26 0.76 -
4137at50557_7165_0:000696|STRG.18408.4:4-2691|+      -            873 4137at50557          -           1387         0 1491.7  92.1   2   2         0         0 1489.4  88.0    13   796    25   873    23   873 0.94 -
4137at50557_7375_0:001239|STRG.18407.1:2-2296|+      -            765 4137at50557          -           1387         0 1082.4  56.7   1   4   3.2e-33     3e-30  103.4   0.3   814   866     9    61     6    64 0.97 -
4137at50557_7375_0:001239|STRG.18407.1:2-2296|+      -            765 4137at50557          -           1387         0 1082.4  56.7   2   4   1.5e-17   1.4e-14   51.5   2.8   289   372    64   147    61   149 0.97 -
4137at50557_7375_0:001239|STRG.18407.1:2-2296|+      -            765 4137at50557          -           1387         0 1082.4  56.7   3   4   4.3e-45     4e-42  142.8   4.0    21   162   114   253   114   253 0.98 -
4137at50557_7375_0:001239|STRG.18407.1:2-2296|+      -            765 4137at50557          -           1387         0 1082.4  56.7   4   4  2.6e-251  2.4e-248  826.1  28.3   873  1386   154   748   154   749 0.90 -
