#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
41512at50557_103372_0:001cf0|STRG.14898.1:478-3165|+  -            896 41512at50557         -            666  1.7e-258  858.5   3.8   1   1    1e-258  5.4e-256  850.2   3.8     1   666    13   889    13   890 0.85 -
22300at50557_307491_0:00371e|STRG.16020.1:547-4704|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   1   5   4.7e-05     0.024   12.0   0.0   511   577    22    94     4   105 0.71 -
22300at50557_307491_0:00371e|STRG.16020.1:547-4704|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   2   5      0.28   1.4e+02   -0.4   0.0   519   585   303   379   278   405 0.70 -
22300at50557_307491_0:00371e|STRG.16020.1:547-4704|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   3   5   2.7e-11   1.4e-08   32.7   0.1   501   579   481   564   461   601 0.79 -
22300at50557_307491_0:00371e|STRG.16020.1:547-4704|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   4   5   6.6e-10   3.4e-07   28.1   0.0   498   577   917  1004   893  1013 0.80 -
22300at50557_307491_0:00371e|STRG.16020.1:547-4704|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   5   5   7.8e-10   4.1e-07   27.8   0.9   486   597  1123  1245  1070  1256 0.76 -
22300at50557_307491_0:00371e|STRG.16020.2:256-4413|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   1   5   4.7e-05     0.024   12.0   0.0   511   577    22    94     4   105 0.71 -
22300at50557_307491_0:00371e|STRG.16020.2:256-4413|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   2   5      0.28   1.4e+02   -0.4   0.0   519   585   303   379   278   405 0.70 -
22300at50557_307491_0:00371e|STRG.16020.2:256-4413|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   3   5   2.7e-11   1.4e-08   32.7   0.1   501   579   481   564   461   601 0.79 -
22300at50557_307491_0:00371e|STRG.16020.2:256-4413|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   4   5   6.6e-10   3.4e-07   28.1   0.0   498   577   917  1004   893  1013 0.80 -
22300at50557_307491_0:00371e|STRG.16020.2:256-4413|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   5   5   7.8e-10   4.1e-07   27.8   0.9   486   597  1123  1245  1070  1256 0.76 -
22300at50557_307491_0:00371e|STRG.16020.3:256-4413|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   1   5   4.7e-05     0.024   12.0   0.0   511   577    22    94     4   105 0.71 -
22300at50557_307491_0:00371e|STRG.16020.3:256-4413|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   2   5      0.28   1.4e+02   -0.4   0.0   519   585   303   379   278   405 0.70 -
22300at50557_307491_0:00371e|STRG.16020.3:256-4413|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   3   5   2.7e-11   1.4e-08   32.7   0.1   501   579   481   564   461   601 0.79 -
22300at50557_307491_0:00371e|STRG.16020.3:256-4413|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   4   5   6.6e-10   3.4e-07   28.1   0.0   498   577   917  1004   893  1013 0.80 -
22300at50557_307491_0:00371e|STRG.16020.3:256-4413|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   5   5   7.8e-10   4.1e-07   27.8   0.9   486   597  1123  1245  1070  1256 0.76 -
22300at50557_307491_0:00371e|STRG.16020.4:382-4539|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   1   5   4.7e-05     0.024   12.0   0.0   511   577    22    94     4   105 0.71 -
22300at50557_307491_0:00371e|STRG.16020.4:382-4539|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   2   5      0.28   1.4e+02   -0.4   0.0   519   585   303   379   278   405 0.70 -
22300at50557_307491_0:00371e|STRG.16020.4:382-4539|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   3   5   2.7e-11   1.4e-08   32.7   0.1   501   579   481   564   461   601 0.79 -
22300at50557_307491_0:00371e|STRG.16020.4:382-4539|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   4   5   6.6e-10   3.4e-07   28.1   0.0   498   577   917  1004   893  1013 0.80 -
22300at50557_307491_0:00371e|STRG.16020.4:382-4539|+  -           1386 41512at50557         -            666   3.7e-30  104.0   6.2   5   5   7.8e-10   4.1e-07   27.8   0.9   486   597  1123  1245  1070  1256 0.76 -
41512at50557_197043_0:001935|STRG.16020.1:6067-6615|+ -            183 41512at50557         -            666   8.9e-13   46.5   0.0   1   1   1.8e-15   9.3e-13   46.5   0.0   504   587    19   106     6   165 0.81 -
41512at50557_197043_0:001935|STRG.16020.2:5776-6324|+ -            183 41512at50557         -            666   8.9e-13   46.5   0.0   1   1   1.8e-15   9.3e-13   46.5   0.0   504   587    19   106     6   165 0.81 -
41512at50557_197043_0:001935|STRG.16020.3:5776-6324|+ -            183 41512at50557         -            666   8.9e-13   46.5   0.0   1   1   1.8e-15   9.3e-13   46.5   0.0   504   587    19   106     6   165 0.81 -
41512at50557_197043_0:001935|STRG.16020.4:5902-6450|+ -            183 41512at50557         -            666   8.9e-13   46.5   0.0   1   1   1.8e-15   9.3e-13   46.5   0.0   504   587    19   106     6   165 0.81 -
41512at50557_38123_0:00008c|STRG.16020.1:5089-5469|+  -            127 41512at50557         -            666   8.9e-08   30.0   0.1   1   1   1.7e-10   8.9e-08   30.0   0.1   544   598     1    61     1   121 0.76 -
41512at50557_38123_0:00008c|STRG.16020.2:4798-5178|+  -            127 41512at50557         -            666   8.9e-08   30.0   0.1   1   1   1.7e-10   8.9e-08   30.0   0.1   544   598     1    61     1   121 0.76 -
41512at50557_38123_0:00008c|STRG.16020.3:4798-5178|+  -            127 41512at50557         -            666   8.9e-08   30.0   0.1   1   1   1.7e-10   8.9e-08   30.0   0.1   544   598     1    61     1   121 0.76 -
41512at50557_38123_0:00008c|STRG.16020.4:4924-5304|+  -            127 41512at50557         -            666   8.9e-08   30.0   0.1   1   1   1.7e-10   8.9e-08   30.0   0.1   544   598     1    61     1   121 0.76 -
41512at50557_38123_0:00008c|STRG.8145.1:1082-1462|+   -            127 41512at50557         -            666   2.7e-06   25.1   0.0   1   1   5.6e-09   2.9e-06   25.0   0.0   542   576     3    43     2    97 0.84 -
41512at50557_38123_0:00008c|STRG.8145.2:1210-1590|+   -            127 41512at50557         -            666   2.7e-06   25.1   0.0   1   1   5.6e-09   2.9e-06   25.0   0.0   542   576     3    43     2    97 0.84 -
41512at50557_38123_0:00008c|STRG.8145.3:1300-1680|+   -            127 41512at50557         -            666   2.7e-06   25.1   0.0   1   1   5.6e-09   2.9e-06   25.0   0.0   542   576     3    43     2    97 0.84 -
41512at50557_38123_0:00008c|STRG.8145.4:1300-1680|+   -            127 41512at50557         -            666   2.7e-06   25.1   0.0   1   1   5.6e-09   2.9e-06   25.0   0.0   542   576     3    43     2    97 0.84 -
41512at50557_38123_0:00008c|STRG.8145.5:1300-1680|+   -            127 41512at50557         -            666   2.7e-06   25.1   0.0   1   1   5.6e-09   2.9e-06   25.0   0.0   542   576     3    43     2    97 0.84 -
41512at50557_38123_0:00008c|STRG.8145.6:1092-1472|+   -            127 41512at50557         -            666   2.7e-06   25.1   0.0   1   1   5.6e-09   2.9e-06   25.0   0.0   542   576     3    43     2    97 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/41512at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/41512at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/41512at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:09:25 2024
# [ok]
