#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76908at50557_222816_0:000324|STRG.11030.1:19-639|+   -            207 76908at50557         -            265    3e-116  386.1   0.3   1   1  8.4e-119  3.7e-116  385.8   0.3     1   192     8   202     8   205 0.98 -
76908at50557_103372_0:001521|STRG.11030.3:19-642|+   -            208 76908at50557         -            265  4.6e-115  382.3   0.3   1   1  1.3e-117  5.6e-115  382.0   0.3     1   192     8   203     8   206 0.98 -
76908at50557_103372_0:001521|STRG.11030.2:19-636|+   -            206 76908at50557         -            265    1e-114  381.1   0.2   1   1  2.9e-117  1.3e-114  380.8   0.2     1   192     8   201     8   204 0.98 -
76908at50557_51655_0:002d7a|STRG.16950.1:640-1281|+  -            214 76908at50557         -            265   8.1e-29   99.5   0.6   1   1   2.1e-31   9.3e-29   99.3   0.6     9   179     3   170     1   183 0.80 -
76908at50557_51655_0:002d7a|STRG.16950.2:662-1303|+  -            214 76908at50557         -            265   8.1e-29   99.5   0.6   1   1   2.1e-31   9.3e-29   99.3   0.6     9   179     3   170     1   183 0.80 -
76908at50557_51655_0:002d7a|STRG.16950.3:640-1281|+  -            214 76908at50557         -            265   8.1e-29   99.5   0.6   1   1   2.1e-31   9.3e-29   99.3   0.6     9   179     3   170     1   183 0.80 -
76908at50557_51655_0:002d7a|STRG.16950.4:640-1281|+  -            214 76908at50557         -            265   8.1e-29   99.5   0.6   1   1   2.1e-31   9.3e-29   99.3   0.6     9   179     3   170     1   183 0.80 -
76908at50557_51655_0:002d7a|STRG.16950.5:640-1281|+  -            214 76908at50557         -            265   8.1e-29   99.5   0.6   1   1   2.1e-31   9.3e-29   99.3   0.6     9   179     3   170     1   183 0.80 -
87181at50557_456900_0:001ac2|STRG.10894.1:200-2053|+ -            618 76908at50557         -            265   1.6e-21   75.6   0.0   1   1   5.5e-24   2.4e-21   75.0   0.0    58   189   198   325   162   343 0.80 -
6416at50557_123851_0:000464|STRG.16385.2:1518-2633|+ -            372 76908at50557         -            265     1e-05   23.8   3.4   1   3    0.0074       3.3    5.8   0.1    78   111     5    38     2    53 0.84 -
6416at50557_123851_0:000464|STRG.16385.2:1518-2633|+ -            372 76908at50557         -            265     1e-05   23.8   3.4   2   3   2.1e-05     0.009   14.1   0.1    52   106    59   113    53   125 0.86 -
6416at50557_123851_0:000464|STRG.16385.2:1518-2633|+ -            372 76908at50557         -            265     1e-05   23.8   3.4   3   3     0.045        20    3.2   0.0    66   109   297   340   262   351 0.76 -
6416at50557_113334_0:00380e|STRG.5400.1:342-1445|+   -            368 76908at50557         -            265     0.011   13.9   6.9   1   4     0.075        33    2.5   0.1    85   105     2    22     1    33 0.78 -
6416at50557_113334_0:00380e|STRG.5400.1:342-1445|+   -            368 76908at50557         -            265     0.011   13.9   6.9   2   4   0.00068       0.3    9.2   0.0    81   126    92   137    88   153 0.86 -
6416at50557_113334_0:00380e|STRG.5400.1:342-1445|+   -            368 76908at50557         -            265     0.011   13.9   6.9   3   4       2.4   1.1e+03   -2.5   0.1    81   105   196   220   192   225 0.86 -
6416at50557_113334_0:00380e|STRG.5400.1:342-1445|+   -            368 76908at50557         -            265     0.011   13.9   6.9   4   4     0.019       8.2    4.4   0.1    81   125   318   362   297   368 0.80 -
6416at50557_113334_0:00380e|STRG.5400.2:342-1445|+   -            368 76908at50557         -            265     0.011   13.9   6.9   1   4     0.075        33    2.5   0.1    85   105     2    22     1    33 0.78 -
6416at50557_113334_0:00380e|STRG.5400.2:342-1445|+   -            368 76908at50557         -            265     0.011   13.9   6.9   2   4   0.00068       0.3    9.2   0.0    81   126    92   137    88   153 0.86 -
6416at50557_113334_0:00380e|STRG.5400.2:342-1445|+   -            368 76908at50557         -            265     0.011   13.9   6.9   3   4       2.4   1.1e+03   -2.5   0.1    81   105   196   220   192   225 0.86 -
6416at50557_113334_0:00380e|STRG.5400.2:342-1445|+   -            368 76908at50557         -            265     0.011   13.9   6.9   4   4     0.019       8.2    4.4   0.1    81   125   318   362   297   368 0.80 -
6416at50557_113334_0:00380e|STRG.5400.3:276-1379|+   -            368 76908at50557         -            265     0.011   13.9   6.9   1   4     0.075        33    2.5   0.1    85   105     2    22     1    33 0.78 -
6416at50557_113334_0:00380e|STRG.5400.3:276-1379|+   -            368 76908at50557         -            265     0.011   13.9   6.9   2   4   0.00068       0.3    9.2   0.0    81   126    92   137    88   153 0.86 -
6416at50557_113334_0:00380e|STRG.5400.3:276-1379|+   -            368 76908at50557         -            265     0.011   13.9   6.9   3   4       2.4   1.1e+03   -2.5   0.1    81   105   196   220   192   225 0.86 -
6416at50557_113334_0:00380e|STRG.5400.3:276-1379|+   -            368 76908at50557         -            265     0.011   13.9   6.9   4   4     0.019       8.2    4.4   0.1    81   125   318   362   297   368 0.80 -
6416at50557_113334_0:00380e|STRG.5400.4:342-1445|+   -            368 76908at50557         -            265     0.011   13.9   6.9   1   4     0.075        33    2.5   0.1    85   105     2    22     1    33 0.78 -
6416at50557_113334_0:00380e|STRG.5400.4:342-1445|+   -            368 76908at50557         -            265     0.011   13.9   6.9   2   4   0.00068       0.3    9.2   0.0    81   126    92   137    88   153 0.86 -
6416at50557_113334_0:00380e|STRG.5400.4:342-1445|+   -            368 76908at50557         -            265     0.011   13.9   6.9   3   4       2.4   1.1e+03   -2.5   0.1    81   105   196   220   192   225 0.86 -
6416at50557_113334_0:00380e|STRG.5400.4:342-1445|+   -            368 76908at50557         -            265     0.011   13.9   6.9   4   4     0.019       8.2    4.4   0.1    81   125   318   362   297   368 0.80 -
6416at50557_113334_0:00380e|STRG.5400.5:552-1655|+   -            368 76908at50557         -            265     0.011   13.9   6.9   1   4     0.075        33    2.5   0.1    85   105     2    22     1    33 0.78 -
6416at50557_113334_0:00380e|STRG.5400.5:552-1655|+   -            368 76908at50557         -            265     0.011   13.9   6.9   2   4   0.00068       0.3    9.2   0.0    81   126    92   137    88   153 0.86 -
6416at50557_113334_0:00380e|STRG.5400.5:552-1655|+   -            368 76908at50557         -            265     0.011   13.9   6.9   3   4       2.4   1.1e+03   -2.5   0.1    81   105   196   220   192   225 0.86 -
