#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89456at50557_103372_0:00196d|STRG.10482.1:309-1316|+  -            336 89456at50557         -            230   1.1e-72  243.0   3.8   1   1   1.3e-73   2.8e-71  238.3   3.8     1   225    49   325    49   333 0.84 -
89456at50557_67767_0:00055e|STRG.3237.2:1165-1677|+   -            171 89456at50557         -            230   9.3e-13   46.9   0.2   1   2   5.3e-13   1.1e-10   40.1   0.1     4    92     5    99     2   112 0.85 -
89456at50557_67767_0:00055e|STRG.3237.2:1165-1677|+   -            171 89456at50557         -            230   9.3e-13   46.9   0.2   2   2     0.022       4.8    5.3   0.0   100   146   128   169   115   171 0.83 -
89456at50557_67767_0:00055e|STRG.3237.3:830-1342|+    -            171 89456at50557         -            230   9.3e-13   46.9   0.2   1   2   5.3e-13   1.1e-10   40.1   0.1     4    92     5    99     2   112 0.85 -
89456at50557_67767_0:00055e|STRG.3237.3:830-1342|+    -            171 89456at50557         -            230   9.3e-13   46.9   0.2   2   2     0.022       4.8    5.3   0.0   100   146   128   169   115   171 0.83 -
89456at50557_516756_0:00105d|STRG.6062.1:790-1308|+   -            173 89456at50557         -            230   7.5e-11   40.7   0.0   1   1   7.5e-12   1.6e-09   36.3   0.0     3   142     4   160     2   169 0.75 -
36185at50557_77166_0:001a90|STRG.1281.1:547-1593|+    -            349 89456at50557         -            230   2.2e-09   35.8   0.9   1   2     0.088        19    3.3   0.1    94   109    35    52     4    55 0.69 -
36185at50557_77166_0:001a90|STRG.1281.1:547-1593|+    -            349 89456at50557         -            230   2.2e-09   35.8   0.9   2   2   3.1e-10   6.7e-08   31.0   0.1     3    63   175   232   173   245 0.84 -
36185at50557_77166_0:001a90|STRG.1281.2:1424-2470|+   -            349 89456at50557         -            230   2.2e-09   35.8   0.9   1   2     0.088        19    3.3   0.1    94   109    35    52     4    55 0.69 -
36185at50557_77166_0:001a90|STRG.1281.2:1424-2470|+   -            349 89456at50557         -            230   2.2e-09   35.8   0.9   2   2   3.1e-10   6.7e-08   31.0   0.1     3    63   175   232   173   245 0.84 -
36185at50557_56086_0:003183|STRG.4928.1:500-1564|+    -            355 89456at50557         -            230   3.9e-09   35.0   1.0   1   2      0.53   1.1e+02    0.8   0.0    99   111    42    54     3    66 0.69 -
36185at50557_56086_0:003183|STRG.4928.1:500-1564|+    -            355 89456at50557         -            230   3.9e-09   35.0   1.0   2   2   9.7e-11   2.1e-08   32.7   0.2     2    82   126   203   125   230 0.83 -
36185at50557_56086_0:003183|STRG.4928.2:500-1564|+    -            355 89456at50557         -            230   3.9e-09   35.0   1.0   1   2      0.53   1.1e+02    0.8   0.0    99   111    42    54     3    66 0.69 -
36185at50557_56086_0:003183|STRG.4928.2:500-1564|+    -            355 89456at50557         -            230   3.9e-09   35.0   1.0   2   2   9.7e-11   2.1e-08   32.7   0.2     2    82   126   203   125   230 0.83 -
36185at50557_34720_0:000ec6|STRG.8610.1:159-2342|+    -            728 89456at50557         -            230   1.2e-07   30.2   0.1   1   2       1.2   2.7e+02   -0.4   0.0    99   110   257   268   248   273 0.88 -
36185at50557_34720_0:000ec6|STRG.8610.1:159-2342|+    -            728 89456at50557         -            230   1.2e-07   30.2   0.1   2   2   4.9e-09   1.1e-06   27.1   0.0     3    73   319   385   317   414 0.78 -
89456at50557_7536_0:0022e4|STRG.18935.1:599-1186|+    -            196 89456at50557         -            230     3e-07   28.9   0.1   1   2   1.6e-07   3.4e-05   22.1   0.0     4    67     3    66     1   119 0.79 -
89456at50557_7536_0:0022e4|STRG.18935.1:599-1186|+    -            196 89456at50557         -            230     3e-07   28.9   0.1   2   2     0.031       6.7    4.8   0.3    94   116   121   142    95   150 0.70 -
89456at50557_121225_0:0003b4|STRG.2355.1:631-1155|+   -            175 89456at50557         -            230   3.1e-07   28.8   0.1   1   1     4e-08   8.5e-06   24.1   0.1     7    73     1    67     1   167 0.65 -
89456at50557_121225_0:0003b4|STRG.2355.2:723-1247|+   -            175 89456at50557         -            230   3.1e-07   28.8   0.1   1   1     4e-08   8.5e-06   24.1   0.1     7    73     1    67     1   167 0.65 -
89456at50557_1155016_0:002743|STRG.6062.2:2202-2459|+ -             86 89456at50557         -            230     1e-06   27.1   0.0   1   1   5.2e-09   1.1e-06   27.0   0.0     3    65    22    84    20    86 0.87 -
89456at50557_1155016_0:002743|STRG.6062.3:1891-2148|+ -             86 89456at50557         -            230     1e-06   27.1   0.0   1   1   5.2e-09   1.1e-06   27.0   0.0     3    65    22    84    20    86 0.87 -
36185at50557_7004_0:0003d4|STRG.18901.2:1052-2236|+   -            395 89456at50557         -            230     2e-06   26.2   0.7   1   3       3.4   7.4e+02   -1.9   0.0    98   114    66    81    51   104 0.70 -
36185at50557_7004_0:0003d4|STRG.18901.2:1052-2236|+   -            395 89456at50557         -            230     2e-06   26.2   0.7   2   3       8.3   1.8e+03   -3.1   0.1   183   208   178   203   174   212 0.72 -
36185at50557_7004_0:0003d4|STRG.18901.2:1052-2236|+   -            395 89456at50557         -            230     2e-06   26.2   0.7   3   3     3e-08   6.4e-06   24.5   0.0     4    63   229   285   226   297 0.83 -
35377at50557_568069_0:0005b1|STRG.18901.1:137-2053|+  -            639 89456at50557         -            230   3.3e-06   25.5   0.1   1   2       8.2   1.8e+03   -3.1   0.0    99   114   202   216   190   229 0.68 -
35377at50557_568069_0:0005b1|STRG.18901.1:137-2053|+  -            639 89456at50557         -            230   3.3e-06   25.5   0.1   2   2     6e-08   1.3e-05   23.5   0.0     4    63   364   420   361   431 0.83 -
111718at50557_104421_0:001a2b|STRG.10871.1:240-1186|+ -            314 89456at50557         -            230   5.7e-06   24.7   0.1   1   2       1.4   2.9e+02   -0.6   0.0    70   109    36    82    26   112 0.66 -
111718at50557_104421_0:001a2b|STRG.10871.1:240-1186|+ -            314 89456at50557         -            230   5.7e-06   24.7   0.1   2   2   1.2e-07   2.6e-05   22.5   0.0     4    63   142   199   139   212 0.82 -
66657at50557_103372_0:00142d|STRG.18891.2:231-2410|+  -            703 89456at50557         -            230   0.00015   20.0   0.3   1   2      0.02       4.2    5.5   0.1    98   154   353   423   343   426 0.63 -
66657at50557_103372_0:00142d|STRG.18891.2:231-2410|+  -            703 89456at50557         -            230   0.00015   20.0   0.3   2   2   0.00016     0.035   12.3   0.0     4    30   424   450   420   462 0.88 -
66657at50557_103372_0:00142d|STRG.18891.1:402-2666|+  -            755 89456at50557         -            230   0.00019   19.7   0.3   1   2     0.022       4.6    5.3   0.1    98   154   353   423   343   426 0.63 -
66657at50557_103372_0:00142d|STRG.18891.1:402-2666|+  -            755 89456at50557         -            230   0.00019   19.7   0.3   2   2   0.00018     0.038   12.2   0.0     4    30   424   450   420   462 0.88 -
89456at50557_2015173_0:001860|STRG.14594.1:150-776|+  -            209 89456at50557         -            230   0.00099   17.4   0.1   1   1     1e-05    0.0022   16.2   0.1     3    27     9    33     7    38 0.88 -
