#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76755at50557_64793_0:0021c2|STRG.1353.1:0-959|+         -            320 76755at50557         -            264  2.8e-137  455.2   2.4   1   1  1.3e-138  4.1e-137  454.7   2.4     1   264    13   314    13   314 0.93 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 76755at50557         -            264   1.3e-30  105.5  12.6   1   8   1.3e-09   4.1e-08   31.8   0.0    67   209     6   165     2   174 0.73 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 76755at50557         -            264   1.3e-30  105.5  12.6   2   8       1.5        49    2.0   0.0    80   102   215   237   200   250 0.72 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 76755at50557         -            264   1.3e-30  105.5  12.6   3   8   4.4e-05    0.0014   16.9   0.1   177   243   252   324   243   325 0.73 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 76755at50557         -            264   1.3e-30  105.5  12.6   4   8   0.00023    0.0074   14.5   0.0   174   214   292   333   289   387 0.83 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 76755at50557         -            264   1.3e-30  105.5  12.6   5   8      0.24       7.7    4.7   0.0   217   249   381   412   369   426 0.77 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 76755at50557         -            264   1.3e-30  105.5  12.6   6   8   3.4e-09   1.1e-07   30.4   0.1   174   263   428   526   419   527 0.85 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 76755at50557         -            264   1.3e-30  105.5  12.6   7   8   1.2e-05   0.00039   18.7   0.1   184   248   481   550   481   557 0.84 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+     -            712 76755at50557         -            264   1.3e-30  105.5  12.6   8   8    0.0014     0.045   12.0   0.0   171   242   635   712   625   712 0.80 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+     -            756 76755at50557         -            264     2e-28   98.4   7.2   1   7      0.15       4.9    5.3   0.0   101   138    36    73    28    88 0.87 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+     -            756 76755at50557         -            264     2e-28   98.4   7.2   2   7   8.8e-05    0.0029   15.9   0.0    67   138    82   160    71   164 0.74 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+     -            756 76755at50557         -            264     2e-28   98.4   7.2   3   7   4.2e-07   1.4e-05   23.5   0.0     2    99    94   200    93   207 0.78 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+     -            756 76755at50557         -            264     2e-28   98.4   7.2   4   7      0.34        11    4.1   0.0    74   100   229   255   223   263 0.85 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+     -            756 76755at50557         -            264     2e-28   98.4   7.2   5   7      0.36        12    4.1   0.1    45   208   334   385   283   445 0.44 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+     -            756 76755at50557         -            264     2e-28   98.4   7.2   6   7   1.2e-11     4e-10   38.4   0.2   171   256   447   540   442   541 0.86 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+     -            756 76755at50557         -            264     2e-28   98.4   7.2   7   7   2.5e-06   8.1e-05   21.0   0.0   172   250   532   616   527   626 0.82 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+     -            767 76755at50557         -            264     2e-28   98.3   7.2   1   7      0.15         5    5.3   0.0   101   138    65   102    57   117 0.87 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+     -            767 76755at50557         -            264     2e-28   98.3   7.2   2   7     9e-05    0.0029   15.9   0.0    67   138   111   189   100   193 0.74 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+     -            767 76755at50557         -            264     2e-28   98.3   7.2   3   7   4.3e-07   1.4e-05   23.5   0.0     2    99   123   229   122   236 0.78 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+     -            767 76755at50557         -            264     2e-28   98.3   7.2   4   7      0.35        11    4.1   0.0    74   100   258   284   252   292 0.85 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+     -            767 76755at50557         -            264     2e-28   98.3   7.2   5   7      0.36        12    4.0   0.1    45   208   363   414   312   474 0.44 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+     -            767 76755at50557         -            264     2e-28   98.3   7.2   6   7   1.2e-11     4e-10   38.4   0.4   171   256   476   569   429   570 0.89 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+     -            767 76755at50557         -            264     2e-28   98.3   7.2   7   7   2.5e-06   8.2e-05   20.9   0.0   172   250   561   645   556   655 0.82 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+     -            776 76755at50557         -            264   3.1e-28   97.7   7.7   1   7      0.16       5.1    5.2   0.0   101   138    56    93    48   108 0.87 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+     -            776 76755at50557         -            264   3.1e-28   97.7   7.7   2   7   9.1e-05     0.003   15.8   0.0    67   138   102   180    91   184 0.74 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+     -            776 76755at50557         -            264   3.1e-28   97.7   7.7   3   7   4.4e-07   1.4e-05   23.4   0.0     2    99   114   220   113   227 0.78 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+     -            776 76755at50557         -            264   3.1e-28   97.7   7.7   4   7      0.36        12    4.1   0.0    74   100   249   275   243   283 0.85 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+     -            776 76755at50557         -            264   3.1e-28   97.7   7.7   5   7       0.4        13    3.9   0.2    44   207   353   404   303   463 0.44 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+     -            776 76755at50557         -            264   3.1e-28   97.7   7.7   6   7   1.3e-11   4.1e-10   38.3   0.4   171   256   467   560   420   561 0.89 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+     -            776 76755at50557         -            264   3.1e-28   97.7   7.7   7   7   2.6e-06   8.4e-05   20.9   0.0   172   250   552   636   547   646 0.82 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+        -            291 76755at50557         -            264   3.5e-25   87.7   2.1   1   4   4.2e-09   1.4e-07   30.1   0.3   174   247     2    80     1    86 0.86 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+        -            291 76755at50557         -            264   3.5e-25   87.7   2.1   2   4   9.1e-09   2.9e-07   29.0   0.0   172   244    84   161    80   163 0.85 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+        -            291 76755at50557         -            264   3.5e-25   87.7   2.1   3   4   1.5e-07   4.9e-06   25.0   0.0   173   255   127   218   123   226 0.82 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+        -            291 76755at50557         -            264   3.5e-25   87.7   2.1   4   4    0.0024     0.078   11.2   0.1    75   114   231   275   223   291 0.68 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+       -            289 76755at50557         -            264   4.5e-25   87.4   1.7   1   4   5.9e-09   1.9e-07   29.6   0.4   175   247     2    79     1    84 0.85 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+       -            289 76755at50557         -            264   4.5e-25   87.4   1.7   2   4   9.2e-09     3e-07   28.9   0.0   173   244    84   160    80   162 0.85 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+       -            289 76755at50557         -            264   4.5e-25   87.4   1.7   3   4   1.6e-07   5.2e-06   24.9   0.0   173   255   126   217   123   224 0.82 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+       -            289 76755at50557         -            264   4.5e-25   87.4   1.7   4   4    0.0031       0.1   10.8   0.1    75   113   230   273   221   281 0.67 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+    -            329 76755at50557         -            264   8.6e-23   79.9   0.1   1   3   8.7e-07   2.8e-05   22.5   0.0   166   258    29   126     8   133 0.84 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+    -            329 76755at50557         -            264   8.6e-23   79.9   0.1   2   3    0.0071      0.23    9.6   0.0   220   260   134   177   127   181 0.78 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+    -            329 76755at50557         -            264   8.6e-23   79.9   0.1   3   3   4.8e-12   1.6e-10   39.7   0.0    63   205   170   328   164   329 0.70 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+     -            523 76755at50557         -            264     3e-22   78.1   0.1   1   2    0.0084      0.27    9.4   0.0   184   212   230   258   220   276 0.72 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+     -            523 76755at50557         -            264     3e-22   78.1   0.1   2   2   1.1e-17   3.5e-16   58.2   0.1     2   205   295   520   294   521 0.75 -
