#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
106946at50557_103372_0:002af8|STRG.13739.1:309-1208|+  -            300 106946at50557        -            238  1.3e-122  406.7  11.9   1   1  6.6e-125  5.5e-122  404.6  11.9     8   238    42   300    35   300 0.93 -
106946at50557_217634_0:001956|STRG.8649.10:1146-1775|+ -            210 106946at50557        -            238   2.5e-09   35.8  11.9   1   1   1.2e-10     1e-07   30.6  11.9    75   237    29   210    17   210 0.68 -
106946at50557_217634_0:001956|STRG.8649.1:546-1175|+   -            210 106946at50557        -            238   2.5e-09   35.8  11.9   1   1   1.2e-10     1e-07   30.6  11.9    75   237    29   210    17   210 0.68 -
106946at50557_217634_0:001956|STRG.8649.2:606-1235|+   -            210 106946at50557        -            238   2.5e-09   35.8  11.9   1   1   1.2e-10     1e-07   30.6  11.9    75   237    29   210    17   210 0.68 -
106946at50557_217634_0:001956|STRG.8649.4:1333-1962|+  -            210 106946at50557        -            238   2.5e-09   35.8  11.9   1   1   1.2e-10     1e-07   30.6  11.9    75   237    29   210    17   210 0.68 -
106946at50557_217634_0:001956|STRG.8649.6:497-1126|+   -            210 106946at50557        -            238   2.5e-09   35.8  11.9   1   1   1.2e-10     1e-07   30.6  11.9    75   237    29   210    17   210 0.68 -
106946at50557_217634_0:001956|STRG.8649.7:657-1286|+   -            210 106946at50557        -            238   2.5e-09   35.8  11.9   1   1   1.2e-10     1e-07   30.6  11.9    75   237    29   210    17   210 0.68 -
106946at50557_217634_0:001956|STRG.8649.8:458-1087|+   -            210 106946at50557        -            238   2.5e-09   35.8  11.9   1   1   1.2e-10     1e-07   30.6  11.9    75   237    29   210    17   210 0.68 -
106946at50557_217634_0:001956|STRG.8649.9:628-1257|+   -            210 106946at50557        -            238   2.5e-09   35.8  11.9   1   1   1.2e-10     1e-07   30.6  11.9    75   237    29   210    17   210 0.68 -
75685at50557_103372_0:002577|STRG.15374.1:403-1338|+   -            312 106946at50557        -            238    0.0037   15.6   0.2   1   1   8.7e-06    0.0073   14.7   0.2   100   168   186   251   180   279 0.71 -
75685at50557_103372_0:002577|STRG.15374.2:253-1188|+   -            312 106946at50557        -            238    0.0037   15.6   0.2   1   1   8.7e-06    0.0073   14.7   0.2   100   168   186   251   180   279 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/106946at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/106946at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/106946at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:10 2024
# [ok]
