#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109776at50557_456900_0:0015c4|STRG.4460.1:0-713|+       -            238 109776at50557        -            209   1.1e-86  288.3   7.0   1   1   2.1e-88   1.5e-86  287.8   7.0     1   209     1   234     1   234 0.93 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 109776at50557        -            209   1.9e-46  156.8  49.2   1   8   3.9e-05    0.0028   15.8   0.0    98   165    15    91     4    96 0.81 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 109776at50557        -            209   1.9e-46  156.8  49.2   2   8   7.6e-08   5.5e-06   24.6   1.1    31   129    78   191    77   197 0.75 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 109776at50557        -            209   1.9e-46  156.8  49.2   3   8   3.9e-12   2.8e-10   38.7   1.5    30   187   197   376   188   380 0.77 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 109776at50557        -            209   1.9e-46  156.8  49.2   4   8   1.9e-06   0.00014   20.0   4.8    23   164   414   578   403   584 0.74 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 109776at50557        -            209   1.9e-46  156.8  49.2   5   8   6.8e-09   4.9e-07   28.1   2.4    28   142   586   722   580   725 0.76 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 109776at50557        -            209   1.9e-46  156.8  49.2   6   8   2.1e-05    0.0015   16.7   0.1    20    98   698   778   695   785 0.86 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 109776at50557        -            209   1.9e-46  156.8  49.2   7   8   0.00071     0.051   11.7   0.1    29    95   731   801   728   838 0.84 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 109776at50557        -            209   1.9e-46  156.8  49.2   8   8   3.6e-13   2.6e-11   42.0   3.8    20   130   845   969   840   976 0.81 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 109776at50557        -            209     1e-43  147.9  58.7   1   8    0.0014       0.1   10.7   0.1   112   165     2    63     1    68 0.81 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 109776at50557        -            209     1e-43  147.9  58.7   2   8   3.8e-08   2.8e-06   25.6   2.7    31   162    50   203    47   206 0.76 -
