#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42026at50557_34720_0:001298|STRG.9127.1:775-2346|+    -            524 42026at50557         -            429  1.2e-204  678.8   6.3   1   1  1.1e-205  3.4e-203  674.0   6.3     5   416    28   473    24   504 0.91 -
26645at50557_34720_0:000db2|STRG.6962.3:82-1947|+     -            598 42026at50557         -            429     7e-29   99.7   0.7   1   1   5.2e-31   1.6e-28   98.5   0.7    44   306   301   567   288   584 0.90 -
26645at50557_34720_0:000db2|STRG.6962.1:82-1875|+     -            598 42026at50557         -            429   1.1e-28   99.0   0.6   1   1   8.3e-31   2.5e-28   97.8   0.6    44   306   301   567   288   584 0.90 -
26645at50557_34720_0:000db2|STRG.6962.2:263-1864|+    -            534 42026at50557         -            429   1.1e-28   99.0   0.6   1   1   6.3e-31   1.9e-28   98.2   0.6    44   306   237   503   224   520 0.90 -
42026at50557_7394_0:001075|STRG.15276.1:622-1599|+    -            326 42026at50557         -            429   5.4e-27   93.4   0.0   1   3   2.4e-07   7.3e-05   20.5   0.0    59   136     1    79     1    91 0.93 -
42026at50557_7394_0:001075|STRG.15276.1:622-1599|+    -            326 42026at50557         -            429   5.4e-27   93.4   0.0   2   3   7.4e-22   2.2e-19   68.3   0.0   135   286   110   265    91   271 0.85 -
42026at50557_7394_0:001075|STRG.15276.1:622-1599|+    -            326 42026at50557         -            429   5.4e-27   93.4   0.0   3   3      0.25        76    0.7   0.0   284   318   288   322   285   326 0.87 -
57980at50557_69004_0:0023c9|STRG.8854.1:15-1085|+     -            357 42026at50557         -            429   4.2e-06   24.6   1.4   1   3      0.32        96    0.4   0.1   119   149    10    41     7    65 0.75 -
57980at50557_69004_0:0023c9|STRG.8854.1:15-1085|+     -            357 42026at50557         -            429   4.2e-06   24.6   1.4   2   3   9.8e-08     3e-05   21.8   0.2   219   299    72   155    53   163 0.83 -
57980at50557_69004_0:0023c9|STRG.8854.1:15-1085|+     -            357 42026at50557         -            429   4.2e-06   24.6   1.4   3   3       1.1   3.3e+02   -1.4   0.0    33    63   297   327   284   330 0.87 -
58206at50557_1629725_0:0005e4|STRG.15120.1:294-1073|+ -            260 42026at50557         -            429   8.3e-05   20.3   0.1   1   2       3.2   9.8e+02   -3.0   0.0   121   143     7    30     6    51 0.69 -
58206at50557_1629725_0:0005e4|STRG.15120.1:294-1073|+ -            260 42026at50557         -            429   8.3e-05   20.3   0.1   2   2   4.8e-07   0.00014   19.6   0.0   225   301    70   150    55   163 0.86 -
58206at50557_1629725_0:0005e4|STRG.15120.2:294-1073|+ -            260 42026at50557         -            429   8.3e-05   20.3   0.1   1   2       3.2   9.8e+02   -3.0   0.0   121   143     7    30     6    51 0.69 -
58206at50557_1629725_0:0005e4|STRG.15120.2:294-1073|+ -            260 42026at50557         -            429   8.3e-05   20.3   0.1   2   2   4.8e-07   0.00014   19.6   0.0   225   301    70   150    55   163 0.86 -
57980at50557_1629725_0:000be4|STRG.7460.1:2308-3120|+ -            271 42026at50557         -            429   0.00031   18.4   0.7   1   1   1.7e-06   0.00051   17.7   0.7   262   303   108   150    45   163 0.84 -
63962at50557_568069_0:00441d|STRG.5947.1:170-1192|+   -            341 42026at50557         -            429   0.00066   17.4   0.1   1   1     3e-06    0.0009   16.9   0.1   225   304    83   165    48   171 0.80 -
57980at50557_7536_0:003723|STRG.6244.1:805-1617|+     -            271 42026at50557         -            429     0.001   16.8   0.1   1   1   4.5e-06    0.0014   16.3   0.1   218   283    71   137    26   140 0.71 -
17813at50557_378494_0:006207|STRG.19335.1:1329-1922|+ -            198 42026at50557         -            429    0.0018   15.9   0.0   1   1   6.9e-06    0.0021   15.7   0.0   226   301    83   160    36   173 0.84 -
