#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
53261at50557_520822_0:0000dd|STRG.7987.1:26-1987|+   -            654 53261at50557         -            444  2.5e-224  744.2   5.4   1   1  1.4e-222  1.1e-219  728.9   5.4     7   439    16   531    11   536 0.88 -
60951at50557_29031_0:002586|STRG.11037.1:99-1385|+   -            429 53261at50557         -            444   3.1e-60  203.4   2.2   1   2   7.5e-52   5.7e-49  166.3   0.0     8   184    36   224    31   227 0.90 -
60951at50557_29031_0:002586|STRG.11037.1:99-1385|+   -            429 53261at50557         -            444   3.1e-60  203.4   2.2   2   2   1.8e-12   1.4e-09   36.5   0.6   277   436   237   423   231   428 0.65 -
53261at50557_34740_0:000601|STRG.4999.1:2128-3741|+  -            538 53261at50557         -            444   7.1e-56  189.0   1.1   1   4   3.9e-42   2.9e-39  134.2   0.0    11   195    13   204     4   219 0.91 -
53261at50557_34740_0:000601|STRG.4999.1:2128-3741|+  -            538 53261at50557         -            444   7.1e-56  189.0   1.1   2   4       1.9   1.4e+03   -3.1   0.0   168   187   239   258   234   264 0.79 -
53261at50557_34740_0:000601|STRG.4999.1:2128-3741|+  -            538 53261at50557         -            444   7.1e-56  189.0   1.1   3   4   0.00039      0.29    9.0   0.0   275   305   295   325   292   332 0.92 -
53261at50557_34740_0:000601|STRG.4999.1:2128-3741|+  -            538 53261at50557         -            444   7.1e-56  189.0   1.1   4   4   2.9e-14   2.2e-11   42.4   0.0   277   333   396   453   378   465 0.87 -
53261at50557_34740_0:000601|STRG.4999.2:2128-3741|+  -            538 53261at50557         -            444   7.1e-56  189.0   1.1   1   4   3.9e-42   2.9e-39  134.2   0.0    11   195    13   204     4   219 0.91 -
53261at50557_34740_0:000601|STRG.4999.2:2128-3741|+  -            538 53261at50557         -            444   7.1e-56  189.0   1.1   2   4       1.9   1.4e+03   -3.1   0.0   168   187   239   258   234   264 0.79 -
53261at50557_34740_0:000601|STRG.4999.2:2128-3741|+  -            538 53261at50557         -            444   7.1e-56  189.0   1.1   3   4   0.00039      0.29    9.0   0.0   275   305   295   325   292   332 0.92 -
53261at50557_34740_0:000601|STRG.4999.2:2128-3741|+  -            538 53261at50557         -            444   7.1e-56  189.0   1.1   4   4   2.9e-14   2.2e-11   42.4   0.0   277   333   396   453   378   465 0.87 -
53261at50557_34740_0:000601|STRG.4999.3:2082-3695|+  -            538 53261at50557         -            444   7.1e-56  189.0   1.1   1   4   3.9e-42   2.9e-39  134.2   0.0    11   195    13   204     4   219 0.91 -
53261at50557_34740_0:000601|STRG.4999.3:2082-3695|+  -            538 53261at50557         -            444   7.1e-56  189.0   1.1   2   4       1.9   1.4e+03   -3.1   0.0   168   187   239   258   234   264 0.79 -
53261at50557_34740_0:000601|STRG.4999.3:2082-3695|+  -            538 53261at50557         -            444   7.1e-56  189.0   1.1   3   4   0.00039      0.29    9.0   0.0   275   305   295   325   292   332 0.92 -
53261at50557_34740_0:000601|STRG.4999.3:2082-3695|+  -            538 53261at50557         -            444   7.1e-56  189.0   1.1   4   4   2.9e-14   2.2e-11   42.4   0.0   277   333   396   453   378   465 0.87 -
90208at50557_83485_0:0007ad|STRG.9402.1:225-926|+    -            234 53261at50557         -            444   5.5e-22   77.3   0.0   1   1   9.4e-25   7.2e-22   76.9   0.0     6   154    16   162    12   176 0.92 -
90208at50557_103372_0:00186f|STRG.5641.1:205-1386|+  -            394 53261at50557         -            444     8e-16   57.0   0.3   1   1   1.8e-18   1.4e-15   56.2   0.3     6   156    63   224    58   232 0.89 -
101448at50557_568069_0:002eb6|STRG.4999.1:907-2043|+ -            379 53261at50557         -            444     2e-14   52.4   0.2   1   2   5.4e-17   4.1e-14   51.4   0.0     5   141    21   152    18   165 0.95 -
101448at50557_568069_0:002eb6|STRG.4999.1:907-2043|+ -            379 53261at50557         -            444     2e-14   52.4   0.2   2   2       1.3   9.5e+02   -2.6   0.0   309   336   339   365   334   368 0.79 -
101448at50557_568069_0:002eb6|STRG.4999.2:907-2043|+ -            379 53261at50557         -            444     2e-14   52.4   0.2   1   2   5.4e-17   4.1e-14   51.4   0.0     5   141    21   152    18   165 0.95 -
101448at50557_568069_0:002eb6|STRG.4999.2:907-2043|+ -            379 53261at50557         -            444     2e-14   52.4   0.2   2   2       1.3   9.5e+02   -2.6   0.0   309   336   339   365   334   368 0.79 -
101448at50557_568069_0:002eb6|STRG.4999.3:861-1997|+ -            379 53261at50557         -            444     2e-14   52.4   0.2   1   2   5.4e-17   4.1e-14   51.4   0.0     5   141    21   152    18   165 0.95 -
101448at50557_568069_0:002eb6|STRG.4999.3:861-1997|+ -            379 53261at50557         -            444     2e-14   52.4   0.2   2   2       1.3   9.5e+02   -2.6   0.0   309   336   339   365   334   368 0.79 -
39392at50557_103372_0:000839|STRG.6885.2:281-1967|+  -            537 53261at50557         -            444   2.1e-14   52.3   0.0   1   2   6.6e-17     5e-14   51.1   0.0    10   145    35   171    29   184 0.83 -
39392at50557_103372_0:000839|STRG.6885.2:281-1967|+  -            537 53261at50557         -            444   2.1e-14   52.3   0.0   2   2       1.5   1.2e+03   -2.8   0.0    46   105   357   417   354   428 0.71 -
39392at50557_103372_0:000839|STRG.6885.1:171-1784|+  -            538 53261at50557         -            444   2.2e-14   52.3   0.0   1   2   6.7e-17   5.1e-14   51.1   0.0    10   145    35   171    29   184 0.83 -
39392at50557_103372_0:000839|STRG.6885.1:171-1784|+  -            538 53261at50557         -            444   2.2e-14   52.3   0.0   2   2       1.5   1.2e+03   -2.8   0.0    46   105   357   417   354   428 0.71 -
101448at50557_103372_0:002ac7|STRG.8385.1:105-1103|+ -            333 53261at50557         -            444   1.4e-13   49.6   0.0   1   1   2.5e-16   1.9e-13   49.2   0.0     8   130    33   153    27   187 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53261at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/53261at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53261at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:10:47 2024
# [ok]
