#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
116934at50557_103372_0:000d14|STRG.2538.1:173-733|+    -            187 116934at50557        -            140   2.5e-74  246.9   0.0   1   1   1.4e-76   3.3e-74  246.4   0.0     3   139    23   166    21   167 0.94 -
120473at50557_1041015_0:0012df|STRG.1766.4:1068-1520|+ -            151 116934at50557        -            140   1.4e-39  134.2   0.0   1   1   7.5e-42   1.8e-39  133.9   0.0    13   138     7   135     2   137 0.95 -
120473at50557_37344_0:000b45|STRG.1766.1:920-1402|+    -            161 116934at50557        -            140   1.6e-39  134.0   0.0   1   1   8.7e-42   2.1e-39  133.7   0.0    13   138     7   135     2   137 0.95 -
120473at50557_37344_0:000b45|STRG.1766.3:280-762|+     -            161 116934at50557        -            140   1.6e-39  134.0   0.0   1   1   8.7e-42   2.1e-39  133.7   0.0    13   138     7   135     2   137 0.95 -
120473at50557_37344_0:000b45|STRG.1766.2:659-1099|+    -            147 116934at50557        -            140   1.9e-38  130.6   0.0   1   1   9.6e-41   2.3e-38  130.3   0.0    27   138     7   121     1   123 0.95 -
120473at50557_1041015_0:0012df|STRG.16654.1:694-1101|+ -            136 116934at50557        -            140   9.9e-36  121.8   0.0   1   1   4.8e-38   1.2e-35  121.5   0.0    15   135     3   126     1   130 0.95 -
120473at50557_1041015_0:0012df|STRG.16654.2:720-1127|+ -            136 116934at50557        -            140   9.9e-36  121.8   0.0   1   1   4.8e-38   1.2e-35  121.5   0.0    15   135     3   126     1   130 0.95 -
120473at50557_1041015_0:0012df|STRG.16654.3:498-905|+  -            136 116934at50557        -            140   9.9e-36  121.8   0.0   1   1   4.8e-38   1.2e-35  121.5   0.0    15   135     3   126     1   130 0.95 -
120473at50557_1041015_0:0012df|STRG.16654.4:108-515|+  -            136 116934at50557        -            140   9.9e-36  121.8   0.0   1   1   4.8e-38   1.2e-35  121.5   0.0    15   135     3   126     1   130 0.95 -
120473at50557_1041015_0:0012df|STRG.14017.1:441-839|+  -            133 116934at50557        -            140     6e-34  116.0   0.0   1   1   2.7e-36   6.4e-34  115.9   0.0    12   135     2   128     1   133 0.93 -
116934at50557_286706_0:0006a3|STRG.3263.1:967-1353|+   -            129 116934at50557        -            140   1.5e-32  111.5   0.0   1   1   6.6e-35   1.6e-32  111.4   0.0    14   134     2   125     1   129 0.93 -
117699at50557_104421_0:002a75|STRG.4224.1:440-1039|+   -            200 116934at50557        -            140   4.3e-28   97.0   0.0   1   1   2.2e-30   5.2e-28   96.7   0.0    10   135     4   136     1   141 0.84 -
117699at50557_219809_0:0002bf|STRG.4224.2:41-583|+     -            181 116934at50557        -            140   2.1e-27   94.8   0.0   1   1   1.2e-29   2.8e-27   94.4   0.0    38   135    16   117     9   122 0.90 -
120473at50557_1041015_0:0012df|STRG.4882.1:1357-1839|+ -            161 116934at50557        -            140   3.2e-27   94.2   0.3   1   1   2.2e-28   5.4e-26   90.2   0.3    34   137    28   147     2   150 0.86 -
120473at50557_1041015_0:0012df|STRG.3292.1:198-686|+   -            163 116934at50557        -            140   3.7e-27   94.0   0.0   1   1   1.3e-28     3e-26   91.0   0.0    13   135     8   147     2   154 0.84 -
120473at50557_1049336_0:000626|STRG.7891.1:248-733|+   -            162 116934at50557        -            140   6.2e-26   90.0   0.0   1   1   1.5e-27   3.6e-25   87.5   0.0    11   136     5   147     2   151 0.89 -
116934at50557_286706_0:0006a3|STRG.16194.1:1125-1619|+ -            165 116934at50557        -            140   1.6e-25   88.7   0.0   1   1   7.9e-28   1.9e-25   88.4   0.0     6   135    22   154    18   159 0.92 -
116934at50557_286706_0:0006a3|STRG.16194.2:997-1491|+  -            165 116934at50557        -            140   1.6e-25   88.7   0.0   1   1   7.9e-28   1.9e-25   88.4   0.0     6   135    22   154    18   159 0.92 -
116934at50557_121225_0:000e6c|STRG.3772.2:370-756|+    -            129 116934at50557        -            140   5.9e-22   77.1   0.0   1   1   2.8e-24   6.7e-22   76.9   0.0    11   117    15   128     6   129 0.87 -
116934at50557_108931_0:001c95|STRG.14919.1:274-696|+   -            141 116934at50557        -            140   1.3e-21   76.0   0.0   1   1   6.5e-24   1.6e-21   75.7   0.0    31   138    21   130     2   132 0.86 -
116934at50557_121225_0:000e6c|STRG.3772.1:156-491|+    -            112 116934at50557        -            140   1.9e-21   75.5   0.0   1   1   8.6e-24   2.1e-21   75.3   0.0    14   117     1   111     1   112 0.89 -
117699at50557_7394_0:002ded|STRG.11572.1:788-1180|+    -            131 116934at50557        -            140   8.5e-21   73.4   0.0   1   1   4.1e-23     1e-20   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.11572.2:1489-1881|+   -            131 116934at50557        -            140   8.5e-21   73.4   0.0   1   1   4.1e-23     1e-20   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.11572.3:830-1222|+    -            131 116934at50557        -            140   8.5e-21   73.4   0.0   1   1   4.1e-23     1e-20   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.11572.4:788-1180|+    -            131 116934at50557        -            140   8.5e-21   73.4   0.0   1   1   4.1e-23     1e-20   73.1   0.0    46   134    20   113    12   123 0.87 -
120473at50557_1049336_0:000626|STRG.16575.1:279-731|+  -            151 116934at50557        -            140   4.2e-20   71.1   0.0   1   1   1.9e-22   4.6e-20   71.0   0.0    34   135    33   140     6   147 0.90 -
120473at50557_28612_0:003609|STRG.15377.1:197-616|+    -            140 116934at50557        -            140   3.7e-19   68.1   0.0   1   1   1.7e-21   4.2e-19   67.9   0.0    15   134     3   125     1   131 0.93 -
117699at50557_28612_0:004e72|STRG.13893.1:82-462|+     -            127 116934at50557        -            140   5.4e-19   67.5   0.0   1   1   2.4e-21   5.8e-19   67.4   0.0    13   131     3   125     1   127 0.90 -
117925at50557_37001_0:0022f0|STRG.2641.1:295-744|+     -            150 116934at50557        -            140   1.4e-12   46.7   0.0   1   1   6.6e-15   1.6e-12   46.5   0.0     5   119    10   127     6   149 0.88 -
117925at50557_103372_0:00113b|STRG.1920.1:572-1270|+   -            233 116934at50557        -            140   1.1e-11   43.8   0.0   1   1   6.8e-14   1.6e-11   43.3   0.0     7   120     7   124     1   142 0.87 -
117925at50557_103372_0:00113b|STRG.1920.2:572-1270|+   -            233 116934at50557        -            140   1.1e-11   43.8   0.0   1   1   6.8e-14   1.6e-11   43.3   0.0     7   120     7   124     1   142 0.87 -
117925at50557_103372_0:00113b|STRG.1920.3:522-1220|+   -            233 116934at50557        -            140   1.1e-11   43.8   0.0   1   1   6.8e-14   1.6e-11   43.3   0.0     7   120     7   124     1   142 0.87 -
117925at50557_103372_0:00113b|STRG.1920.4:489-1184|+   -            232 116934at50557        -            140   1.4e-11   43.5   0.0   1   1   8.6e-14   2.1e-11   42.9   0.0     8   120     7   123     2   141 0.87 -
117699at50557_7493_0:0020c6|STRG.10213.1:279-716|+     -            146 116934at50557        -            140   8.6e-11   40.9   0.0   1   1   4.3e-13     1e-10   40.7   0.0    32   137    17   131     3   134 0.87 -
117699at50557_7244_0:002000|STRG.11539.1:796-1164|+    -            123 116934at50557        -            140   1.9e-08   33.3   0.0   1   1   1.2e-10   2.9e-08   32.7   0.0    58   114    61   121    53   123 0.85 -
117699at50557_7244_0:002000|STRG.11539.2:796-1164|+    -            123 116934at50557        -            140   1.9e-08   33.3   0.0   1   1   1.2e-10   2.9e-08   32.7   0.0    58   114    61   121    53   123 0.85 -
117699at50557_7244_0:002000|STRG.11539.3:796-1164|+    -            123 116934at50557        -            140   1.9e-08   33.3   0.0   1   1   1.2e-10   2.9e-08   32.7   0.0    58   114    61   121    53   123 0.85 -
128261at50557_103372_0:000077|STRG.16063.1:338-769|+   -            144 116934at50557        -            140   9.8e-08   31.0   0.0   1   1   7.3e-10   1.8e-07   30.2   0.0    36   120    41   131    31   138 0.79 -
120473at50557_28612_0:003609|STRG.9236.1:13452-13745|+ -             98 116934at50557        -            140   1.8e-07   30.2   0.0   1   1   8.7e-10   2.1e-07   30.0   0.0    46   116     2    88     1    98 0.78 -
117925at50557_307491_0:0033e6|STRG.11760.1:523-972|+   -            150 116934at50557        -            140   0.00018   20.5   0.0   1   1     1e-06   0.00025   20.0   0.0    59   114    58   117     1   140 0.70 -
117925at50557_307491_0:0033e6|STRG.11760.2:582-1031|+  -            150 116934at50557        -            140   0.00018   20.5   0.0   1   1     1e-06   0.00025   20.0   0.0    59   114    58   117     1   140 0.70 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/116934at50557.hmm
