#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
92898at50557_103372_0:00055a|STRG.3812.1:518-1321|+    -            268 92898at50557         -            222  6.1e-109  361.3   4.1   1   1  1.7e-110  4.6e-108  358.4   4.1     1   222     3   249     3   249 0.95 -
60961at50557_41427_0:00202e|STRG.4503.2:242-1339|+     -            366 92898at50557         -            222   7.2e-12   43.9   2.6   1   3   1.3e-07   3.6e-05   22.0   0.0   118   176    50   108    39   123 0.91 -
60961at50557_41427_0:00202e|STRG.4503.2:242-1339|+     -            366 92898at50557         -            222   7.2e-12   43.9   2.6   2   3     0.034       9.2    4.3   0.0   117   147   158   188   141   206 0.81 -
60961at50557_41427_0:00202e|STRG.4503.2:242-1339|+     -            366 92898at50557         -            222   7.2e-12   43.9   2.6   3   3     8e-06    0.0022   16.1   0.3   109   196   262   347   247   362 0.73 -
60961at50557_34720_0:0017d0|STRG.7028.1:122-1495|+     -            444 92898at50557         -            222   7.5e-09   34.0   0.0   1   2   0.00015     0.041   11.9   0.0    81   173    14   109     5   117 0.72 -
60961at50557_34720_0:0017d0|STRG.7028.1:122-1495|+     -            444 92898at50557         -            222   7.5e-09   34.0   0.0   2   2   5.8e-07   0.00016   19.9   0.0   116   177   181   241   172   252 0.88 -
60961at50557_34720_0:0017d0|STRG.7028.2:122-1714|+     -            444 92898at50557         -            222   7.5e-09   34.0   0.0   1   2   0.00015     0.041   11.9   0.0    81   173    14   109     5   117 0.72 -
60961at50557_34720_0:0017d0|STRG.7028.2:122-1714|+     -            444 92898at50557         -            222   7.5e-09   34.0   0.0   2   2   5.8e-07   0.00016   19.9   0.0   116   177   181   241   172   252 0.88 -
60961at50557_34720_0:0017d0|STRG.7028.3:122-1453|+     -            444 92898at50557         -            222   7.5e-09   34.0   0.0   1   2   0.00015     0.041   11.9   0.0    81   173    14   109     5   117 0.72 -
60961at50557_34720_0:0017d0|STRG.7028.3:122-1453|+     -            444 92898at50557         -            222   7.5e-09   34.0   0.0   2   2   5.8e-07   0.00016   19.9   0.0   116   177   181   241   172   252 0.88 -
60961at50557_41427_0:00202e|STRG.4503.1:62-937|+       -            292 92898at50557         -            222   2.3e-08   32.4   0.3   1   3      0.24        66    1.5   0.0   117   170     2    51     1    62 0.69 -
