#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48053at50557_7536_0:0009dd|STRG.4090.1:36-437|+        -            134 48053at50557         -            417   4.7e-74  248.3   0.3   1   1     1e-75   5.2e-74  248.2   0.3     2   130     1   133     1   134 0.97 -
48053at50557_121845_0:002b56|STRG.4092.1:67-384|+      -            106 48053at50557         -            417   1.9e-57  193.7   0.1   1   1   4.1e-59   2.1e-57  193.5   0.1   282   377     1   106     1   106 0.95 -
48053at50557_168631_0:000bf2|STRG.4091.1:213-581|+     -            123 48053at50557         -            417   6.8e-49  165.5   4.8   1   1   1.6e-49   8.3e-48  161.9   4.8   183   280     1   123     1   123 0.92 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+    -            523 48053at50557         -            417   1.5e-21   75.4   0.1   1   2   4.9e-08   2.5e-06   25.3   0.0   282   345   327   397   205   405 0.80 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+    -            523 48053at50557         -            417   1.5e-21   75.4   0.1   2   2   1.8e-17   9.2e-16   56.3   0.0   285   417   372   520   365   520 0.81 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+      -            523 48053at50557         -            417   1.5e-21   75.4   0.1   1   2   4.9e-08   2.5e-06   25.3   0.0   282   345   327   397   205   405 0.80 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+      -            523 48053at50557         -            417   1.5e-21   75.4   0.1   2   2   1.8e-17   9.2e-16   56.3   0.0   285   417   372   520   365   520 0.81 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 48053at50557         -            417   5.8e-21   73.5   6.2   1   4    0.0068      0.34    8.3   0.0   218   254    10    49     6    54 0.79 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 48053at50557         -            417   5.8e-21   73.5   6.2   2   4   2.9e-09   1.5e-07   29.3   0.3   185   256    58   131    50   138 0.87 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 48053at50557         -            417   5.8e-21   73.5   6.2   3   4   1.1e-07   5.4e-06   24.2   0.0   186   256   139   211   131   222 0.85 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 48053at50557         -            417   5.8e-21   73.5   6.2   4   4   0.00028     0.014   12.9   0.1   293   343   228   286   209   287 0.72 -
57752at50557_103372_0:000c5a|STRG.2670.1:0-1301|+      -            434 48053at50557         -            417   3.9e-15   54.3   0.3   1   3   2.3e-06   0.00012   19.8   0.0   288   347   133   199   114   206 0.79 -
57752at50557_103372_0:000c5a|STRG.2670.1:0-1301|+      -            434 48053at50557         -            417   3.9e-15   54.3   0.3   2   3   4.4e-06   0.00022   18.8   0.3   188   253   215   284   197   291 0.83 -
57752at50557_103372_0:000c5a|STRG.2670.1:0-1301|+      -            434 48053at50557         -            417   3.9e-15   54.3   0.3   3   3   0.00043     0.022   12.3   0.0   282   387   295   415   288   424 0.68 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 48053at50557         -            417   6.7e-15   53.5  11.4   1   6      0.11       5.4    4.4   0.0   196   256    17    86     3    91 0.71 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 48053at50557         -            417   6.7e-15   53.5  11.4   2   6   0.00023     0.012   13.2   0.0   284   362    97   182    88   201 0.79 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 48053at50557         -            417   6.7e-15   53.5  11.4   3   6   0.00046     0.023   12.2   0.0   196   254   269   331   246   336 0.82 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 48053at50557         -            417   6.7e-15   53.5  11.4   4   6   0.00032     0.016   12.7   0.1   215   373   371   536   349   538 0.79 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 48053at50557         -            417   6.7e-15   53.5  11.4   5   6   0.00098     0.049   11.1   0.0   285   348   481   551   475   557 0.78 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 48053at50557         -            417   6.7e-15   53.5  11.4   6   6    0.0039       0.2    9.1   0.4   236   341   598   712   589   712 0.79 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 48053at50557         -            417   9.6e-15   53.0   3.3   1   3    0.0039       0.2    9.1   0.0   317   352     9    44     4    49 0.84 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 48053at50557         -            417   9.6e-15   53.0   3.3   2   3   1.1e-07   5.4e-06   24.2   0.2   193   353    60   214    50   228 0.73 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 48053at50557         -            417   9.6e-15   53.0   3.3   3   3   0.00067     0.034   11.6   0.1   196   246   235   291   223   291 0.81 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 48053at50557         -            417   1.4e-14   52.5   2.1   1   3    0.0039       0.2    9.1   0.0   317   352     8    43     4    49 0.84 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 48053at50557         -            417   1.4e-14   52.5   2.1   2   3   1.2e-07     6e-06   24.0   0.2   195   353    61   213    53   230 0.72 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 48053at50557         -            417   1.4e-14   52.5   2.1   3   3    0.0022      0.11    9.9   0.1   195   236   233   274   221   288 0.87 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 48053at50557         -            417   2.4e-14   51.7   0.2   1   5     0.038       1.9    5.9   0.0   281   312   325   356   316   394 0.77 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 48053at50557         -            417   2.4e-14   51.7   0.2   2   5    0.0026      0.13    9.7   0.0   287   342   404   466   398   468 0.82 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 48053at50557         -            417   2.4e-14   51.7   0.2   3   5   4.2e-07   2.1e-05   22.2   0.0   200   253   457   514   453   522 0.88 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 48053at50557         -            417   2.4e-14   51.7   0.2   4   5     2e-05     0.001   16.7   0.0   286   344   487   552   485   561 0.78 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 48053at50557         -            417   2.4e-14   51.7   0.2   5   5   4.7e-05    0.0024   15.5   0.0   288   352   531   602   525   610 0.77 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+   -            859 48053at50557         -            417   3.8e-14   51.0   0.0   1   2   4.4e-09   2.2e-07   28.7   0.0   282   348   106   179    13   187 0.74 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+   -            859 48053at50557         -            417   3.8e-14   51.0   0.0   2   2   0.00034     0.017   12.6   0.0   283   382   191   300   188   329 0.73 -
